"All","Vše"
"None","Nic"
"Allowed Scopes","Povolené obory"
"You need more permissions to delete this item(s): %1.","Nemáte dostatečná oprávnění k odstranění položky/položek %1."
"You need more permissions to apply some of the rule updates.","K uložení úprav funkce potřebujete vyšší oprávnění."
"Please assign this entity to a store view.","Please assign this entity to a store view."
"You can create orders only in an active store.","Objednávky můžete vytvářet pouze v aktivním obchodě."
"Please assign this item to a store view.","Please assign this item to a store view."
"You need more permissions to save this item.","Nemáte dostatečná oprávnění k uložení této položky."
"You need more permissions to delete this item.","Nemáte dostatečná oprávnění k odstranění této položky."
"You need more permissions to view this item.","Nemáte dostatečná oprávnění k zobrazení této položky."
"Please specify at least one website or one store group.","Please specify at least one website or one store group."
"You need more permissions to set All Scopes to a Role.","You need more permissions to set All Scopes to a Role."
"Incorrect website ID: %1","Nesprávné ID webu: %1"
"You need more permissions to access website ""%1"".","K přístupu k webu ""%1"" potřebujete vyšší oprávnění."
"Incorrect store ID: %1","Nesprávné ID obchodu: %1"
"You need more permissions to save this setting.","Nemáte dostatečná oprávnění k uložení nastavení."
"Role Scopes","Rozsahy role"
"Custom","Vlastní"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view"
"More permissions are needed to delete the ""%1"" item.","Nemáte dostatečná oprávnění k odstranění položky ""%1""."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","This entity needs to be assigned to a store view. Verify the entity assignment and try again."
"Orders can only be completed in an active store. Verify the store and try again.","Objednávky mohou být dokončeny pouze v aktivních obchodech. Zkontrolujte obchod a zkuste to znovu."
"This item needs to be assigned to a store view. Assign item and try again.","This item needs to be assigned to a store view. Assign item and try again."
"More permissions are needed to save this item.","K uložení této položky je potřeba více oprávnění."
"More permissions are needed to delete this item.","Nemáte dostatečná oprávnění k odstranění této položky."
"More permissions are needed to view this item.","Nemáte dostatečná oprávnění k zobrazení této položky."
"At least one website or store group needs to be selected. Select and try again.","At least one website or store group needs to be selected. Select and try again."
"More permissions are needed to set All Scopes to a Role.","More permissions are needed to set All Scopes to a Role."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","The ""%1"" website ID is incorrect. Verify the website ID and try again."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","The ""%1"" store ID is incorrect. Verify the store ID and try again."
"More permissions are needed to save this setting.","Nemáte dostatečná oprávnění k uložení nastavení."
