"All","Todos"
"None","Nenhum"
"Allowed Scopes","Escopos Permitidos"
"More permissions are needed to delete the ""%1"" item.","Mais permissões são necessárias para excluir o item ""%1""."
"You need more permissions to apply some of the rule updates.","Você precisa de mais permissões para aplicar algumas das atualizações de regras."
"More permissions are needed to view this item.","Mais permissões são necessárias para visualizar este item."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Esta entidade necessita ser atribuída a uma visão da loja. Verifique a atribuição da entidade e tente novamente."
"This item needs to be assigned to a store view.
                Please select a website for this product in ""Product in Websites"".","O item precisar ser atribuído a uma visão da loja. Por favor, selecione um website para este produto em ""Produto nos Websites""."
"Orders can only be completed in an active store. Verify the store and try again.","Pedidos apenas podem ser completados em lojas ativas. Verifique a loja e tente novamente."
"This item needs to be assigned to a store view. Assign item and try again.","Este item necessita ser atribuído a uma visão da loja. Atribua o item e tente novamente."
"More permissions are needed to save this item.","Mais permissões são necessárias para salvar este item."
"More permissions are needed to delete this item.","Mais permissões são necessárias para excluir este item."
"Not allowed to edit the category's design attributes","Não é permitido editar os atributos de design da categoria"
"At least one website or store group needs to be selected. Select and try again.","Pelo menos um site ou grupo de loja precisa ser selecionado. Selecione e tente novamente."
"More permissions are needed to set All Scopes to a Role.","São necessárias mais permissões para definir Todos os Escopo para uma Função."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","O ID do site ""%1"" está incorreto. Verifique o ID do site e tente novamente."
"You need more permissions to access website ""%1"".","Você precisa ter mais permissões para acessar o website ""%1""."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","A identificação de loja ""%1"" é incorreta. Verifique se o ID de loja e tente novamente."
"More permissions are needed to save this setting.","São necessárias mais permissões para salvar esta configuração."
"Role Scopes","Escopos da Regra"
"Custom","Personalizado"
