"Read Details","Lisätietoja"
"Mark as Read","Merkitse luetuksi"
"Are you sure?","Oletko varma?"
"Remove","Poista"
"Messages Inbox","Saapuneet-kansio"
"You have %1 new system messages","Sinulla on %1 uutta järjestelmäviesti(ä)"
"You have %1 new system message","Sinulla on %1 uusi järjestelmäviesti"
"Incoming Message","Saapuva viesti"
"close","sulje"
"Notifications","Ilmoitukset"
"The message has been marked as Read.","Viesti on merkitty luetuksi."
"We couldn't mark the notification as Read because of an error.","Ilmoitusta ei voitu merkitä luetuksi virheen vuoksi."
"Please select messages.","Valitse viestit."
"A total of %1 record(s) have been marked as Read.","Yhteensä %1 tietue(tta) on merkitty luetuksi."
"Total of %1 record(s) have been removed.","Yhteensä %1 tietue(tta) on poistettu."
"We couldn't remove the messages because of an error.","Viestejä ei voitu poistaa virheen vuoksi."
"The message has been removed.","Viesti on poistettu."
"1 Hour","1 tunti"
"2 Hours","2 tuntia"
"6 Hours","6 tuntia"
"12 Hours","12 tuntia"
"24 Hours","24 tuntia"
"critical","kriittinen"
"major","merkittävä"
"minor","vähäinen"
"notice","ilmoitus"
"Wrong message type","Väärä viestityyppi"
"Wrong notification ID specified.","Väärä ilmoitustunnus määritetty."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} ei ole suositeltavaa käyttää tuotantoympäristössä Base Unsecure URL / Base Secure URL-esittämiseksi. Suosittelemme voimakkaasti tämän arvon vaihtamista Magenton <a href=""%1"">kokoonpanossa</a>."
"One or more of the Cache Types are invalidated: %1. ","Yksi tai useampi välimuistityyppi vaatii virkistämisen: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Ole hyvä ja siirry <a href=""%1"">Välimuistin hallintaan</a> ja tyhjennä välimuistityypit."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Yhtä tai useampaa media-tiedostoa ei voida synkronoida. Katso lisätietoja lokitiedostosta."
"Synchronization of media storages has been completed.","Mediasäilöjen synkronointi on suoritettu."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Web-palvelin on määritetty väärin ja mahdollistaa luvattoman pääsyn arkaluontoisiin tiedostoihin. Ota yhteyttä palveluntarjoajaasi."
"System Messages:","Järjestelmäviestit:"
"Critical System Messages","Kriittiset järjestelmäviestit"
"Major System Messages","Merkittävät järjestelmäviestit"
"System messages","Järjestelmäviestit"
"Close","Sulje"
"See All (","Katso kaikki ("
" unread)"," lukematta)"
"Show Toolbar","Näytä työkalupalkki"
"Show List","Näytä lista"
"Use HTTPS to Get Feed","Käytä HTTPS-yhteyttä syötteen haussa"
"Update Frequency","Päivitystiheys"
"Last Update","Muokattu viimeksi"
"Severity","Vakavuus"
"Date Added","Lisäyspäivämäärä"
"Message","Viesti"
"Actions","Toiminnot"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Voit katsella ja ratkaista kaikki viimeisimmät järjestelmän ilmoitukset. Päivitä web-sivun Poista ilmoitus-ilmoitus."
