"Manage Shopping Cart","Warenkorb verwalten"
"Create Order","Neue Bestellung"
"Back","Zurück"
"Add Products","Artikel hinzufügen"
"Update Items and Quantities","Artikel und Anzahl aktualisieren"
"Are you sure you want to clear your cart?","Möchten Sie den Ihren Warenkorb wirklich leeren?"
"Clear my shopping cart","Warenkorb leeren"
"Add selections to my cart","Auswahl zum Warenkorb hinzufügen"
"Cancel","Stornieren"
"Shopping Cart for %1 in %2","Warenkorb für %1 in %2"
"Select products you want to buy","Wählen Sie die Produkte aus, welche Sie kaufen möchten"
"Product","Produkt"
"Price","Preis"
"Quantity","Menge"
"Products in the Comparison List (%1)","Produkte in der Vergleichsliste (%1)"
"Last ordered items (%1)","Letzten bestellten Artikel (%1)"
"Products","Artikel"
"ID","Id"
"SKU","Artikelnummer"
"Recently Compared Products (%1)","Zuletzt verglichene Produkte (%1)"
"Recently Viewed Products (%1)","Zuletzt angesehene Produkte (%1)"
"Add to Shopping Cart by SKU","Per Artikelnummer zum Warenkorb hinzufügen"
"Add to Shopping Cart","Zum Warenkorb hinzufügen"
"Wish List (%1)","Wunschliste (%1)"
"Apply","Anwenden"
"Configure","Konfigurieren"
"Add to Order by SKU","Per Artikelnummer zur Bestellung hinzufügen"
"Add to Order","Zur Bestellung hinzufügen"
"Add Products to Order","Produkte zur Bestellung hinzufügen"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> Produkt(e) erfordern ihre Aufmerksamkeit.</span>"
"Remove All","Alle entfernen"
"Only %1%2%3 left in stock","Nur %1%2%3 auf Lager verbleibend"
"You can buy up to %1 of these per purchase.","Sie können bis zu %1 dieser Artikel pro Bestellung kaufen."
"You must buy at least %1 of these per purchase.","Du musst mindestens %1 dieser Produkte dieser pro Einkauf kaufen."
"Specify the product's options.","Bitte geben sie Produkt Optionen an."
"Alert me when this item is available.","Benachrichtigen Sie mich, wenn dieser Artikel verfügbar ist."
"We can't find this customer.","We can't find this customer."
"Shopping cart management is disabled for this customer.","Warenkorb Verwaltung ist für diesen Kunden deaktiviert."
"We can't find this store.","We can't find this store."
"Customers","Kunden"
"Shopping Cart","Warenkorb"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"You do not have access to this.","Sie haben darauf keinen Zugriff."
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"An error has occurred. See error log for details.","Ein Fehler ist aufgetreten. Details sind in der Fehlerlogdatei sichtbar."
"You cannot configure a product.","Sie können kein Produkt konfigurieren."
"You removed the items.","Sie haben die Artikel entfernt."
"You removed the item.","Sie haben den Artikel entfernt."
"You added %1 to your shopping cart.","Sie haben %1 in Ihren Warenkorb gelegt."
"You cannot add a product.","Sie können kein Produkt hinzufügen."
"Order by SKU","Bestellung anhand Artikelnummer"
"The SKU was not found in the catalog.","Die Artikelnummer wurde nicht im Katalog gefunden."
"Availability: Out of stock.","Verfügbarkeit: Nicht auf Lager."
"We don't have as many of these as you want.","Es gibt nicht mehr so viele Artikel wie sie wollen."
"You can't add this many to your cart.","Sie dürfen nicht so viele Artikel zu ihrem Warenkorb hinzufügen."
"You need to choose options for your item.","Sie müssen Optionen für Ihren Artikel wählen."
"We can't add the item to your cart.","Wir können den Artikel nicht dem Warenkorb hinzufügen."
"Please enter an actual number in the ""Qty"" field.","Bitte geben Sie eine echte Zahl in das ""Anzahl"" Feld ein."
"This product is assigned to another website.","Dieses Produkt ist einer anderen Website zugewiesen."
"You can add only enabled products.","Sie können nur aktivierte Produkte hinzufügen."
"You cannot upload this file.","Sie können diese Datei nicht hochladen."
"The file is empty.","Die Datei ist leer."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Sie haben keine Artikelnummer eingegeben. Bitte <a href=""%1"">klicken Sie hier</a> um ein Produkt per Artikelnummer(n) hinzuzufügen."
"You have not entered a product SKU.","Sie haben keine Artikelnummer eingegeben."
"We can't add a product to cart by id ""%1"".","Wir können kein Produkt mit der Id ""%1"" zum Warenkorb hinzufügen."
"Something went wrong while reordering this product.","Beim Nachbestellen ist etwas schief gelaufen."
"We can't find this wish list.","Wir können diese Wunschliste leider nicht finden."
"You added %1 product to your shopping cart.","Sie haben den Artikel %1 zum Warenkorb hinzugefügt."
"You added %1 products to your shopping cart.","Sie haben %1 Artikel zum Warenkorb hinzugefügt."
"%1 product requires your attention.","%1 Produkt erfordert Ihre Aufmerksamkeit."
"%1 products require your attention.","%1 Produkte erfordern Ihre Aufmerksamkeit."
"Yes, for Specified Customer Groups","Ja, für angegebene Kundengruppen"
"Yes, for Everyone","Ja, für alle"
"No","Nein"
"The file is corrupt.","The file is corrupt."
"Please upload the file in .csv format.","Bitte laden Sie die Datei im CSV-Format hoch."
"%1 item(s) need your attention.","%1 Artikel benötigen ihre Aufmerksamkeit."
"Apply Coupon Code","Gutscheincode anwenden"
"Remove Coupon Code","Gutscheincode verwerfen"
"Remove","Entfernen"
"The coupon code ""%1"" is not valid.","Der Gutschein-Code ""%1"" ist ungültig."
"Shopping Cart Items","Artikel im Warenkorb"
"Qty","Menge"
"Subtotal","Zwischensumme"
"Discount","Rabatt"
"Row Subtotal","Zeilen Zwischensumme"
"Action","Aktion"
"No ordered items","Keine bestellten Produkte"
"Total %1 product(s)","Insgesamt %1 Produkt(e)"
"Subtotal:","Zwischensumme:"
"Please select","Bitte wählen Sie"
"Move to Wish List","Auf die Wunschliste verschieben"
"No item specified.","Kein Artikel angegeben."
"Are you sure you want to remove this item?","Sind Sie sicher, dass Sie diesen Artikel entfernen möchten?"
"SKU number","Artikelnummer"
"Upload File","Datei hochladen"
"Your csv file must include ""sku"" and ""qty"" columns.","Ihre CSV-Datei muss die Spalten ""sku"" und ""qty"" enthalten."
"Reset","Zurücksetzen"
"SKU: ","Artikelnummer: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Nur noch<span id=""%1_max_allowed"">%2</span> auf Lager"
"Item","Artikel"
"See price before order confirmation.","Siehe Preis vor Auftragsbestätigung."
"What's this?","Was ist das?"
"Incl. Tax","Inkl. MwSt."
"Excl. Tax","Exkl. Steuern"
"Edit item parameters","Artikelparameter bearbeiten"
"Edit","Bearbeiten"
"Remove item","Artikel entfernen"
"Products Requiring Attention","Produkte benötigen Aufmerksamkeit"
"Add to Cart","In den Warenkorb"
"Sku","Artikelnr."
"File","Datei"
"File extensions allowed: .csv","Erlaubte Datei-Erweiterungen: .csv"
"Add Row","Zeile hinzufügen"
"Remove Row","Zeile entfernen"
"Add Products By SKU","Produkte durch Artikelnummer hinzufügen"
"Shopping Cart Management","Warenkorbverwaltung"
"View Shopping Cart","Warenkorb anzeigen"
"View and modify Shopping Cart","Warenkorb anzeigen und ändern"
"Order by SKU Settings","Sortieren nach Artikelnummer-Einstellungen"
"Enable Order by SKU on My Account in Storefront","Bestellung mit Artikelnummer über Mein Account im Frontend aktivieren"
"Customer Groups","Kundengruppen"
"Apply Coupon","Gutschein einlösen"
"Order by SKU Description","Nach Artikelnummer-Beschreibung sortieren"
"Display a Link to Loading a Spreadsheet","Einen Link zum Laden der Tabelle anzeigen"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Definiert, ob ein Link auf mein Konto &gt; Bestellung mit Artikelnummer-Seite auf dem Widget angezeigt werden"
"Link Text","Verlinke Text"
"The text of the link to the My Account &gt; Order by SKU page","Der Text des Links zu mein Konto &gt; Bestellung mit Artikelnummer"
"Load a list of SKUs","Laden Sie eine Liste von Artikelnummern"
"Order by SKU Template","Nach Artikelnummer-Vorlage sortieren"
"SKU not found in catalog.","SKU not found in catalog."
"This file needs to be in .csv format.","This file needs to be in .csv format."
"This customer couldn't be found. Verify the customer and try again.","Dieser Kunde konnte nicht gefunden werden. Überprüfen Sie den Kunden und versuchen Sie es erneut."
