"Related Search Terms","شروط البحث المرتبطة"
"Add New Search Term","اضف كلمة بحث جديدة"
"button_label","تسمية الزر"
"Missing search engine parameter.","متغير محرك البحث مفقود."
"Successful! Test again?","ناجح! الاختبار مرة أخرى؟"
"Connection failed! Test again?","فشل في الإتصال! اختبار مرة أخرى؟"
"Enable Search Recommendations","تمكين البحث عن التوصيات"
"When you enable this option your site may slow down.","عند تمكين هذا الخيار قد تبطئ موقع الويب الخاص بك."
"Search Recommendations Count","عدد توصيات البحث"
"Show Results Count for Each Recommendation","إظهار عدد النتائج لكل توصية من التوصيات"
"Enable Search Suggestions","تمكين اقتراحات البحث"
"Search Suggestions Count","عد اقتراحات البحث"
"Show Results Count for Each Suggestion","إظهار عدد النتائج لكل اقتراح"
"Related search terms","مصطلحات البحث ذات الصلة"
"Did you mean","هل تقصد"
"ID","التعريف"
"Search Query","استفسار البحث"
"Store","متجر"
"Results","نتائج"
"Uses","استخدام"
"Redirect URL","اعادة توجيه الموقع"
"Suggested Term","الاختصاصات المقترحة"
"Yes","نعم"
"No","لا"
"Action","إجراء"
"Edit","تعديل"
"Synonym","Synonym"
