"Related Search Terms","Términos de búsqueda relacionados"
"Add New Search Term","Añadir nuevo término de búsqueda"
"button_label","etiqueta_boton"
"Missing search engine parameter.","Falta el parámetro del motor de búsqueda."
"Successful! Test again?","¡Éxito! ¿Probar de nuevo?"
"Connection failed! Test again?","¡La conexión ha fallado! ¿Reintentar?"
"Enable Search Recommendations","Habilitar recomendaciones de búsqueda"
"When you enable this option your site may slow down.","Al habilitar esta opción puede ralentizar su sitio."
"Search Recommendations Count","Recuento de las recomendaciones de búsqueda"
"Show Results Count for Each Recommendation","Mostrar el recuento de resultados para cada recomendación"
"Enable Search Suggestions","Habilitar sugerencias de búsqueda"
"Search Suggestions Count","Recuento de sugerencias de búsqueda"
"Show Results Count for Each Suggestion","Mostrar recuento de resultados para cada sugerencia"
"Related search terms","Términos de búsqueda relacionados"
"Did you mean","Quisiste decir"
"ID","Número de Identificación (ID)"
"Search Query","Término de búsqueda"
"Store","Tienda"
"Results","Resultados"
"Uses","Usos"
"Redirect URL","URL de redirección"
"Suggested Term","Término sugerido"
"Yes","Sí"
"No","No 	"
"Action","Acción"
"Edit","Editar"
"Synonym","Sinónimo"
