"Subscription status","État de l'abonnement"
"Sorry, there has been an error processing your request. Please try again later.","Désolé, une erreur s'est produite lors du traitement de votre demande. Veuillez réessayer plus tard."
"The time value is using an unsupported format. Enter a supported format and try again.","La valeur de l'heure utilise un format non pris en charge. Entrez un format pris en charge et réessayez."
"Cron settings can't be saved","Impossible d’enregistrer les paramètres de cron"
"There was an error save new configuration value.","Une erreur s'est produite lors de l'enregistrement de la nouvelle valeur de configuration."
"Please select an industry.","Veuillez sélectionner une industrie."
"--Please Select--","--Sélectionnez s'il vous plaît--"
"Command ""%1"" was not found.","La commande ""%1"" n'a pas été trouvée."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","Les données sont invalides. Entrez les données en tant que chaîne ou données qui peuvent être converties en chaîne de caractères et réessayez."
"The data is invalid. Enter the data as a string and try again.","Les données sont invalides. Entrez les données en tant que chaîne et réessayez."
"The data is invalid. Use a valid cipher method and try again.","Les données sont invalides. Utilisez une méthode de chiffrement valide et réessayez."
"Enter the encryption key and try again.","Entrez la clé de chiffrement et réessayez."
"The ""%1"" source doesn't exist.","La source ""%1"" n'existe pas."
"These arguments can't be empty ""%1""","Ces arguments ne peuvent pas être vides « %1 »"
"Cannot find predefined integration user!","Impossible de trouver l'intégration prédéfinie par l'utilisateur !"
"File is not ready yet.","Le fichier n'est pas encore prêt."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Votre URL de Base a été modifiée et vos rapports sont en cours de mise à jour. Le rapport avancé sera disponible une fois que ce changement sera traité. Réessayez à nouveau plus tard."
"Failed to synchronize data to the Magento Business Intelligence service. ","Impossible de synchroniser les données vers le service Magento Business Intelligence. "
"Retry Synchronization","Réessayer la synchronisation"
"TestMessage","TestMessage"
"Apps and Games","Applications et jeux"
"Athletic/Sporting Goods","Articles de sport"
"Art and Design","Art et design"
"Advanced Reporting","Rapport avancé"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Obtenez de nouvelles informations et prenez le contrôle des performances de votre entreprise grâce à nos rapports dynamiques sur les produits, les commandes et les clients adaptés à vos données clients."
"Go to Advanced Reporting","Aller à rapport avancé"
"Analytics","Analyses"
"API","API"
"Configuration","Configuration"
"Business Intelligence","Business Intelligence"
"BI Essentials","BI Essentials"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","Ce service fournit une suite dynamique de rapports avec des informations détaillées sur votre entreprise.
                Vos rapports sont accessibles en toute sécurité sur un tableau de bord personnalisé en dehors du panneau d'administration en cliquant sur le                lien ""Accéder aux rapports avancés"".</br>Pour plus d'informations, consultez nos <a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">                termes et conditions</a>."
"Advanced Reporting Service","Service de rapport avancé"
"Time of day to send data","Heure d'envoie de données"
"Industry Data","Industry Data"
"Industry","Industrie"
"In order to personalize your Advanced Reporting experience, please select your industry.","Afin de personnaliser votre expérience de création de rapports avancés, veuillez sélectionner votre secteur."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Obtenez plus d'informations de Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence vous propose une façon de lire vos données                    en un coup d'oeil.</br>En savoir plus sur<a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials et BI Pro</a>tiers."
"Auto Parts","Pièces auto"
"Baby/Children’s Apparel, Gear and Toys","Vêtements pour bébés/enfants, et jouets"
"Beauty and Cosmetics","Beauté et cosmétiques"
"Books, Music and Magazines","Livres, musique et magazines"
"Crafts and Stationery","Artisanat et papeterie"
"Consumer Electronics","Électronique grand public"
"Deal Site","Affaire du site"
"Fashion Apparel and Accessories","Accessoires et vêtements de mode"
"Food, Beverage and Grocery","Aliments, boissons et épiceries"
"Home Goods and Furniture","Meubles et produits de la maison"
"Home Improvement","Rénovation de l’habitat"
"Jewelry and Watches","Bijoux et montres"
"Mass Merchant","Marchand grossiste"
"Office Supplies","Fournitures de bureau"
"Outdoor and Camping Gear","Équipement de plein air et camping"
"Pet Goods","Produits pour animaux de compagnie"
"Pharma and Medical Devices","Pharmaceutiques et dispositifs médicaux"
"Technology B2B","Technologie B2B"
"Other","Autre"
