"Back","Назад"
"Done","Завршено"
"Retry","Retry"
"'Action Details - #' .","'Детали за акцијата - #' ."
"%1 item(s) have been scheduled for update.""","%1 item(s) have been scheduled for update."""
"Bulk Actions Log","Bulk Actions Log"
"%1 item(s) are currently being updated.","%1 item(s) are currently being updated."
"Task ""%1"": ","Task ""%1"": "
"%1 item(s) have been scheduled for update.","%1 item(s) have been scheduled for update."
"%1 item(s) have been successfully updated.","%1 item(s) have been successfully updated."
"%1 item(s) failed to update","%1 item(s) failed to update"
"Details","Детали"
"View Details","Види детали"
"Dismiss","Dismiss"
"Pending, in queue...","Pending, in queue..."
"%1 items selected for mass update","%1 items selected for mass update"
", %1 successfully updated",", %1 successfully updated"
", %1 failed to update",", %1 failed to update"
"Something went wrong.","Something went wrong."
"Action Log","Action Log"
"Bulk Actions","Bulk Actions"
"Days Saved in Log","Days Saved in Log"
"Description of Operation","Description of Operation"
"Summary","Преглед"
"Start Time","Start Time"
"Items to Retry","Items to Retry"
"To retry, select the items and click “Retry”.","To retry, select the items and click “Retry”."
"Items That Can’t Be Updated.","Items That Can’t Be Updated."
"ID","ID"
"Status","Статус"
"Meta Information","Meta Information"
"Error","Грешка"
"Dismiss All Completed Tasks","Dismiss All Completed Tasks"
"Action Details - #","Детали за акцијата - #"
"Number of Records Affected","Number of Records Affected"
