"Back","Voltar"
"Done","Concluído"
"Retry","Tentar novamente"
"'Action Details - #' .","'Detalhes de Ação - #' ."
"%1 item(s) have been scheduled for update.""","%1 Item (ns) foram marcados para atualização."""
"Bulk Actions Log","Log de ações em massa"
"Bulk uuid %bulkUuid not exist","O uuid %bem massa não existe"
"Topic %1","Tópico %1"
"Something went wrong while processing the request.","Algo correu mal ao processar a sua encomenda."
"Error processing %key element of input data","Erro ao processar o elemento %key dos dados de entrada"
"Sorry, something went wrong during product prices update. Please see log for details.","Desculpa, algo deu errado durante a atualização dos preços do produto. Por favor, veja o log para obter detalhes."
"%1 item(s) are currently being updated.","atualmente está(ão) %1 Item(ns) a ser(em) atualizado(s)."
"Task ""%1"": ","Tarefa ""%1"": "
"%1 item(s) have been scheduled for update.","%1 Item (ns) foram marcados para atualização."
"%1 item(s) have been successfully updated.","%1 Item (ns) foram atualizados com êxito."
"%1 item(s) failed to update","%1 item(ns) falhou(ram) ao atualizar"
"Details","Detalhes"
"View Details","Ver Detalhes"
"Dismiss","Dispensar"
"Pending, in queue...","Pendente, em fila..."
"%1 items selected for mass update","%1 itens selecionados para atualização em massa"
", %1 successfully updated",", %1 atualizado com sucesso"
", %1 failed to update",", %1 falha(s) ao atualizar"
"Something went wrong.","Algo correu mal."
"Action Log","Log de Ação"
"Report","Relatório"
"Bulk Actions","Ações em massa"
"Action Logs","Historial de ações"
"Days Saved in Log","Dias, salvos em Log"
"Description of Operation","Descrição da operação"
"Summary","Resumo"
"Start Time","Hora de início"
"Items to Retry","Itens para repetição"
"To retry, select the items and click “Retry”.","Para repetir, selecione os itens e clique em ""Repetir""."
"Items That Can’t Be Updated.","Itens que não podem ser atualizados."
"ID","Id."
"Status","Estado"
"Meta Information","Meta-informação"
"Error","Erro"
"Dismiss All Completed Tasks","Descartar tudo concluído as tarefas"
"Action Details - #","Detalhes de Ação - #"
"Number of Records Affected","Número de registros afetados"
