"Back","Înapoi"
"Done","Efectuat"
"Retry","Reîncearcă"
"'Action Details - #' .","'Detalii acțiune - #' ."
"%1 item(s) have been scheduled for update.""","%1 articol(e) au fost programate pentru actualizare."""
"Bulk Actions Log","Jurnal acțiuni în masă"
"Bulk uuid %bulkUuid not exist","Nu există uuid volum %bulkUuid"
"Topic %1","Subiect %1"
"Something went wrong while processing the request.","A avut loc o eroare la procesarea solicitării."
"Error processing %key element of input data","Eroare procesare %key element al datelor introduse"
"Sorry, something went wrong during product prices update. Please see log for details.","Ne pare rău, ceva nu a mers bine în timpul actualizării prețului produsului. Vedeți jurnalul pentru detalii."
"%1 item(s) are currently being updated.","%1 element(e) sunt în curs de actualizare."
"Task ""%1"": ","Sarcina ""%1"": "
"%1 item(s) have been scheduled for update.","%1 articol(e) au fost programate pentru actualizare."
"%1 item(s) have been successfully updated.","%1 articol(e) au fost actualizate cu succes."
"%1 item(s) failed to update","%1 articol(e) nu au putut fi actualizate"
"Details","Detalii"
"View Details","Vezi Detalii"
"Dismiss","Revocaţi"
"Pending, in queue...","În așteptare, la coadă..."
"%1 items selected for mass update","%1 elemente selectate pentru actualizare în masă"
", %1 successfully updated",", %1 actualizat cu succes"
", %1 failed to update",", %1 nu a reușit să actualizeze"
"Something went wrong.","Ceva nu a funcționat corect."
"Action Log","Jurnal de acțiuni"
"Report","Raport"
"Bulk Actions","Acțiuni în masă"
"Action Logs","Jurnal de Acțiuni"
"Days Saved in Log","Zile salvate în jurnal"
"Description of Operation","Descrierea operațiunii"
"Summary","Cuprins"
"Start Time","Dată de început"
"Items to Retry","Elemente de reîncercat"
"To retry, select the items and click “Retry”.","Pentru a reîncerca, selectaţi elementele şi faceţi clic pe „Reîncearcă”."
"Items That Can’t Be Updated.","Elemente care nu pot fi actualizate."
"ID","ID"
"Status","Status"
"Meta Information","Informații Meta"
"Error","Eroare"
"Dismiss All Completed Tasks","Închideți toate sarcinile finalizate"
"Action Details - #","Detalii acțiune - #"
"Number of Records Affected","Numărul de înregistrări afectate"
