"You created the order.","ನೀವು ವ್ಯಾಪಾರಾದೇಶ ರಚಿಸಿದ್ದೀರಿ."
"Order saving error: %1","Order saving error: %1"
"Please choose a payment method.","ದಯವಿಟ್ಟು ಪಾವತಿ ವಿದಾನವನ್ನು ಆರಿಸಿ."
"We can't process your order right now. Please try again later.","We can't process your order right now. Please try again later."
"An error occurred on the server. Please try to place the order again.","An error occurred on the server. Please try to place the order again."
"Credit Card: xxxx-%1","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್: xxxx-%1"
"amount %1","ಮೊತ್ತ %1"
"failed.","ವಿಫಲಗೊಂಡಿದೆ."
"successful.","ಯಶಸ್ವಿಯಾಗಿದೆ."
"Authorize.Net Transaction ID %1.","Authorize.Net Transaction ID %1."
"authorize","ದೃಢೀಕರಿಸಿ"
"authorize and capture","authorize and capture"
"capture","capture"
"refund","ಮರುಪಾವತಿಸಿ"
"void","void"
"Gateway error: %1","Gateway error: %1"
"Something went wrong in the payment gateway.","ಪಾವತಿ ಗೇಟ್‍‍ವೇನಲ್ಲಿ ಯಾವುದೋ ದೋಷ ಸಂಭವಿಸಿದೆ."
"Invalid amount for capture.","Invalid amount for capture."
"Payment capturing error.","Payment capturing error."
"Invalid transaction ID.","Invalid transaction ID."
"Payment voiding error.","Payment voiding error."
"Invalid amount for refund.","ಮರುಪಾವತಿಗೆ ಅಮಾನ್ಯವಾದ ಮೊತ್ತ."
"Payment refunding error.","Payment refunding error."
"The transaction was declined because the response hash validation failed.","The transaction was declined because the response hash validation failed."
"This payment didn't work out because we can't find this order.","This payment didn't work out because we can't find this order."
"There was a payment authorization error.","ಪಾವತಿ ದೃಢೀಕರಣದ ಒಂದು ದೋಷ ಸಂಭವಿಸಿದೆ."
"Please enter a transaction ID to authorize this payment.","Please enter a transaction ID to authorize this payment."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transaction %1 has been approved. Amount %2. Transaction status is ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3."
"Authorize Only","ದೃಢೀಕರಣ ಮಾತ್ರ"
"Authorize and Capture","Authorize and Capture"
"Unable to get transaction details. Try again later.","Unable to get transaction details. Try again later."
"Electronic payments save the trees.","Electronic payments save the trees."
"Credit Card Type","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ವಿಧ"
"Please Select","ದಯವಿಟ್ಟು ಆರಿಸಿ"
"Credit Card Number","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಸಂಖ್ಯೆ"
"Expiration Date","ಅವಧಿ ಅಂತ್ಯದ ದಿನಾಂಕ"
"Card Verification Number","ಕಾರ್ಡಿನ ಪರಿಶೀಲನಾ ಸಂಖ್ಯೆ"
"Fraud Detection ","Fraud Detection "
"FDS Filter Action","FDS Filter Action"
"AVS Response","AVS Response"
"Card Code Response","Card Code Response"
"CAVV Response","CAVV Response"
"Fraud Filters","Fraud Filters"
"Place Order","ಖರೀದಿಸಿ"
"Sorry, but something went wrong. Please contact the seller.","Sorry, but something went wrong. Please contact the seller."
"Authorize.net Direct Post","Authorize.net Direct Post"
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"Payment Action","ಪಾವತಿ ಕ್ರಿಯೆ"
"Title","ಶೀರ್ಷಿಕೆ"
"API Login ID","API ಲಾಗಿನ್ ID"
"Transaction Key","ವಹಿವಾಟಿನ ಕೀ"
"Merchant MD5","ವರ್ತಕರ MD5"
"New Order Status","ಹೊಸ ವ್ಯಾಪಾರಾದೇಶದ ಸ್ಠಿತಿ"
"Test Mode","ಪರೀಕ್ಷಾ ಕ್ರಮ"
"Gateway URL","Gateway URL"
"Transaction Details URL","ವ್ಯವಹಾರದ ವಿವರಗಳ URL"
"Accepted Currency","ಅಂಗೀಕರಿಸುವ ಕರೆನ್ಸಿ"
"Debug","ಡೀಬಗ್"
"Email Customer","ಗ್ರಾಹಕರಿಗೆ ಮಿಂಚೆ ಕಳುಹಿಸಿ"
"Merchant's Email","ವರ್ತಕರ ಮಿಂಚೆ"
"Credit Card Types","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ವಿಧ"
"Credit Card Verification","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಪರಿಶೀಲನೆ"
"Payment from Applicable Countries","ಅನ್ವಯವಾಗುವ ರಾಷ್ಟ್ರಗಳಿಂದ ಪಾವತಿ"
"Payment from Specific Countries","ನಿರ್ದಿಷ್ಟ ರಾಷ್ಟ್ರಗಳಿಂದ ಪಾವತಿ"
"Minimum Order Total","ಕನಿಷ್ಟ ವ್ಯಾಪಾರಾದೇಶದ ಮೊತ್ತ"
"Maximum Order Total","ಗರಿಷ್ಟ ವ್ಯಾಪಾರಾದೇಶದ ಮೊತ್ತ"
"Sort Order","ವಿಂಗಡಣಾ ಕ್ರಮ"
"Cannot place order.","ವ್ಯಾಪಾರಾದೇಶಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"'Gateway error: ' .","'Gateway error: ' ."
"Unable to place order. Please try again later.","Unable to place order. Please try again later."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The transaction details are unavailable. Please try again later.","The transaction details are unavailable. Please try again later."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Deprecated)"
"Signature Key","Signature Key"
