"You created the order.","주문을 생성했습니다."
"Order saving error: %1","주문 저장 에러: %1"
"Please choose a payment method.","결제방법을 선택해 주십시오."
"We can't process your order right now. Please try again later.","주문을 처리할 수 없습니다. 나중에 다시 시도 하십시오."
"An error occurred on the server. Please try to place the order again.","An error occurred on the server. Please try to place the order again."
"Credit Card: xxxx-%1","신용 카드: xxxx-%1"
"amount %1","금액 %1"
"failed.","실패."
"successful.","성공."
"Authorize.Net Transaction ID %1.","Authorize.Net 트랜젝션 ID %1."
"authorize","인증"
"authorize and capture","authorize and capture"
"capture","캡처"
"refund","환불"
"void","무효"
"Gateway error: %1","게이트웨이 에러: %1"
"Something went wrong in the payment gateway.","결제 게이트웨이에서 문제가 발생했습니다."
"Invalid amount for capture.","잘못된 캡쳐 금액입니다."
"Payment capturing error.","결제 캡쳐 오류."
"Invalid transaction ID.","잘못된 트렌젝션 ID."
"Payment voiding error.","결제 무효 에러."
"Invalid amount for refund.","잘못된 환불 금액."
"Payment refunding error.","결제 환불 에러."
"The transaction was declined because the response hash validation failed.","응답 해시의 확인 실패로 트랜잭션이 거부되었습니다."
"This payment didn't work out because we can't find this order.","This payment didn't work out because we can't find this order."
"There was a payment authorization error.","결제 인증 에러가 발생했습니다."
"Please enter a transaction ID to authorize this payment.","해당 결제를 인증하기 위한 트랜잭션 ID를 입력해 주십시오."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","트랜잭션 %1이(가) 허가되었습니다. 금액 %2. 트랜잭션 상태는 ""%3"" 입니다."
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","트랜잭션 %1이(가) 무효/거부되었습니다. 트랜잭션 상태는 ""%2"" 입니다. 금액 %3."
"Authorize Only","인증만"
"Authorize and Capture","인증과 캡쳐"
"Unable to get transaction details. Try again later.","트랜잭션 상세 정보를 불러올 수 없습니다. 나중에 다시 시도합니다."
"Electronic payments save the trees.","전자 지불"
"Credit Card Type","신용카드 타입"
"Please Select","선택하세요"
"Credit Card Number","신용카드 번호"
"Expiration Date","유효기간"
"Card Verification Number","카드 인증 번호"
"Fraud Detection ","사기 탐지 "
"FDS Filter Action","FDS 필터 동작"
"AVS Response","AVS 응답"
"Card Code Response","카드 코드 응답"
"CAVV Response","CAVV 응답"
"Fraud Filters","사기 필터"
"Place Order","주문하기"
"Sorry, but something went wrong. Please contact the seller.","죄송 합니다, 하지만 뭔가 잘못 되었다. 판매자에 게 연락 하십시오."
"Authorize.net Direct Post","Authorize.net Direct Post"
"Enabled","활성화"
"Payment Action","결제 방법"
"Title","타이틀"
"API Login ID","API 로그인 ID"
"Transaction Key","트랜잭션 키"
"Merchant MD5","Merchant MD5"
"New Order Status","새 주문 진행상태"
"Test Mode","테스트 모드"
"Gateway URL","게이트웨이 URL"
"Transaction Details URL","트랜잭션 상세 URL"
"Accepted Currency","허용된 통화"
"Debug","디버그"
"Email Customer","이메일 고객"
"Merchant's Email","Merchant 이메일"
"Credit Card Types","신용카드 타입"
"Credit Card Verification","신용카드 확인"
"Payment from Applicable Countries","해당 국가에서 지불"
"Payment from Specific Countries","특정 국가에서 지불"
"Minimum Order Total","최소 주문 합계"
"Maximum Order Total","최대 주문 합계"
"Sort Order","정렬 순서"
"Cannot place order.","주문을 진행할 수 없습니다."
"'Gateway error: ' .","'Gateway error: ' ."
"Unable to place order. Please try again later.","주문을 진행할 수 없습니다. 나중에 다시 시도 하십시오."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The transaction details are unavailable. Please try again later.","The transaction details are unavailable. Please try again later."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Deprecated)"
"Signature Key","Signature Key"
