"You created the order.","Ai creat comanda."
"Order saving error: %1","Eroare la salvarea comenzii: %1"
"Please choose a payment method.","Te rugăm să alegi o metodă de plată."
"We can't process your order right now. Please try again later.","Nu îți putem procesa comanda acum. Te rugăm să încerci din nou mai târziu."
"An error occurred on the server. Please try to place the order again.","A apărut o eroare pe server. Te rugăm să încerci să plasezi comanda din nou."
"Credit Card: xxxx-%1","Card de credit: xxxx-%1"
"amount %1","suma %1"
"failed.","eșuat."
"successful.","reușit."
"Authorize.Net Transaction ID %1.","Authorize.Net ID Tranzacție %1."
"authorize","autorizează"
"authorize and capture","autorizează și capturează"
"capture","capturează"
"refund","restituire"
"void","nul"
"Gateway error: %1","Gateway error: %1"
"Something went wrong in the payment gateway.","Ceva nu a mers bine în gateway-ul de plată."
"Invalid amount for capture.","Sumă nevalidă pentru capturare."
"Payment capturing error.","Eroare la capturarea plății."
"Invalid transaction ID.","ID tranzacție nevalid."
"Payment voiding error.","Eroare de anulare a plății."
"Invalid amount for refund.","Sumă nevalidă pentru rambursare."
"Payment refunding error.","Eroare de rambursare a plății."
"The transaction was declined because the response hash validation failed.","Tranzacția a fost refuzată deoarece validarea hash-ului a eșuat."
"This payment didn't work out because we can't find this order.","Această plată nu a funcţionat deoarece nu putem găsi această comandă."
"There was a payment authorization error.","A apărut o eroare la autorizarea plății."
"Please enter a transaction ID to authorize this payment.","Te rugăm să introduci ID-ul tranzacției pentru a autoriza această plată."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Ceva nu a mers bine: suma plătită nu corespunde sumei comenzii. Corectați acest lucru și încercați din nou."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Tranzacția %1 a fost aprobată. Suma %2. Statusul tranzacției este ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Tranzacția %1 a fost anulată/refuzată. Statusul tranzacției este ""%2"". Suma %3."
"Authorize Only","Autorizează doar"
"Authorize and Capture","Autorizează și Capturează"
"Unable to get transaction details. Try again later.","Imposibil de obținut detaliile tranzacției. Încercați din nou mai târziu."
"Electronic payments save the trees.","Plățile electronice salvează copacii."
"Credit Card Type","Tipul Cardului de Credit"
"Please Select","Selectați"
"Credit Card Number","Număr card de credit"
"Expiration Date","Data expirării"
"Card Verification Number","Număr verificare card"
"Fraud Detection ","Detectarea fraudelor "
"FDS Filter Action","Acțiune Filtru de FDS"
"AVS Response","Răspuns AVS"
"Card Code Response","Răspuns cod card"
"CAVV Response","Răspuns CAVV"
"Fraud Filters","Filtre pentru fraudă"
"Place Order","Plasează comandă"
"Sorry, but something went wrong. Please contact the seller.","Ne pare rău, dar ceva nu a mers bine. Te rugăm să contactezi vânzătorul."
"Authorize.net Direct Post","Authorize.net Postare directă"
"Enabled","Activat"
"Payment Action","Acțiune de plată"
"Title","Titlu"
"API Login ID","ID API Login"
"Transaction Key","Cheie tranzacție"
"Merchant MD5","MD5 Comerciant"
"New Order Status","Status Comandă nouă"
"Test Mode","Mod test"
"Gateway URL","URL gateway"
"Transaction Details URL","URL-ul detaliilor tranzacţiei"
"Accepted Currency","Acceptat Moneda"
"Debug","Depanare"
"Email Customer","E-mail client"
"Merchant's Email","E-mailul comerciantului"
"Credit Card Types","Tipuri de card de credit"
"Credit Card Verification","Verificare card de credit"
"Payment from Applicable Countries","Plată din țările aplicabile"
"Payment from Specific Countries","Plată din țări specifice"
"Minimum Order Total","Totalul minim al comenzii"
"Maximum Order Total","Maxim Total Comanda"
"Sort Order","Ordine de sortare"
"Cannot place order.","Nu se poate plasa comanda."
"'Gateway error: ' .","„Eroare gateway:” ."
"Unable to place order. Please try again later.","Nu s-a putut plasa comanda. Te rugăm să încerci din nou mai târziu."
"A server error stopped your order from being placed. Please try to place your order again.","O eroare de server a împiedicat plasarea comenzii tale. Te rugăm să încerci să plasezi comanda din nou."
"The transaction details are unavailable. Please try again later.","Detaliile tranzacției nu sunt disponibile. Te rugăm să încerci din nou mai târziu."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Post Direct (Depreciat)"
"Signature Key","Cheie Semnătură"
