"You created the order.","Du skapade beställningen."
"Order saving error: %1","Sparafel: %1 för beställningen"
"Please choose a payment method.","Välj en betalningsmetod."
"We can't process your order right now. Please try again later.","Vi kan inte behandla din beställning just nu. Försök igen senare."
"An error occurred on the server. Please try to place the order again.","Ett fel uppstod på servern. Försök att lägga beställningen igen."
"Credit Card: xxxx-%1","Kreditkort: xxxx-%1"
"amount %1","belopp %1"
"failed.","misslyckades."
"successful.","lyckades."
"Authorize.Net Transaction ID %1.","Authorize.Net transaktions-ID %1."
"authorize","auktorisera"
"authorize and capture","auktorisera och fånga"
"capture","fånga"
"refund","återbetalning"
"void","makulera"
"Gateway error: %1","Gateway fel: %1"
"Something went wrong in the payment gateway.","Något gick fel i betalningsgateway."
"Invalid amount for capture.","Kan inte ta betalt, ogiltigt belopp."
"Payment capturing error.","Betalningsfel"
"Invalid transaction ID.","Ogiltigt transaktions-ID."
"Payment voiding error.","Betalningsfel"
"Invalid amount for refund.","Ogiltigt belopp för återbetalning."
"Payment refunding error.","Återbetalningsfel"
"The transaction was declined because the response hash validation failed.","Transaktionen nekades eftersom svar hash-verifieringen misslyckades."
"This payment didn't work out because we can't find this order.","Betalningen kunde inte utföras eftersom vi inte kan hitta ordern."
"There was a payment authorization error.","En betalning auktorisering fel uppstod."
"Please enter a transaction ID to authorize this payment.","Ange en transaktions-ID för att godkänna betalningen."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Något gick fel: det betalade beloppet inte matchar orderbeloppet. Vänligen rätta till detta och försök igen."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transaktion %1 har godkänts. Belopp %2. Status är ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transaktion %1 varit annullerad/minskade. Transaktionsstatusen är ""%2"". Belopp %3."
"Authorize Only","Tillåta endast"
"Authorize and Capture","Auktorisera och debitera"
"Unable to get transaction details. Try again later.","Det går inte att få information om transaktionen. Försök igen senare."
"Electronic payments save the trees.","Elektroniska betalningar sparar på skogen."
"Credit Card Type","Kreditkortstyp"
"Please Select","Vänligen välj"
"Credit Card Number","Kreditkortsnummer"
"Expiration Date","Utgångsdatum"
"Card Verification Number","Verifikationsnummer för kort"
"Fraud Detection ","Bedrägerikontroll "
"FDS Filter Action","FDS filteråtgärd"
"AVS Response","AVS svar"
"Card Code Response","Kort kod svar"
"CAVV Response","CAVV svar"
"Fraud Filters","Bedrägeri filter"
"Place Order","Beställ"
"Sorry, but something went wrong. Please contact the seller.","Tyvärr, något gick fel. Kontakta affären."
"Authorize.net Direct Post","Authorize.net direkt Post"
"Enabled","Aktiverad"
"Payment Action","Betalningsåtgärd"
"Title","Titel"
"API Login ID","API inloggnings-Id"
"Transaction Key","Transaktionsnyckel"
"Merchant MD5","Köpman MD5"
"New Order Status","Ny orderstatus"
"Test Mode","Testläge"
"Gateway URL","Gateway-URL"
"Transaction Details URL","Transaktions Detaljer URL"
"Accepted Currency","Accepterade valutor"
"Debug","Felsök"
"Email Customer","Email kund"
"Merchant's Email","Merchants Email"
"Credit Card Types","Kreditkortstyper"
"Credit Card Verification","Kontokortsverifiering"
"Payment from Applicable Countries","Betalning från tillämpliga länder"
"Payment from Specific Countries","Betalning från specifika länder"
"Minimum Order Total","Minsta orderbelopp"
"Maximum Order Total","Högsta orderbelopp"
"Sort Order","Sorteringsordning"
"Cannot place order.","Det gick inte att skapa ordern."
"'Gateway error: ' .","'Gateway error: ' ."
"Unable to place order. Please try again later.","Det går inte att beställa. Försök igen senare."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The transaction details are unavailable. Please try again later.","The transaction details are unavailable. Please try again later."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Deprecated)"
"Signature Key","Signature Key"
