"There was an error while trying to process the request.","There was an error while trying to process the request."
"This transaction cannot be refunded with its current status.","This transaction cannot be refunded with its current status."
"Something went wrong in the payment gateway.","Notikusi kļūda maksājuma vārtejā."
"The authenticity of the gateway response could not be verified.","The authenticity of the gateway response could not be verified."
"Authorize Only","Tikai autorizācija"
"Authorize and Capture","Autorizēt un saņemt"
"Credit Card Type","Kredītkartes veids"
"Credit Card Number","Kredītkartes numurs"
"Expiration Date","Derīguma termiņš"
"Card Verification Number","Kredītkartes pārbaudes kods"
"Authorize.Net","Authorize.Net"
"Enabled","Ieslēgts"
"Basic Authorize.Net Settings","Basic Authorize.Net Settings"
"Title","Nosaukums"
"Environment","Vide"
"Payment Action","Maksājuma darbība"
"API Login ID","API Login ID"
"Transaction Key","Transakcijas atslēga"
"Public Client Key","Public Client Key"
"Signature Key","Signature Key"
"Merchant MD5 (deprecated)","Merchant MD5 (deprecated)"
"Advanced Authorize.Net Settings","Advanced Authorize.Net Settings"
"Accepted Currency","Akceptētā valūta"
"Debug","Atkļūdot"
"Email Customer","E-pasta klientam"
"Enable Credit Card Verification Field","Enable Credit Card Verification Field"
"Credit Card Types","Kredītkaršu veidi"
"Payment from Applicable Countries","Maksājumi no pieejamām valstīm"
"Payment from Specific Countries","Maksājumi no noteiktām valstīm"
"Minimum Order Total","Minimālā pasūtījuma summa"
"Maximum Order Total","Maksimālā pasūtījuma summa"
"Sort Order","Kārtošanas secība"
"Invalid request to gateway.","Invalid request to gateway."
"Invalid gateway credentials.","Invalid gateway credentials."
"Transaction has been declined. Please try again later.","Transaction has been declined. Please try again later."
