"There was an error while trying to process the request.","There was an error while trying to process the request."
"This transaction cannot be refunded with its current status.","This transaction cannot be refunded with its current status."
"Something went wrong in the payment gateway.","Algo correu mal no gateway de pagamentos."
"The authenticity of the gateway response could not be verified.","The authenticity of the gateway response could not be verified."
"Authorize Only","Autorizar apenas"
"Authorize and Capture","Autorizar e capturar"
"Credit Card Type","Tipo de cartão de crédito"
"Credit Card Number","Número de cartão de crédito"
"Expiration Date","Data de validade"
"Card Verification Number","Número de verificação de cartão"
"Authorize.Net","Authorize.Net"
"Enabled","Ativo"
"Basic Authorize.Net Settings","Basic Authorize.Net Settings"
"Title","Título"
"Environment","Ambiente"
"Payment Action","Ação de Pagamento"
"API Login ID","ID de Login da API"
"Transaction Key","Chave de Transação"
"Public Client Key","Public Client Key"
"Signature Key","Signature Key"
"Merchant MD5 (deprecated)","Merchant MD5 (deprecated)"
"Advanced Authorize.Net Settings","Advanced Authorize.Net Settings"
"Accepted Currency","Moedas Aceites"
"Debug","Depurar"
"Email Customer","Enviar Email ao Cliente"
"Enable Credit Card Verification Field","Enable Credit Card Verification Field"
"Credit Card Types","Tipos de Cartão de Crédito"
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento de Países Específicos"
"Minimum Order Total","Valor Mínimo da Encomenda"
"Maximum Order Total","Valor Máximo da Encomenda"
"Sort Order","Ordenação"
"Invalid request to gateway.","Invalid request to gateway."
"Invalid gateway credentials.","Invalid gateway credentials."
"Transaction has been declined. Please try again later.","A transacção foi recusada. Por favor tente novamente mais tarde."
