"There was an error while trying to process the request.","There was an error while trying to process the request."
"This transaction cannot be refunded with its current status.","This transaction cannot be refunded with its current status."
"Something went wrong in the payment gateway.","Niečo sa pokazilo v platobnej bráne."
"The authenticity of the gateway response could not be verified.","The authenticity of the gateway response could not be verified."
"Authorize Only","Len schváliť"
"Authorize and Capture","Schváliť a získať"
"Credit Card Type","Typ kreditnej karty"
"Credit Card Number","Číslo kreditnej karty"
"Expiration Date","Dátum expirácie"
"Card Verification Number","Overovacie číslo karty"
"Authorize.Net","Authorize.Net"
"Enabled","Zapnuté"
"Basic Authorize.Net Settings","Basic Authorize.Net Settings"
"Title","Titulok"
"Environment","Environment"
"Payment Action","Platobná akcia"
"API Login ID","API Login ID"
"Transaction Key","Transakčný kľúč"
"Public Client Key","Public Client Key"
"Signature Key","Signature Key"
"Merchant MD5 (deprecated)","Merchant MD5 (deprecated)"
"Advanced Authorize.Net Settings","Advanced Authorize.Net Settings"
"Accepted Currency","Akceptovaná mena"
"Debug","Ladenie"
"Email Customer","E-mailovať zákazníkovi"
"Enable Credit Card Verification Field","Enable Credit Card Verification Field"
"Credit Card Types","Typy kreditnej karty"
"Payment from Applicable Countries","Platba z dostupných krajín"
"Payment from Specific Countries","Platba z vybratých krajín"
"Minimum Order Total","Minimálna suma objednávky"
"Maximum Order Total","Maximálna suma objednávky"
"Sort Order","Poradie radenia"
"Invalid request to gateway.","Invalid request to gateway."
"Invalid gateway credentials.","Invalid gateway credentials."
"Transaction has been declined. Please try again later.","Transaction has been declined. Please try again later."
