"There was an error while trying to process the request.","There was an error while trying to process the request."
"This transaction cannot be refunded with its current status.","This transaction cannot be refunded with its current status."
"Something went wrong in the payment gateway.","Có vấn để ở cổng thanh toán."
"The authenticity of the gateway response could not be verified.","The authenticity of the gateway response could not be verified."
"Authorize Only","Chỉ ủy quyền"
"Authorize and Capture","Ủy quyền và chấp nhận giao dịch"
"Credit Card Type","Loại thẻ tín dụng"
"Credit Card Number","Số thẻ tín dụng"
"Expiration Date","Ngày hết hạn"
"Card Verification Number","Số xác minh thẻ"
"Authorize.Net","Authorize.Net"
"Enabled","Cho phép"
"Basic Authorize.Net Settings","Basic Authorize.Net Settings"
"Title","Tiêu đề"
"Environment","Môi Trường"
"Payment Action","Hành động thanh toán"
"API Login ID","ID Đăng Nhập qua API"
"Transaction Key","Mã Giao Dịch"
"Public Client Key","Public Client Key"
"Signature Key","Signature Key"
"Merchant MD5 (deprecated)","Merchant MD5 (deprecated)"
"Advanced Authorize.Net Settings","Advanced Authorize.Net Settings"
"Accepted Currency","Tiền Tệ Được Chấp Nhận"
"Debug","Sửa Lỗi"
"Email Customer","Địa Chỉ Email Khách Hàng"
"Enable Credit Card Verification Field","Enable Credit Card Verification Field"
"Credit Card Types","Các Loại Thẻ Tín Dụng"
"Payment from Applicable Countries","Thanh Toán từ Các Nước Được Áp Dụng"
"Payment from Specific Countries","Thanh Toán từ Các Nước Cụ Thể"
"Minimum Order Total","Giá Trị Đơn Hàng Tối Thiểu"
"Maximum Order Total","Giá Trị Đơn Hàng Tối Đa"
"Sort Order","Thứ tự sắp xếp"
"Invalid request to gateway.","Invalid request to gateway."
"Invalid gateway credentials.","Invalid gateway credentials."
"Transaction has been declined. Please try again later.","Giao dịch đã bị từ chối, vui lòng thử lại sau."
