"Close","Tanca"
"options","opcions"
"Select all","Selecciona-ho tot"
"Deselect all","Desselecciona-ho tot"
"Cancel","Cancel·la"
"Done","Fet"
"Selected","Selected"
"We couldn't find any records.","We couldn't find any records."
" Item(s)"," Item(s)"
"Items ","Items "
" to "," to "
" of "," of "
" total"," total"
"Page","Pàgina"
"Previous","Anterior"
"You're currently reading page","You're currently reading page"
"Next","Següent"
"Show","Mostra"
"per page","per page"
"Please Select","Si us plau seleccioni"
"%s of %s selected","%s de %s seleccionats"
"Search by keyword","Cerca per paraula clau"
"This is a required field.","Aquest és un camp obligatori."
"B2B Features","Característiques B2B"
