"Close","Schließen"
"options","Optionen"
"Select all","Alle auswählen"
"Deselect all","Alle abwählen"
"Cancel","Stornieren"
"Done","Fertig"
"Selected","Markierte"
"We couldn't find any records.","Es wurden keine Einträge gefunden."
" Item(s)"," Objekt(e)"
"Items ","Objekt "
" to "," bis "
" of "," von "
" total"," gesamt"
"Page","Seite"
"Previous","Vorherige"
"You're currently reading page","Sie lesen gerade die Seite"
"Next","Weiter"
"Show","Anzeigen"
"per page","pro Seite"
"Please Select","Bitte wählen"
"%s of %s selected","%s von %s ausgewählt"
"Search by keyword","Suche nach Schlagwort"
"This is a required field.","Dies ist ein Pflichtfeld."
"B2B Features","B2B Funktionen"
