"Close","Cerrar"
"options","opciones"
"Select all","Seleccionar todo"
"Deselect all","Anular todas las selecciones"
"Cancel","Cancelar"
"Done","Hecho"
"Selected","Seleccionado"
"We couldn't find any records.","No se pudo encontrar ningún registro."
" Item(s)"," Artículo(s)"
"Items ","Artículos "
" to "," a "
" of "," de "
" total"," total"
"Page","Página"
"Previous","Anterior"
"You're currently reading page","Está leyendo la página"
"Next","Siguiente"
"Show","Ver"
"per page","por página"
"Please Select","Bitte auswählen"
"%s of %s selected","%s de %s seleccionados"
"Search by keyword","Búsqueda por palabra clave"
"This is a required field.","Este campo es obligatorio."
"B2B Features","Características B2B"
