"Close","Cerrar"
"options","opciones"
"Select all","Seleccionar todo"
"Deselect all","Anular todas las selecciones"
"Cancel","Cancelar"
"Done","Hecho"
"Selected","Seleccionado"
"We couldn't find any records.","No pudimos encontrar ningún registro."
" Item(s)"," artículo(s)"
"Items ","Artículos "
" to "," para"
" of "," de"
" total"," total"
"Page","Página"
"Previous","Anterior"
"You're currently reading page","Actualmente estás leyendo la página"
"Next","Siguiente"
"Show","Mostrar"
"per page","por página"
"Please Select","Por favor seleccione"
"%s of %s selected","%s de %s seleccionados"
"Search by keyword","Buscar por palabra clave"
"This is a required field.","Este campo es obligatorio."
"B2B Features","Características B2B"
