"Close","Chiudi"
"options","opzioni"
"Select all","Seleziona tutto"
"Deselect all","Deseleziona tutto"
"Cancel","Annulla"
"Done","Fine"
"Selected","Selezionato"
"We couldn't find any records.","Non abbiamo trovato alcun record."
" Item(s)"," Elemento/i"
"Items ","Elementi "
" to "," a "
" of "," di "
" total"," totale"
"Page","Pagina"
"Previous","Precedente"
"You're currently reading page","Attualmente stai leggendo la pagina"
"Next","Successivo"
"Show","Mostra"
"per page","per pagina"
"Please Select","Seleziona"
"%s of %s selected","%s di %s selezionati"
"Search by keyword","Ricerca per parola chiave"
"This is a required field.","Questo è un campo obbligatorio."
"B2B Features","Funzionalità B2B"
