"Invalid Form Key. Please refresh the page.","مفتاح النموذج غير صالح. الرجاء اعادة تنشيط الصفحة."
"You entered an invalid Secret Key. Please refresh the page.","قمت بإدخال ""مفتاح سر"" غيرصالح. الرجاء تحديث الصفحة."
"Cache Storage Management","إدارة التخزين المؤقت"
"Flush Magento Cache","مسح ذاكرة التخزين المؤقت لماجنتو"
"The cache storage may contain additional data. Are you sure that you want to flush it?","ذاكرة التخزين المؤقت قد تحتوي على بيانات إضافية. هل أنت متأكد من أنك تريد مسحها؟"
"Flush Cache Storage","مسح ذاكرة التخزين المؤقت "
"Invalidated","إلغاء الصلاحية"
"Orders","طلبات الشراء"
"Amounts","المبالغ"
"Bestsellers","الأكثر مبيعاً"
"Most Viewed Products","المنتجات الأكثر مشاهدة"
"New Customers","عضو جديد"
"Customers","العملاء"
"Customer","زبون"
"Guest","زائر"
"Items","المنتجات"
"Total","إجمالي"
"Lifetime Sales","مبيعات مدى الحياة"
"Average Order","متوسط الطلبات"
"Average","متوسط"
"Product","المنتج"
"Price","السعر"
"Quantity","الكمية"
"Views","مشاهدات"
"Revenue","الإيرادات"
"Tax","الضريبة"
"Shipping","الشحن"
"Images (.gif, .jpg, .png)","الصور (.gif,.jpg,.png)"
"Media (.avi, .flv, .swf)","الوسائط (.avi, .flv, .swf)"
"All Files","كل الملفات"
"Reset to Default","إعادة ضبط للإعدادات الإفتراضية"
"All Store Views","واجهه جميع المواقع"
"What is this?","ما هذا؟"
"Save Account","حفظ الحساب"
"My Account","حسابي"
"Account Information","معلومات الحساب"
"User Name","اسم المستخدم"
"First Name","الإسم الأول"
"Last Name","اسم العائلة"
"Email","البريد الإلكتروني"
"User Email","البريد الإلكتروني للمستخدم"
"New Password","كلمة المرور الجديدة"
"Password Confirmation","تأكيد كلمة المرور"
"Interface Locale","لغة الواجهة"
"Current User Identity Verification","التحقق من هوية المستخدم الحالية"
"Your Password","كلمة المرور الخاصة بك"
"Save Cache Settings","حفظ إعدادات الذاكرة المؤقتة"
"Catalog Rewrites","Rewrites دليل المنتجات"
"Refresh","التحديث"
"Images Cache","ذاكرة التخزين المؤقت للصور"
"Clear","مسح"
"Search Index","فهرس البحث"
"Rebuild","إعادة بناء"
"Inventory Stock Status","حالة جرد المخزون"
"Rebuild Catalog Index","إعادة إنشاء فهرس دليل المنتجات"
"Rebuild Flat Catalog Category","إعادة إنشاء flat category لدليل المنتجات"
"Rebuild Flat Catalog Product","إعادة بناء  Flat Catalog Product"
"Cache Control","التحكم في التخزين المؤقت"
"All Cache","ذاكرة التخزين المؤقت"
"No change","لا يوجد تغيير"
"Disable","إبطال"
"Enable","تفعيل"
"Add Design Change","إضافة تغيير التصميم"
"Back","رجوع"
"Delete","احذف"
"Are you sure?","هل أنت متأكد؟"
"Save","حفظ"
"Edit Design Change","تعديل تغيير التصميم"
"New Store Design Change","تغيير تصميم المتجر الجديد"
"General Settings","إعدادات عامة"
"Store","متجر"
"-- Please Select --","--الرجاء الاختيار-"
"Custom Design","تصميم مخصص"
"Date From","التاريخ من"
"Date To","التاريخ إلى"
"Design Change","تغيير التصميم"
"General","عام"
"Cancel","إلغاء"
"Delete %1 '%2'","حذف %1 '%2'"
"Delete %1","حذف %1"
"Block Information","اغلاق المعلومات"
"Backup Options","خيارات النسخ الاحتياطي"
"Create DB Backup","إنشاء نسخة احتياطية لقاعدة البيانات"
"Yes","نعم"
"No","لا"
"Delete Store","حذف متجر"
"Delete Web Site","حذف موقع الويب"
"Save Web Site","حفظ موقع الويب"
"Save Store","حفظ المتجر"
"Save Store View","حفظ عرض المتجر"
"Delete Store View","حذف عرض متجر"
"Edit Web Site","تعديل موقع الويب"
"New Web Site","موقع ويب جديد"
"Edit Store","تعديل متجر"
"New Store","متجر جديد"
"Edit Store View","تعديل عرض المتجر"
"New Store View","عرض متجر جديد"
"Store Information","بيانات المتجر"
"Web Site","موقع"
"Name","اسم"
"Code","رمز"
"Root Category","التصنيف الجذر"
"Default Store View","عرض المتجر الافتراضي"
"Store View Information","بيانات عرض المتجر"
"Status","الحاله"
"Disabled","غير مفعل"
"Enabled","تفعيل"
"Sort Order","الترتيب"
"Web Site Information","بيانات الموقع"
"Default Store","المتجر الافتراضي"
"Set as Default","تعيين كافتراضي"
"Stores","محلات"
"Create Website","إنشاء موقع"
"Create Store","إنشاء متجر"
"Create Store View","إنشاء عرض متجر"
"Home","الصفحة الرئيسية"
"Reset","اعادة ضبط"
"Are you sure you want to do this?","هل أنت متأكد أنك تريد فعل ذلك؟"
"Add New Image","اضف صورة جديدة"
"Export block for grid %1 is not defined","تصدير قائمة للشبكة %1 غير معرف"
"Reset Filter","ترشيح اعادة تعين"
"Search","بحث"
"Any","اي"
"All Countries","جميع الدول"
"From","من"
"To","إلى"
"Date selector","اختيار التاريخ"
"[ deleted ]","[محذوف]"
"Select All","اختيار الكل"
" [deleted]"," [محذوف]"
"We couldn't find any records.","لم يتم العثور على أي سجلات."
"Add New","إضافة جديد"
"Invalid export type supplied for grid export block","Invalid export type supplied for grid export block"
"Export","استخراج"
"Please correct the column format and try again.","الرجاء تصحيح تنسيق العمود وحاول مرة أخرى."
"Please select items.","يرجى تحديد الأصناف."
"Submit","إرسال"
"Unknown block type","نوع block غير معروف"
"Please correct the tab configuration and try again. Tab Id should be not empty","الرجاء تصحيح اعدادات التبويب ثم حاول مرة أخرى. يجب أن يكون معرف علامة التبويب غير فارغ"
"Please correct the tab configuration and try again.","الرجاء تصحيح ضبط التبويب ثم حاول مرة أخرى."
"You have logged out.","لقد سجلت خروجك."
"Specified cache type(s) don't exist: %1","نوع ذاكرة التخزين المحددة غير موجودة: %1"
"The image cache was cleaned."," تم مسح ذاكرة تخزين الصور."
"An error occurred while clearing the image cache.","حدث خطأ أثناء مسح ذاكرة تخزين الصور."
"The JavaScript/CSS cache has been cleaned.","تم تنظيف ذاكرة تخزين JavaScript/CSS "
"An error occurred while clearing the JavaScript/CSS cache.","حدث خطأ أثناء مسح ذاكرة التخزين الخاصة ب JavaScript/CSS"
"The static files cache has been cleaned.","وقد تم تنظيف ذاكرة التخزين الخاصة بالملفات الثابتة."
"You flushed the cache storage.","لقد تم مسح محتويات ذاكرة التخزين المؤقت."
"The Magento cache storage has been flushed.","تم مسح محتويات ذاكرة التخزين المؤقت الخاصة بماجنتو."
"Cache Management","إدارة ذاكرة التخزين المؤقت"
"You can't change status of cache type(s) in production mode","لا يمكنك تغيير حالة نوع (أنواع) ذاكرة التخزين المؤقت في وضع الإنتاج"
"%1 cache type(s) disabled.","%1 نوع ذاكرة التخزين المؤقت معطل."
"An error occurred while disabling cache.","حدث خطأ أثناء تفعيل ذاكرة التخزين المؤقت."
"%1 cache type(s) enabled.","%1 من انواع ذاكرة التخزين المؤقتة مفعلة"
"An error occurred while enabling cache.","حدث خطأ أثناء تفعيل ذاكرة التخزين المؤقت."
"%1 cache type(s) refreshed.","لقد نم تفعيل انواع ذاكرة التخزين المؤقت %1"
"An error occurred while refreshing cache.","حدث خطأ أثناء تحديث ذاكرة التخزين المؤقت."
"Dashboard","لوحة التحكم"
"We updated lifetime statistic.","قمنا بتحديث احصائيات مدى الحياة."
"We can't refresh lifetime statistics.","ونحن لا يمكن تحديث احصاءات مدى الحياة."
"invalid request","طلب غير صالح"
"see error log for details","راجع سجل الأخطاء للحصول على التفاصيل"
"Service unavailable: %1","الخدمة غير متاحة: %1"
"Error","خطأ"
"Access Denied.","دخول مرفوض."
"You need more permissions to do this.","تحتاج لصلاحية اكبر للقيام بذلك"
"No search modules were registered","لم يتم تسجيل أية وحدات بحث"
"Please make sure that all global admin search modules are installed and activated.","يرجى التأكد من ان جميع وحدات البحث العالمية الادارة مثبته ومفعله."
"You saved the account.","قمت بحفظ الحساب."
"An error occurred while saving account.","حدث خطأ أثناء حفظ حساب."
"You deleted the design change.","قمت بحذف تغيير التصميم."
"You can't delete the design change.","لا يمكنك حذف تغيير التصميم."
"Store Design","تصميم المتجر"
"Edit Store Design Change","تعديل تغيير تصميم المتجر"
"You saved the design change.","قمت بحفظ تغيير التصميم."
"System","النظام"
"Manage Stores","إدارة المتاجر"
"The database was backed up.","تم اعداد نسخ احتياطي لقاعدة البيانات."
"We can't create a backup right now. Please try again later.","لم نتمكن من انشاء نسخة احتياطية. حاول مرة اخرى."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","حذف %1 لن يحذف المعلوات المرتبطة بـ %1 (مثل التصنيف، المنتجات، الخ)، لكن لن يمكن استعادة %1. يقترح إنشاء نسخة إحتياطية من قواعد البيانات قبل حذف %1."
"Something went wrong. Please try again.","حدث خطأ ما. الرجاء المحاولة مرة أخرى."
"This store cannot be deleted.","لا يمكن حذف هذا المتجر."
"You deleted the store.","لقد حذفت المتجر."
"Unable to delete the store. Please try again later.","غير قادر على حذف المتجر. من فضلك، حاول مرة أخرى لاحقاً."
"This store view cannot be deleted.","لا يمكن حذف عرض المتجر هذا."
"Store View","عرض المتجر"
"You deleted the store view.","تم حذف واجهة المتجر."
"Unable to delete the store view. Please try again later.","غير قادر على حذف واجهة المتجر. من فضلك، حاول مرة أخرى لاحقاً."
"This website cannot be deleted.","لا يمكن حذف هذا الموقع."
"You deleted the website.","لقد حذفت الموقع."
"Unable to delete the website. Please try again later.","غير قادر على حذف الموقع. من فضلك، حاول مرة أخرى لاحقاً."
"The website does not exist.","الموقع غير موجود."
"Before modifying the website code please make sure it is not used in index.php.","قبل تعديل رمز الموقع يرجى التأكد من أنها لا تستخدم في index.php."
"The store does not exist","المتجر غير موجود"
"Store view doesn't exist","عرض المتجر غير موجود"
"Before modifying the store view code please make sure it is not used in index.php.","قبل تعديل رمز عرض المتجر يرجى التأكد من أنها لا تستخدم في index.php."
"New ","جديد "
"All Stores","جميع المتاجر"
"You saved the website.","قمت بحفظ موقع شبكة الإنترنت."
"The default store cannot be disabled","لا يمكن تعطيل المتجر الافتراضي"
"You saved the store view.","لقد حفظت واجهة المتجر."
"An inactive store view cannot be saved as default store view","لا يمكن حفظ واجهة متجر غير نشط كواجهة افتراضية"
"You saved the store.","قمت بحفظ المتجر."
"Something went wrong while saving. Please review the error log.","حدث خطأ أثناء الحفظ. الرجاء مراجعة سجل الأخطاء."
"Last 24 Hours","ال 24 ساعة الماضية"
"Last 7 Days","آخر 7 أيام"
"Current Month","الشهر الحالي"
"YTD","منذ سنة"
"2YTD","منذ سنتين"
"Authentication storage is incorrect.","مصادقة التخزين غير صحيحة."
