"Invalid Form Key. Please refresh the page.","Érvénytelen űrlapkulcs. Kérjük, frissítse a lapot!"
"You entered an invalid Secret Key. Please refresh the page.","Érvénytelen titkos kulcsot adott meg. Kérjük, frissítse a lapot!"
"Cache Storage Management","Gyorsítótárak kezelése"
"Flush Magento Cache","Magento gyorsítótár ürítése"
"The cache storage may contain additional data. Are you sure that you want to flush it?","A gyorsítótár további adatot tartalmazhat. Biztosan üríteni akarja?"
"Flush Cache Storage","Gyorsítótár ürítése"
"Invalidated","Érvénytelenítve"
"Orders","Rendelések"
"Amounts","Összegek"
"Bestsellers","Bestsellerek"
"Most Viewed Products","Legnézettebb termékek"
"New Customers","Új vásárlók"
"Customers","Vásárlók"
"Customer","Vásárló"
"Guest","Vendég"
"Items","Termékek"
"Total","Összesen"
"Lifetime Sales","Élettartam eladások"
"Average Order","Átlagrendelés"
"Average","Átlagos"
"Product","Termék"
"Price","Ár"
"Quantity","Mennyiség"
"Views","Megtekintések"
"Revenue","Bevétel"
"Tax","Adó"
"Shipping","Szállítás"
"Images (.gif, .jpg, .png)","Képek (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Média (.avi, .flv, .swf)"
"All Files","Minden fájl"
"Reset to Default","Visszaállítás alaphelyzetbe"
"All Store Views","Minden webáruház nézet"
"What is this?","Mi ez?"
"Save Account","Fiók mentése"
"My Account","Saját fiók"
"Account Information","Fiókadatok"
"User Name","Felhasználói név"
"First Name","Keresztnév"
"Last Name","Vezetéknév"
"Email","E-mail"
"User Email","Felhasználó e-mailcíme"
"New Password","Új jelszó"
"Password Confirmation","Jelszó megerősítése"
"Interface Locale","Kezelőfelület nyelve"
"Current User Identity Verification","Aktuális felhasználói identitás ellenőrzése"
"Your Password","Az Ön jelszava"
"Save Cache Settings","Gyorsítótár-beállítások mentése"
"Catalog Rewrites","Katalógus-átírások"
"Refresh","Frissítés"
"Images Cache","Képek-gyorsítótár"
"Clear","Törlés"
"Search Index","Keresőindex"
"Rebuild","Újraépítés"
"Inventory Stock Status","Készletállapot"
"Rebuild Catalog Index","Katalógusindex újraépítése"
"Rebuild Flat Catalog Category","Sima katalógus kategóriáinak újraépítése"
"Rebuild Flat Catalog Product","Sima katalógus termékeinek újraépítése"
"Cache Control","Gyorsítótár-kezelés"
"All Cache","Összes gyorsítótár"
"No change","Nincs változás"
"Disable","Letiltás"
"Enable","Bekapcsolás"
"Add Design Change","Dizájnmódosítás hozzáadása"
"Back","Vissza"
"Delete","Törlés"
"Are you sure?","Biztos benne?"
"Save","Mentés"
"Edit Design Change","Dizájnmódosítás szerkesztése"
"New Store Design Change","Új dizájnváltoztatás"
"General Settings","Általános beállítások"
"Store","Bolt"
"-- Please Select --","-- Kérem válasszon --"
"Custom Design","Egyedi dizájn"
"Date From","Dátumtól"
"Date To","Dátumig"
"Design Change","Dizájnmódosítás"
"General","Általános"
"Cancel","Mégse"
"Delete %1 '%2'","Törölje %1 ""%2"""
"Delete %1","%1 törlése"
"Block Information","Blokk információi"
"Backup Options","Biztonsági mentés opciói"
"Create DB Backup","Adatbázis-mentés létrehozása"
"Yes","Igen"
"No","Nem "
"Delete Store","Bolt törlése"
"Delete Web Site","Honlap törlésére"
"Save Web Site","Weboldal mentése"
"Save Store","Bolt mentése"
"Save Store View","Boltnézet mentése"
"Delete Store View","Boltnézet törlése"
"Edit Web Site","Honlap módosítása"
"New Web Site","Új honlap"
"Edit Store","Bolt szerkesztése"
"New Store","Új bolt"
"Edit Store View","Boltnézet szerkesztése"
