"System Backup","Copie de rezervă sistem"
"Database and Media Backup","Copie de rezervă bază de date și media"
"Database Backup","Copie de rezervă bază de date"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Arhiva nu poate fi decomprimată cu <a href=""%1"">%2</a> în sistemele Windows."
"You need more permissions to activate maintenance mode right now.","Aveți nevoie de mai multe permisiuni pentru a activa în acest moment modul de întreținere."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Pentru a crea copia de rezervă, deselectați ""Puneți magazinul în modul de intreținere"" sau actualizați-vă permisiunile."
"Something went wrong while putting your store into maintenance mode.","A avut loc o eroare la punerea magazinului dumneavoastră în modul de întreținere."
"You need more free space to create a backup.","Aveți nevoie de mai multă memorie liberă pentru a crea o copie de rezervă."
"You need more permissions to create a backup.","aveți nevoie de mai multe permisiuni pentru a crea o copie de rezervă."
"We can't create the backup right now.","Nu se poate crea o copie de rezervă în acest moment."
"Backups","Copii de rezervă"
"System","Sistem"
"Tools","Instrumente"
"Backup","Copie de rezervă"
"We can't delete one or more backups.","Nu se pot șterge una sau mai multe copii de rezervă."
"failed","eșuat"
"successful","reușit"
"You deleted the selected backup(s).","Ați șters copia/copiile de rezervă"
"Can't load snapshot archive","Nu se poate încărca arhiva de instantanee"
"Please correct the password.","Corectați parola."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","Pentru a finaliza regresia, deselectați ""Pune magazinul în modul de întreținere"" sau actualizați-vă permisiunile."
"We can't find the backup file.","Fișierul copie de rezervă nu poate fi găsit."
"We can't connect to the FTP right now.","Nu se poate face conectarea la FTP în acest moment."
"Failed to validate FTP.","Eroare la validarea FTP-ului."
"You need more permissions to perform a rollback.","Aveți nevoie de mai multe permisiuni pentru a efectua o regresie."
"Failed to rollback.","Regresie eșuată."
"Database","Bază de date"
"Database and Media","Bază de date și media"
"System (excluding Media)","Sistem (excluzând Media)"
"You created the system backup.","Ați creat o copie de rezervă a sistemului."
"You created the system backup (excluding media).","Ați creat o copie de rezervă a sistemului (excluzând media)."
"You created the database and media backup.","Ați creat o copie de rezervă a sistemului și a media."
"You created the database backup.","Ați creat o copie de rezervă a bazei de date."
"Please correct the order of creation for a new backup.","Corectați ordinea creării pentru o nouă copie de rezervă."
"The backup file does not exist.","Fișierul copie de rezervă nu există."
"The backup file path was not specified.","Calea fișierului copie de rezervă nu a fost specificată."
"The backup file ""%1"" does not exist.","Fișierul copie de rezervă ""%1"" nu există."
"Sorry, but we cannot read from or write to backup file ""%1"".","Ne cerem scuze, dar fișierul copie de rezervă ""%1"" nu poate fi citit sau scris."
"The backup file handler was unspecified.","Operatorul fișierului copie de rezervă nu a fost specificat."
"Something went wrong while writing to the backup file ""%1"".","A avut loc o eroare la scrierea fișierului copie de rezervă ""%1""."
"We can't save the Cron expression.","Nu se poate salva expresia Cron."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Veți pierde orice informație nouă apărută după crearea copiei de rezervă, incluzând utilizatorii, clienții și comenzile."
"Are you sure you want to continue?","Sunteți sigur că doriți să continuați?"
"This may take a few moments.","Această operațiune poate dura câteva momente."
"Be sure your store is in maintenance mode during backup.","Asigurați-vă ca magazinul este în modul de întreținere în timpul creării copiei de rezervă."
"Backup Name","Nume copie de rezervă"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Folosiți numai litere (a-z sau A-Z), cifre (0-9) sau spații în acest câmp."
"Maintenance mode","Mod întreținere"
"Please put your store into maintenance mode during backup.","Puneți magazinul în modul de întreținere pe parcursul creării copiei de rezervă."
"Exclude","Excludeți"
"Exclude media folder from backup","Excludeți dosarul media din copia de rezervă"
"Please enter the password to confirm rollback.","Itroduceți parola pentru a confirma regresia."
"This action cannot be undone.","Această operațiune nu poate fi anulată."
"User Password","Parolă utilizator"
"Please put your store into maintenance mode during rollback processing.","Puneți magazinul în modul de întreținere în timpul procesării regresiei."
"FTP","FTP"
"Use FTP Connection","Utilizare conexiune FTP"
"FTP credentials","Acreditări FTP"
"FTP Host","Gazdă FTP"
"FTP Login","Conectare FTP"
"FTP Password","Parolă FTP"
"Magento root directory","Registrul de bază Magento"
"Create Backup","Creați copie de rezervă"
"Rollback","Regresie"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","Activare Copie de rezervă Programată"
"Backup Type","Backup Type"
"Start Time","Timp de începere"
"Frequency","Frecvență"
"Maintenance Mode","Mod întreținere"
"Delete","șterge"
"Are you sure you want to delete the selected backup(s)?","Sunteți sigur că doriți să ștergeți copiile de rezervă selectate?"
"Time","Timp"
"Name","Numeric"
"Size(bytes)","Mărime(octeți)"
"Type","Tip"
"Download","Descărcați"
"Action","Acțiune"
"Backup functionality is disabled","Backup functionality is disabled"
"Backup Settings","Backup Settings"
"Enable Backup","Enable Backup"
"Scheduled Backup Type","Scheduled Backup Type"
"Disabled by default for security reasons","Disabled by default for security reasons"
