"Dynamic Blocks","Dynaamiset lohkot"
"Add Dynamic Block","Lisää Dynaaminen lohko"
"Save Dynamic Block","Tallenna dynaaminen lohko"
"Delete Dynamic Block","Poista dynaaminen lohko"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"New Dynamic Block","Uusi dynaaminen lohko"
"Delete","Poista"
"Are you sure you want to do this?","Haluatko varmasti jatkaa?"
"Reset","Reset"
"Save","Tallenna"
"Content","Sisältö"
"Default Content","Oletussisältö"
"No Default Content","Ei oletussisältöä"
"Dynamic Block Default Content for All Store Views","Dynamic Block Default Content for All Store Views"
"Store View Specific Content","Kauppanäkymäkohtainen sisältö"
"Use Default","Käytä oletusta"
"Related Promotions","Suositellut promootiot"
"ID","Tunnus"
"Rule","Sääntö"
"Start Date","Alkamispäivä"
"End Date","Päättymispäivä"
"Status","Tila"
"Dynamic Block Properties","Dynaamisen lohkon ominaisuudet"
"Dynamic Block Name","Dynaamisen lohkon nimi"
"Active","Aktiivinen"
"Inactive","Ei käytössä"
"Applies To","Liittyy kohteeseen"
"Any Dynamic Block Type","Any Dynamic Block Type"
"Specified Dynamic Block Types","Specified Dynamic Block Types"
"Specify Types","Määritä tyypit"
"Dynamic Block Information","Dynamic Block Information"
"Dynamic Block","Dynaaminen lohko"
"Dynamic Block Type","Dynaamisen lohkon typpi"
"Are you sure you want to delete these dynamic blocks?","Are you sure you want to delete these dynamic blocks?"
"Related Dynamic Blocks","Liittyvät dynaamiset lohkot"
"Position","Sijainti"
"This rule no longer exists.","Tätä sääntöä ei ole enää olemassa."
"You deleted the dynamic block.","Dynaaminen lohko poistettiin."
"Something went wrong while deleting dynamic block data. Please review the action log and try again.","Something went wrong while deleting dynamic block data. Please review the action log and try again."
"We cannot find a dynamic block to delete.","We cannot find a dynamic block to delete."
"This dynamic block no longer exists.","This dynamic block no longer exists."
"Edit Dynamic Block","Muokkaa Dynaamista lohkoa"
"Please select a dynamic block(s).","Valitse dynaaminen lohko(t)."
"You deleted %1 record(s).","%1 merkintä(ä) poistettu."
"Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.","Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again."
"This dynamic block does not exist.","Tätä dynaamista lohkoa ei ole olemassa."
"You saved the dynamic block.","Dynaaminen lohko tallennettiin."
"We cannot save the dynamic block.","Dynaamista lohkoa ei voida tallentaa."
"Invalid Request","Invalid Request"
"Please enter a name.","Kirjoita nimi."
"Content includes restricted HTML elements. %1","Content includes restricted HTML elements. %1"
"Make sure that dynamic blocks rotator does not reference the dynamic block itself.","Make sure that dynamic blocks rotator does not reference the dynamic block itself."
"-- None --","--Ei mitään --"
"Error","Virhe"
"Invalid content","Invalid content"
"Content Area","Sisällön alue"
"Footer","Alatunniste"
"Header","Ylätunniste"
"Left Column","Vasen sarake"
"Right Column","Oikea sarake"
"Manage Dynamic Blocks","Hallinnoi dynaamisia lohkoja"
"Dynamic Blocks Rotator","Dynamic Blocks Rotator"
"Displays Specified or Promotion Dynamic Blocks","Displays Specified or Promotion Dynamic Blocks"
"Dynamic Blocks to Display","Dynamic Blocks to Display"
"Specified Dynamic Blocks","Specified Dynamic Blocks"
"Cart Price Rule Related","Cart Price Rule Related"
"Catalog Price Rule Related","Catalog Price Rule Related"
"Restrict by Dynamic Block Types","Restrict by Dynamic Block Types"
"Rotation Mode","Kiertomoodi"
"Display all instead of rotating","Näytä kaikki pyörivän sijasta"
"One at the time, Random","Yksi kerrallaan, Random"
"One at the time, Series","Yksi kerrallaan sarja"
"One at the time, Shuffle","Yksi kerrallaan, shuffle"
"Specify Dynamic Blocks","Specify Dynamic Blocks"
"Dynamic Block Template","Dynamic Block Template"
"Dynamic Block Inline Template","Dynamic Block Inline Template"
"Name","Nimi"
"Status Label","Status Label"
"General Information","General Information"
"Back","Takaisin"
"Enable Dynamic Block","Ota käyttöön dynaaminen lohko"
"Use Default Value","Käytä oletusarvoa"
"Cart price rules allows you to setup promotions for items that are in the shopping cart.","Cart price rules allows you to setup promotions for items that are in the shopping cart."
"Add Cart Price Rules","Add Cart Price Rules"
"Related Catalog Price Rule","Related Catalog Price Rule"
"Catalog price rules allows you to setup promotions for an items in catalog.","Catalog price rules allows you to setup promotions for an items in catalog."
"Cancel","Peruuta"
"Add Selected","Lisää valitut"
"Visibility","Näkyvyys"
