"Banners","Banners"
"Add Banner","Add Banner"
"Save Banner","Save Banner"
"Delete Banner","Delete Banner"
"Save and Continue Edit","保存して編集を続ける"
"New Banner","New Banner"
"Content","コンテンツ"
"Default Content","標準コンテンツ"
"No Default Content","標準コンテンツがありません。"
"Banner Default Content for All Store Views","Banner Default Content for All Store Views"
"Store View Specific Content","ストアビュー指定コンテンツ"
"Use Default","標準の値を使用"
"Related Promotions","関連プロモーション"
"ID","ID"
"Rule","ルール"
"Start Date","開始日"
"End Date","終了日"
"Status","ステータス"
"Banner Properties","Banner Properties"
"Banner Name","Banner Name"
"Active","アクティブ"
"Inactive","未アクティブ"
"Applies To","適用先"
"Any Banner Type","Any Banner Type"
"Specified Banner Types","Specified Banner Types"
"Specify Types","種別を指定"
"Banner Information","Banner Information"
"Banner","Banner"
"Banner Type","Banner Type"
"Visibility","表示"
"Delete","削除"
"Are you sure you want to delete these banners?","Are you sure you want to delete these banners?"
"Related Banners","Related Banners"
"Position","おすすめ"
"This rule no longer exists.","このルールは存在していません。"
"This banner does not exist.","This banner does not exist."
"You deleted the banner.","You deleted the banner."
"Something went wrong while deleting banner data. Please review the action log and try again.","Something went wrong while deleting banner data. Please review the action log and try again."
"We cannot find a banner to delete.","We cannot find a banner to delete."
"This banner no longer exists.","This banner no longer exists."
"Edit Banner","Edit Banner"
"Please select a banner(s).","Please select a banner(s)."
"You deleted %1 record(s).","%1 レコードを削除しました。"
"Something went wrong while mass-deleting banners. Please review the action log and try again.","Something went wrong while mass-deleting banners. Please review the action log and try again."
"You saved the banner.","You saved the banner."
"We cannot save the banner.","We cannot save the banner."
"Please enter a name.","名前を入力してください。"
"Please specify default content for at least one store view.","Please specify default content for at least one store view."
"-- None --","-- なし --"
"Error","エラー"
"Related Cart Price Rules","Related Cart Price Rules"
"Related Catalog Price Rules","Related Catalog Price Rules"
"Content Area","コンテンツエリア"
"Footer","フッター"
"Header","ヘッダー"
"Left Column","左カラム"
"Right Column","右カラム"
"Manage Banners","Manage Banners"
"Banner Rotator","Banner Rotator"
"Displays Specified or Promotion Banners","Displays Specified or Promotion Banners"
"Banners to Display","Banners to Display"
"Specified Banners","Specified Banners"
"Shopping Cart Promotions Related","Shopping Cart Promotions Related"
"Catalog Promotions Related","Catalog Promotions Related"
"Restrict by Banner Types","Restrict by Banner Types"
"Rotation Mode","ローテーションモード"
"Display all instead of rotating","回転する代わりに全てを表示する"
"One at the time, Random","1枚ずつランダムに表示"
"One at the time, Series","1枚ずつ順番に表示"
"One at the time, Shuffle","1枚ずつシャッフルして表示"
"Specify Banners","Specify Banners"
"Banner Block Template","Banner Block Template"
"Banner Inline Template","Banner Inline Template"
"Dynamic Blocks","動的ブロック"
"Add Dynamic Block","動的ブロックを追加"
"Save Dynamic Block","動的ブロックを保存"
"Delete Dynamic Block","動的ブロックを削除"
"New Dynamic Block","新しい動的ブロック"
"Are you sure you want to do this?","実行してもよろしいですか？"
"Reset","リセット"
"Save","保存"
"Dynamic Block Default Content for All Store Views","全てのストアビューの標準動的ブロックコンテンツ"
"Dynamic Block Properties","動的ブロックのプロパティ"
"Dynamic Block Name","動的ブロック名"
"Any Dynamic Block Type","すべての動的ブロックタイプ"
"Specified Dynamic Block Types","指定された動的ブロックタイプ"
"Dynamic Block Information","動的ブロック情報"
"Dynamic Block","動的ブロック"
"Dynamic Block Type","動的ブロックタイプ"
"Are you sure you want to delete these dynamic blocks?","これらの動的ブロックを削除してもよろしいですか？"
"Related Dynamic Blocks","関連する動的ブロック"
"You deleted the dynamic block.","動的ブロックを削除しました。"
"Something went wrong while deleting dynamic block data. Please review the action log and try again.","動的ブロックデータの削除中に問題が発生しました。アクションログを見直して再度お試し下さい。"
"We cannot find a dynamic block to delete.","削除する動的ブロックが見つかりません。"
"This dynamic block no longer exists.","この動的ブロックは存在していません。"
"Edit Dynamic Block","動的ブロックを編集"
"Please select a dynamic block(s).","動的ブロックを選択してください。"
"Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.","動的ブロックの一括削除中に問題が発生しました。アクションログを見直して再度お試して下さい。"
"This dynamic block does not exist.","この動的ブロックは存在しません。"
"You saved the dynamic block.","動的ブロックを保存しました。"
"We cannot save the dynamic block.","動的ブロックを保存できません。"
"Manage Dynamic Blocks","動的ブロック管理"
"Dynamic Blocks Rotator","動的ブロックローテーション"
"Displays Specified or Promotion Dynamic Blocks","指定またはプロモーション動的ブロックを表示する"
"Dynamic Blocks to Display","表示する動的ブロック"
"Specified Dynamic Blocks","指定された動的ブロック"
"Restrict by Dynamic Block Types","動的ブロックタイプによる制限"
"Specify Dynamic Blocks","動的ブロックを指定"
"Dynamic Block Template","動的ブロックテンプレート"
"Dynamic Block Inline Template","動的ブロックインラインテンプレート"
"Name","名前"
"Status Label","ステータスラベル"
"General Information","全般情報"
"Back","戻る"
"Enable Dynamic Block","動的ブロックを有効にする"
"Use Default Value","標準の値を使用"
"Cart price rules allows you to setup promotions for items that are in the shopping cart.","カート価格のルールは、ショッピングカートの商品に対してプロモーションを設定することができます。"
"Add Cart Price Rules","カートの価格ルールの追加"
"Related Catalog Price Rule","関連カタログ価格ルール"
"Catalog price rules allows you to setup promotions for an items in catalog.","カタログ価格のルールは、カタログにおける商品に対してプロモーションを設定することができます。"
"Cancel","キャンセル"
"Add Selected","選択項目を追加"
"Remove","Remove"
"Make sure that dynamic blocks rotator does not reference the dynamic block itself.","動的ブロックローテーションがブロック自身を参照しないように気をつけてください。"
"Cart Price Rule Related","クーポン関連"
"Catalog Price Rule Related","カタログ価格ルール関連"
