"Banners","Banners"
"Add Banner","Add Banner"
"Save Banner","Save Banner"
"Delete Banner","Delete Banner"
"Save and Continue Edit","Sačuvaj i nastavi uređivanje"
"New Banner","New Banner"
"Content","Sadržaj"
"Default Content","Podrazumevani sadržaj"
"No Default Content","Nema podrazumevanog sadržaja"
"Banner Default Content for All Store Views","Banner Default Content for All Store Views"
"Store View Specific Content","Specifičan sadržaj prikaza prodavnice"
"Use Default","Koristi podrazumevano"
"Related Promotions","Srodne promocije"
"ID","ID"
"Rule","Pravilo"
"Start Date","Početni datum"
"End Date","Krajnji datum"
"Status","Status"
"Banner Properties","Banner Properties"
"Banner Name","Banner Name"
"Active","Aktivan"
"Inactive","Neaktivan"
"Applies To","Odnosi se na"
"Any Banner Type","Any Banner Type"
"Specified Banner Types","Specified Banner Types"
"Specify Types","Opisati vrste"
"Banner Information","Banner Information"
"Banner","Banner"
"Banner Type","Banner Type"
"Visibility","Vidljivost"
"Delete","Obrisati"
"Are you sure you want to delete these banners?","Are you sure you want to delete these banners?"
"Related Banners","Related Banners"
"Position","Pozicija"
"This rule no longer exists.","Ovo pravilo se više ne postoji."
"This banner does not exist.","This banner does not exist."
"You deleted the banner.","You deleted the banner."
"Something went wrong while deleting banner data. Please review the action log and try again.","Something went wrong while deleting banner data. Please review the action log and try again."
"We cannot find a banner to delete.","We cannot find a banner to delete."
"This banner no longer exists.","This banner no longer exists."
"Edit Banner","Edit Banner"
"Please select a banner(s).","Please select a banner(s)."
"You deleted %1 record(s).","Izbrisali ste %1 zapis(a)."
"Something went wrong while mass-deleting banners. Please review the action log and try again.","Something went wrong while mass-deleting banners. Please review the action log and try again."
"You saved the banner.","You saved the banner."
"We cannot save the banner.","We cannot save the banner."
"Please enter a name.","Molimo ukucajte naziv."
"Please specify default content for at least one store view.","Please specify default content for at least one store view."
"-- None --","--Nijedan--"
"Error","Greška"
"Related Cart Price Rules","Related Cart Price Rules"
"Related Catalog Price Rules","Related Catalog Price Rules"
"Content Area","Oblasti sa sadržajem"
"Footer","Podnožje stranice"
"Header","Zaglavlje"
"Left Column","Leva kolona"
"Right Column","Desna kolona"
"Manage Banners","Manage Banners"
"Banner Rotator","Banner Rotator"
"Displays Specified or Promotion Banners","Displays Specified or Promotion Banners"
"Banners to Display","Banners to Display"
"Specified Banners","Specified Banners"
"Shopping Cart Promotions Related","Shopping Cart Promotions Related"
"Catalog Promotions Related","Catalog Promotions Related"
"Restrict by Banner Types","Restrict by Banner Types"
"Rotation Mode","Režim rotacije"
"Display all instead of rotating","Prikažite sve, umesto rotiranjem"
"One at the time, Random","Jedan po jedan, nasumice"
"One at the time, Series","Jedan po jedan, poređano"
"One at the time, Shuffle","Jedan po jedan, nasumice"
"Specify Banners","Specify Banners"
"Banner Block Template","Banner Block Template"
"Banner Inline Template","Banner Inline Template"
"Dynamic Blocks","Dinamični Blokovi"
"Add Dynamic Block","Dodaj Dinamični Blok"
"Save Dynamic Block","Sačuvaj dinamični blok"
"Delete Dynamic Block","Obriši Dinamični Blok"
"New Dynamic Block","Novi Dinamični Blok"
"Are you sure you want to do this?","Jeste li sigurni da želite to da uradite?"
"Reset","Resetovati"
"Save","Sačuvaj"
"Dynamic Block Default Content for All Store Views","Default Sadržaj za Prikaz Prodavnice"
"Dynamic Block Properties","Podaešavanja Dinamičnog Bloka"
"Dynamic Block Name","Naziv Dinamičnog Bloka"
"Any Dynamic Block Type","Bilo koji tip Dinamičnog Bloka"
"Specified Dynamic Block Types","Određeni tip Dinamičnog Bloka"
"Dynamic Block Information","Informacije Dinamičnog Bloka"
"Dynamic Block","Dinamični Blokov"
"Dynamic Block Type","Tip Dinamičnog Bloka"
"Are you sure you want to delete these dynamic blocks?","Da li ste sigurni da želite da obrišete ove dinamične blokove?"
"Related Dynamic Blocks","Povezani Dinamični Blokovi"
"You deleted the dynamic block.","Obrisali ste dinamični Blok."
"Something went wrong while deleting dynamic block data. Please review the action log and try again.","Došlo je do greške prilikom brisanja podataka o dinamičnom bloku. Molimo pogledajte dnevnik aktivnosti i pokušajte ponovo."
"We cannot find a dynamic block to delete.","Nemožemo pronaći dinamični blok za brisanje."
"This dynamic block no longer exists.","Dinamični blok više nepostoji."
"Edit Dynamic Block","Uredi Dinamični Blok"
"Please select a dynamic block(s).","Izaberi dinamični blok(ove)."
"Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.","Došlo je do greške prilikom brisanja većeg broja dinamičnih blokova. Molimo pogledajte dnevnik aktivnosti i pokušajte ponovo."
"This dynamic block does not exist.","Dinamični blok više nepostoji."
"You saved the dynamic block.","Sačuvali ste dinamični Blok."
"We cannot save the dynamic block.","Ne moćemo sačuvati dinamični blok."
"Manage Dynamic Blocks","Upravljaj Dinamičnim Blokovima"
"Dynamic Blocks Rotator","Rotator Dinamičnih Blokova"
"Displays Specified or Promotion Dynamic Blocks","Prikazuje navedeni ili promovisani Dinamični Blok"
"Dynamic Blocks to Display","Dinamični Blok za Prikaz"
"Specified Dynamic Blocks","Određeni tip Dinamičnog Bloka"
"Restrict by Dynamic Block Types","Ograničeno od strane tipa Sinamičnog Bloka"
"Specify Dynamic Blocks","Odredi Tip Dinamičnog Bloka"
"Dynamic Block Template","Šablon Dinamičkog Bloka"
"Dynamic Block Inline Template","Linijski Šablon Dinamičnog Bloka"
"Name","Naziv"
"Status Label","Oznaka statusa"
"General Information","Opšte informacije"
"Back","Nazad"
"Enable Dynamic Block","Omogući dinamički blok"
"Use Default Value","Koristi podrazumevanu vrednost"
"Cart price rules allows you to setup promotions for items that are in the shopping cart.","Pravila cena u korpi omogućavaju da podešavate promocije za artikle koji su u korpi."
