"Country","国"
"Allowed Credit Card Types","使用可能なクレジットカードタイプ"
"Add Rule","ルール追加"
"Braintree Settlement Report","Braintree決済報告書"
"Sorry, but something went wrong","申し訳ありませんが、何か問題が発生しました"
"We can't initialize checkout.","チェックアウトを初期化できません。"
"No authorization transaction to proceed capture.","キャプチャを続行する承認トランザクションはありません。"
"Transaction is successful.","トランザクションは成功です。"
"Braintree error response.","Braintreeのエラー応答。"
"Payment method nonce can't be retrieved.","支払い方法nonceは取得できません。"
"Wrong transaction status","間違った取引ステータス"
"Authorize","権限"
"Authorize and Capture","認証と取込"
"--Please Select--","--選択してください--"
"Credit Card","クレジットカード"
"ending","エンディング"
"expires","失効する"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","ご注文前にすべての契約条件にご同意ください。"
"Transaction was failed.","取引は失敗しました。"
"Credit Card Type","クレジットカード会社"
"Credit Card Number","クレジットカード番号"
"Please, enter valid Credit Card Number","正しいクレジットカード番号を入力してください。"
"Expiration Date","有効期限日"
"Please, enter valid Expiration Date","正しい有効期限を入力してください。"
"Card Verification Number","セキュリティコード"
"Please, enter valid Card Verification Number","正しいカード確認番号を入力してください"
"Are you sure you want to delete this PayPal account","このPayPalアカウントを削除してもよろしいですか？"
"PayPal Account","PayPalアカウント"
"PayPal Logo","PayPalロゴ"
"Actions","アクション"
"Delete","削除"
"Credit Card Information","クレジットカード番号"
"What is this?","これは何ですか？"
"Save for later use.","後で使用するために保存してください。"
"Place Order","注文を確定する"
"This payment is not available","この支払いは利用できません"
"MM","月"
"YY","年"
"Please try again with another form of payment.","別のお支払い方法でもう一度お試しください。"
"Sorry, but something went wrong.","申し訳ありませんが、何か問題が発生しました"
"Payment ","支払い "
"Credit card type is not accepted by this merchant account.","クレジットカード種別はこのマーチャントアカウントではご利用いただけません。"
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","ステータスが承認された場合、つまり、submit_for_settlement、または - for PayPal - settlement_pending の場合のみ、トランザクションを無効にできます。"
"Credit transactions cannot be refunded.","クレジット取引は払い戻すことができません。"
"Cannot refund a transaction unless it is settled.","未支払いのトランザクションは払い戻しできません。"
"Cannot submit for settlement unless status is authorized.","ステータスがオーソリ済でなければ支払の送信はできません。"
"Customer does not have any credit cards.","顧客はクレジットカードを登録していません。"
"Transaction has already been completely refunded.","取引はすでに完全に返金されています。"
"Payment instrument type is not accepted by this merchant account.","お支払い方法のタイプは、このマーチャントアカウントでは受け付けていません。"
