"Country","Країна"
"Allowed Credit Card Types","Допустимі Типи Кредитних Карток"
"Add Rule","Додати Правило"
"Braintree Settlement Report","Розрахунковий Звіт Braintree"
"Sorry, but something went wrong","Вибачте, але щось пішло не так"
"We can't initialize checkout.","Ми не можемо ініціалізувати розрахунок."
"No authorization transaction to proceed capture.","Немає транзакції авторизації для продовження захоплення."
"Transaction is successful.","Transaction is successful."
"Braintree error response.","Помилка відповіді Braintree."
"Payment method nonce can't be retrieved.","Payment method nonce can't be retrieved."
"Wrong transaction status","Неправильний статус транзакції"
"Authorize","Авторизувати"
"Authorize and Capture","Авторизувати та Захопити"
"--Please Select--","--Виберіть, будь ласка--"
"Credit Card","Кредитна Картка"
"ending","закінчується"
"expires","закінчується"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Буль-ласка, погодьтеся з усіма правилами та умовами перед тим як розмістити замовлення."
"Transaction was failed.","Не вдалося виконати транзакцію."
"Credit Card Type","Тип Кредитної Картки"
"Credit Card Number","Номер Кредитної Картки"
"Please, enter valid Credit Card Number","Будь-ласка, введіть діючий Номер Кредитної Картки"
"Expiration Date","Дата Збігає"
"Please, enter valid Expiration Date","Будь-ласка, введіть дісну Дату Збігання"
"Card Verification Number","Номер Підтвердження Картки"
"Please, enter valid Card Verification Number","Будь-ласка, введіть дійсний Номер Підтвердження Картки"
"Are you sure you want to delete this PayPal account","Ви впевнені, що хочете видалити цей аккаунт PayPal"
"PayPal Account","Аккаунт PayPal"
"PayPal Logo","Логотип PayPal"
"Actions","Дії"
"Delete","Видалити"
"Credit Card Information","Дані Кредитної Картки"
"What is this?","Що це?"
"Save for later use.","Зберегти для подальшого використання."
"Place Order","Розмістити Замовлення"
"This payment is not available","Цей платіж недоступний"
"MM","ММ"
"YY","РР"
"Please try again with another form of payment.","Будь-ласка, повторіть спробу з іншою формою оплати."
"Sorry, but something went wrong.","Вибачте, але щось пішло не так."
"Payment ","Оплата "
"Credit card type is not accepted by this merchant account.","Credit card type is not accepted by this merchant account."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Кредитні операції не можуть бути повернені."
"Cannot refund a transaction unless it is settled.","Cannot refund a transaction unless it is settled."
"Cannot submit for settlement unless status is authorized.","Cannot submit for settlement unless status is authorized."
"Customer does not have any credit cards.","Customer does not have any credit cards."
"Transaction has already been completely refunded.","Transaction has already been completely refunded."
"Payment instrument type is not accepted by this merchant account.","Payment instrument type is not accepted by this merchant account."
"Processor authorization code cannot be set unless for a voice authorization.","Processor authorization code cannot be set unless for a voice authorization."
"Refund amount is too large.","Refund amount is too large."
"Settlement amount is too large.","Settlement amount is too large."
"Cannot provide a billing address unless also providing a credit card.","Cannot provide a billing address unless also providing a credit card."
"Cannot refund a transaction with a suspended merchant account.","Cannot refund a transaction with a suspended merchant account."
"Merchant account does not support refunds.","Merchant account does not support refunds."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled."
"PayPal is not enabled for your merchant account.","PayPal is not enabled for your merchant account."
"Partial settlements are not supported by this processor.","Partial settlements are not supported by this processor."
"Cannot submit for partial settlement.","Cannot submit for partial settlement."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","Too many concurrent attempts to refund this transaction. Try again later."
"Too many concurrent attempts to void this transaction. Try again later.","Too many concurrent attempts to void this transaction. Try again later."
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase."
"Enable this Solution","Увімкнути це Рішення"
"Enable PayPal through Braintree","Увімкнути PayPal через Braintree"
"Vault Enabled","Vault Enabled"
"Basic Braintree Settings","Основні Налаштування Braintree"
"Title","Назва"
"Environment","Середовище"
"Payment Action","Дія Оплати"
"Merchant ID","Ідентифікатор Торговця"
"Public Key","Публічний Ключ"
"Private Key","Приватний Ключ"
"Advanced Braintree Settings","Додаткові Налаштування Braintree"
"Vault Title","Vault Title"
"Merchant Account ID","Ідентифікатор Облікового Запису Торговця"
"Advanced Fraud Protection","Розширений Захист від Шахрайства"
"Kount Merchant ID","Kount Індентифікатор Торговця"
"Debug","Відладка"
"CVV Verification","Перевірка CVV"
"Credit Card Types","Типи Кредитних Карток"
"Sort Order","Порядок Сортування"
"Country Specific Settings","Специфічні для Країн Налаштування"
"Payment from Applicable Countries","Платіж з Відповідних Країн"
"Payment from Specific Countries","Платіж з Конкретних Країн"
"Country Specific Credit Card Types","Специфічні для Країн Типи Кредитних Карток"
"PayPal through Braintree","PayPal через Braintree"
"Override Merchant Name","Перевизначити Ім\'я Торговця"
"Require Customer's Billing Address","Вимагати Платіжну Адресу Покупця"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Дозволити Редагувати Адресу Доставки Введену Під Час Розрахунку на Стороні PayPal"
"Display on Shopping Cart","Відобразити на Кошику Покупок"
"Skip Order Review","Skip Order Review"
"3D Secure Verification Settings","Налаштування Перевірки 3D Secure"
"3D Secure Verification","Перевірка 3D Secure"
"Threshold Amount","Порогова Сума"
"Verify for Applicable Countries","Перевірити для Відповідних Країн"
"Verify for Specific Countries","Перевірити для Конкретних Країн"
"Dynamic Descriptors","Dynamic Descriptors"
"Name","Назва"
"Phone","Телефон"
"URL","URL-АДРЕСА"
"CVV is required.","CVV is required."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV must be 4 digits for American Express and 3 digits for other card types."
"Expiration date is required.","Expiration date is required."
"Expiration date is invalid.","Expiration date is invalid."
"Expiration year is invalid. It must be between 1975 and 2201.","Expiration year is invalid. It must be between 1975 and 2201."
"Expiration month is invalid.","Expiration month is invalid."
"Expiration year is invalid.","Expiration year is invalid."
"Credit card number is required.","Credit card number is required."
"Credit card number is invalid.","Credit card number is invalid."
"Credit card number must be 12-19 digits.","Credit card number must be 12-19 digits."
"Cardholder name is too long.","Cardholder name is too long."
"CVV verification failed.","CVV verification failed."
"Postal code verification failed.","Postal code verification failed."
"Credit card number is prohibited.","Credit card number is prohibited."
"Addresses must have at least one field filled in.","Addresses must have at least one field filled in."
"Company is too long.","Компанія є надто довгою."
"Extended address is too long.","Extended address is too long."
"First name is too long.","Ім'я занадто довге."
"Last name is too long.","Прізвище занадто довге."
"Locality is too long.","Locality is too long."
"Postal code is required.","Postal code is required."
"Postal code may contain no more than 9 letter or number characters.","Postal code may contain no more than 9 letter or number characters."
"Region is too long.","Region is too long."
"Street address is required.","Street address is required."
"Street address is too long.","Street address is too long."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Postal code can only contain letters, numbers, spaces, and hyphens."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","US state codes must be two characters to meet PayPal Seller Protection requirements."
"Incomplete PayPal account information.","Incomplete PayPal account information."
"Invalid PayPal account information.","Invalid PayPal account information."
"PayPal Accounts are not accepted by this merchant account.","PayPal Accounts are not accepted by this merchant account."
"Billing address format is invalid.","Billing address format is invalid."
"Country name is not an accepted country.","Country name is not an accepted country."
"Country code is not accepted. Please contact the store administrator.","Country code is not accepted. Please contact the store administrator."
"Provided country information is inconsistent.","Provided country information is inconsistent."
"Customer has already reached the maximum of 50 addresses.","Customer has already reached the maximum of 50 addresses."
"Address is invalid. Please contact the store administrator.","Address is invalid. Please contact the store administrator."
"Error communicating with PayPal.","Error communicating with PayPal."
"PayPal authentication expired.","PayPal authentication expired."
"Error executing PayPal order.","Error executing PayPal order."
"Error executing PayPal billing agreement.","Error executing PayPal billing agreement."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Застосувати фільтри для того, щоб отримати результат. Тільки перші 100 записів будуть відображені у таблиці, у Вас буде змога завантажити повну версію звіту у форматі .csv."
"Select...","Виберіть..."
"Status","Статус"
"Transaction Type","Тип Транзакції"
"Payment Type","Тип Платежу"
"PayPal Payment ID","Ідентифікатор Платежу PayPal"
"Created At","Створений в"
"Transaction ID","Ідентифікатор Танзакції"
"Order ID","Ідентифікатор замовлення"
"Type","Тип"
"Amount","Сума"
"Settlement Code","Код Рохрахування"
"Settlement Response Text","Текст Відповіді Розрахування"
"Refund Ids","Ідентифікатори Відшкодувань"
