"Percent Discount","אחוז הנחה"
"-- Select --","-- בחר --"
"Dynamic","דינמי"
"Fixed","קבוע"
"Create New Option","צור אפשרות חדשה"
"Bundle Items","מוצרי באנדל"
"Add Products to Option","הוספת המוצרים לאפשרות"
"Close","סגור"
"Delete Option","מחר אפשרות"
"What are you looking for?","מה אתה מחפש?"
"ID","מזהה"
"Product","מוצר"
"SKU","מק''ט"
"Price","מחיר"
"Delete","מחק"
"Use Default Value","השתמש בערך ברירת המחדל"
"There is no defined renderer for ""%1"" option type.","אין אפשרות לעבד הגדרות עבור סוג האפשרות ""%1""."
"Only implemented for bundle product","Only implemented for bundle product"
"Product with specified sku: ""%1"" is not a bundle product","Product with specified sku: ""%1"" is not a bundle product"
"Bundle product could not contain another composite product","Bundle product could not contain another composite product"
"Id field of product link is required","Id field of product link is required"
"Can not find product link with id ""%1""","Can not find product link with id ""%1"""
"Could not save child: ""%1""","לא היתה אפשרות לשמור את הילד: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","מוצר עם מק שצוינו: ""%1"" אינו מכיל אפשרות: ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","הילד עם מק שצוינו: ""%1"" כבר מוקצה המוצר: ""%2"""
"Product with specified sku: %1 is not a bundle product","Product with specified sku: %1 is not a bundle product"
"Requested bundle option product doesn't exist","Requested bundle option product doesn't exist"
"%fieldName is a required field.","%fieldName is a required field."
"Requested option doesn't exist","Requested option doesn't exist"
"Cannot delete option with id %1","Cannot delete option with id %1"
"Could not save option","Could not save option"
"Price Range","טווח מחירים"
"As Low as","המחיר הכי נמוך"
"Together","ביחד"
"Separately","בנפרד"
"Please specify product option(s).","אנא ציין את אפשרות או אפשרויות המוצר."
"The options you selected are not available.","האפשרויות שבחרת אינן זמינות."
"The required options you selected are not available.","האפשרויות הדרושות שבחרת אינן זמינות."
"Please select all required options.","אנא בחר את כל האפשרויות הנדרשות."
"We can't add this item to your shopping cart right now."," לא ניתן להוסיף פריט זה לסל הקניות שלך כרגע."
"N/A","לא זמין"
"Percent","אחוז"
"We can't save custom-defined options for bundles with dynamic pricing.","לא ניתן לשמור אפשרויות מותאמות אישית עבור צרורות עם מחיר דינאמי."
"Cancel","ביטול"
"Add Selected Products","הוספת המוצרים שנבחרו"
"Add Option","הוסף אפשרות"
"New Option","אפשרות חדשה"
"Option Title","כותרת האפשרות"
"Default Title","כותרת ברירת המחדל"
"Store View Title","כותרת תצוגת החנות"
"Input Type","סוג הקלט"
"Drop-down","פקד דרופ-דאון"
"Radio Buttons","כפתורי רדיו"
"Checkbox","תיבת סימון"
"Multiple Select","בחירה מרובה"
"Required","נדרש"
"Is Default","ברירת מחדל"
"Name","שם"
"Default Quantity","כמות ברירת המחדל"
"User Defined","הגדרת משתמש"
"Price Type","סוג מחיר"
"None","ללא"
"Quantity:","כמות:"
"Choose a selection...","לבחור בחירה..."
"Ship Bundle Items","שלח צרור מוצרים"
"Position","מיקום"
"There are no products in this option.","אין מוצרים באפשרות זו."
"Default","ברירת מחדל"
"Ordered","הוזמן"
"Invoiced","חויב"
"Shipped","נשלח"
"Refunded","זוכה"
"Canceled","בוטל"
"As low as","המחיר הנמוך ביותר"
"Regular Price","מחיר רגיל"
"From","מ-"
"To","ל-"
"Buy %1 with %2 discount each","לקנות %1 עם %2 הנחת"
"Go back to product details","חזור לפרטי המוצר"
"Customize and Add to Cart","התאם אישית והוסף לעגלה"
"* Required Fields","* שדות חובה"
"Your Customization","ההתאמה האישית שלך"
"Availability","זמינות"
"In stock","במלאי"
"Out of stock","אזל מהמלאי"
"Summary","נושא"
"%1 x %2","%1 x %2"
"Availability:","זמינות:"
"Quantity","כמות"
"Customize %1","התאמה אישית של %1"
"No options of this product are available.","אין אפשרויות זמינות למוצר זה."
"Gift Message","הודעת מתנה"
"From:","מ:"
"To:","ל:"
"Message:","הודעה:"
"Product Name","שם מוצר"
"Subtotal","סכום ביניים"
"Discount Amount","סכום הנחה"
"Row Total","סה״כ השורה"
"Qty Invoiced","כמות שחויבה"
"Qty Shipped","כמות שנשלחה"
"Add Products to New Option","הוסף מוצרים לאפשרות חדשה"
"Add Products to Option ""%1""","הוסף מוצרים לאפשרות ""%1"""
"Select...","בחירה..."
"Status","סטטוס"
"Thumbnail","תמונה ממוזערת"
"Type","סוג"
"Special Price","Special Price"
"This is implemented for bundle products only.","This is implemented for bundle products only."
"The product with the ""%1"" SKU isn't a bundle product.","The product with the ""%1"" SKU isn't a bundle product."
"The bundle product can't contain another composite product.","The bundle product can't contain another composite product."
"The product link needs an ID field entered. Enter and try again.","The product link needs an ID field entered. Enter and try again."
"The product link with the ""%1"" ID field wasn't found. Verify the ID and try again.","The product link with the ""%1"" ID field wasn't found. Verify the ID and try again."
"The bundle product doesn't exist. Review your request and try again.","The bundle product doesn't exist. Review your request and try again."
"The option that was requested doesn't exist. Verify the entity and try again.","The option that was requested doesn't exist. Verify the entity and try again."
"The option couldn't be saved.","The option couldn't be saved."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The option with ""%1"" ID can't be deleted.","The option with ""%1"" ID can't be deleted."
