"Percent Discount","割引率"
"-- Select --","--選択してください--"
"Dynamic","動的"
"Fixed","固定"
"Create New Option","新しいオプション作成"
"Bundle Items","セット商品"
"Add Products to Option","オプションに商品を追加"
"Close","閉じる"
"Delete Option","オプションの削除"
"What are you looking for?","何をお探しですか？"
"ID","ID"
"Product","商品"
"SKU","商品番号"
"Price","価格"
"Delete","削除"
"Use Default Value","標準の値を使用"
"There is no defined renderer for ""%1"" option type.","""%1"" オプションタイプに定義されたレンダラーはありません。"
"Only implemented for bundle product","Only implemented for bundle product"
"Product with specified sku: ""%1"" is not a bundle product","Product with specified sku: ""%1"" is not a bundle product"
"Bundle product could not contain another composite product","Bundle product could not contain another composite product"
"Id field of product link is required","Id field of product link is required"
"Can not find product link with id ""%1""","Can not find product link with id ""%1"""
"Could not save child: ""%1""","childを保存できませんでした: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","SKUで指定された商品: ""%1"" : すでに製品: ""%2"" にすでにアサインされています。"
"Child with specified sku: ""%1"" already assigned to product: ""%2""","SKUで指定されたChild: ""%1"" すでに商品: ""%2""　にアサインされています。"
"Product with specified sku: %1 is not a bundle product","Product with specified sku: %1 is not a bundle product"
"Requested bundle option product doesn't exist","Requested bundle option product doesn't exist"
"%fieldName is a required field.","%fieldName is a required field."
"Requested option doesn't exist","Requested option doesn't exist"
"Cannot delete option with id %1","Cannot delete option with id %1"
"Could not save option","Could not save option"
"Price Range","価格範囲"
"As Low as","同じかそれ以下"
"Together","まとめて"
"Separately","別々"
"Please specify product option(s).","商品オプションを指定してください。"
"The options you selected are not available.","選択されたオプションは有効ではありません。"
"The required options you selected are not available.","あなたが選んだ必須オプションは有効ではありません。"
"Please select all required options.","必須オプションをすべて選択してください。"
"We can't add this item to your shopping cart right now.","このアイテムを現在ショッピングカートに追加できません。"
"N/A","該当無し"
"Percent","パーセント"
"We can't save custom-defined options for bundles with dynamic pricing.","変動価格のバンドルのためのカスタム定義オプションは保存できません。"
"Cancel","キャンセル"
"Add Selected Products","選択した商品を追加"
"Add Option","オプションを追加"
"New Option","新オプション"
"Option Title","オプションのタイトル"
"Default Title","標準タイトル"
"Store View Title","店舗名"
"Input Type","入力形式"
"Drop-down","ドロップダウン"
"Radio Buttons","ラジオボタン"
"Checkbox","チェックボックス"
"Multiple Select","複数選択"
"Required","必須"
"Is Default","標準"
"Name","名前"
"Default Quantity","デフォルト数量"
"User Defined","ユーザー定義"
"Price Type","価格タイプ"
"None","なし"
"Quantity:","数量:"
"Choose a selection...","選択してください..."
"Ship Bundle Items","セット商品の配送方法"
"Position","おすすめ"
"There are no products in this option.","このオプションでの製品はありません。"
"Default","標準"
"Ordered","注文済"
"Invoiced","請求済"
"Shipped","荷送り人"
"Refunded","返金"
"Canceled","キャンセル済"
"As low as","同じかそれ以下"
"Regular Price","通常価格"
"From","開始"
"To","終了"
"Buy %1 with %2 discount each","%1　を　%2 の各ディスカウントで購入"
"Go back to product details","商品詳細に戻る"
"Customize and Add to Cart","カスタマイズしてカートに追加"
"* Required Fields","* 必須項目"
"Your Customization","あなたのカスタマイズ"
"Availability","在庫あり"
"In stock","在庫あり"
"Out of stock","在庫切れ"
"Summary","レビュータイトル"
"%1 x %2","%1 x %2"
"Availability:","在庫状況:"
"Quantity","個数"
"Customize %1","%1 をカスタマイズ"
"No options of this product are available.","利用可能なオプションがありません。"
"Gift Message","ギフトメッセージ"
"From:","開始:"
"To:","終了:"
"Message:","メッセージ:"
"Product Name","商品名"
"Subtotal","小計"
"Discount Amount","割引価格"
"Row Total","行合計"
"Qty Invoiced","請求済個数"
"Qty Shipped","配送数"
"Add Products to New Option","新しいオプションに商品追加"
"Add Products to Option ""%1""","オプション ""%1""に商品追加"
"Select...","選択..."
"Status","ステータス"
"Thumbnail","サムネイル"
"Type","種別"
"Special Price","特別価格"
"This is implemented for bundle products only.","これはバンドル商品にのみ設定可能です。"
"The product with the ""%1"" SKU isn't a bundle product.","SKU ""%1"" の商品はセット商品ではありません。"
"The bundle product can't contain another composite product.","バンドル商品は別のコンポジット商品を含むことができません。"
"The product link needs an ID field entered. Enter and try again.","商品リンクは入力されたIDフィールドが必要です。入力して再度お試し下さい。"
"The product link with the ""%1"" ID field wasn't found. Verify the ID and try again.","IDフィールド ""%1"" の商品リンクが見つかりませんでした。IDを確認して再度お試し下さい。"
"The bundle product doesn't exist. Review your request and try again.","バンドル商品は存在しません。リクエストを確認して、再度お試し下さい。"
"The option that was requested doesn't exist. Verify the entity and try again.","要求されたオプションが存在しません。エンティティを確認して再度お試し下さい。"
"The option couldn't be saved.","オプションを保存できませんでした"
"""%fieldName"" is required. Enter and try again.","""%fieldName"" は必須です。入力して再度お試し下さい。"
"The option with ""%1"" ID can't be deleted.","ID ""%1"" のオプションは削除できません。"
