"Root","Juuri"
"Delete","Poista"
"Are you sure you want to delete this category?","Are you sure you want to delete this category?"
"Save","Tallenna"
"Use Config Settings","Käytä kokoonpanon asetuksia"
"Use All Available Attributes","Käytä kaikkia käytettävissä olevia attribuutteja"
"ID","Tunnus"
"Name","Nimi"
"SKU","Tuotenro"
"Visibility","Näkyvyys"
"Status","Tila"
"Price","Hinta"
"Position","Sijainti"
"Add Subcategory","Lisää alakategoria"
"Add Root Category","Lisää juurikategoria"
"Day","Päivä"
"Month","Kuukausi"
"Year","Vuosi"
"from","alkaen"
"to","asti"
"[GLOBAL]","[GLOBAALI]"
"[WEBSITE]","[VERKKOKAUPPA]"
"[STORE VIEW]","[KAUPPANÄKYMÄ]"
"WYSIWYG Editor","WYSIWYG-editori"
"Add Product","Lisää tuote"
"label","tunniste"
"Product Attributes","Tuotteen attribuutit"
"Add New Attribute","Lisää uusi attribuutti"
"Cancel","Peruuta"
"Save Attribute","Tallenna attribuutti"
"Save in New Attribute Set","Tallenna uusi attribuuttiryhmä"
"Enter Name for New Attribute Set","Syötä nimi uudelle atribuuttiryhmälle"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Delete Attribute","Poista attribuutti"
"Edit Product Attribute ""%1""","Muokkaa tuoteattribuuttia ""%1"""
"New Product Attribute","Uusi tuoteattribuutti"
"Advanced Attribute Properties","Edistyneet määritteen ominaisuudet"
"Attribute Code","Attribuuttikoodi"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Tätä käytetään sisäisesti. Varmista, ettet käytä välilyöntejä tai yli %1 symbolia."
"Default Value","Oletusarvo"
"Unique Value","Yksilöllinen arvo"
"Unique Value (not shared with other products)","Yksilöllinen arvo (ei jaeta muiden tuotteiden kanssa)"
"Not shared with other products.","Ei jaeta muiden tuotteiden kanssa."
"Input Validation for Store Owner","Kauppiaan syötteen validointi"
"Add to Column Options","Lisää sarakkeen valintoihin"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Valitse ""Kyllä"" tämän attribuutin lisäämiseksi sarakkeen valintoihin tuoteruudukossa."
"Use in Filter Options","Käytä suodattimen asetuksissa"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Valitse ""Kyllä"" tämän attribuutin lisäämiseksi suodatusvalintoihin tuoteruudukossa."
"Store View","Kauppanäkymä"
"Website","Sivusto"
"Global","Globaali"
"Scope","Kohde"
"Declare attribute value saving scope.","Ilmoita ominaisuuden arvon säästöalue."
"The default date is invalid.","The default date is invalid."
"Storefront Properties","Kaupan etusivun ominaisuudet"
"Use in Search","Käytä haussa"
"Visible in Advanced Search","Näkyvissä tarkennetussa haussa"
"Comparable on Storefront","Vertailtavissa kaupan etusivulla"
"Use for Promo Rule Conditions","Käytä mainossäännön ehdoissa"
"Allow HTML Tags on Storefront","Salli HTML-tunnisteet kaupan etusivulla"
"Visible on Catalog Pages on Storefront","Näkyvillä katalogin sivuilla kaupassa"
"Used in Product Listing","Käytetään tuotelistauksessa"
"Depends on design theme.","Riippuu ulkoasun teemasta."
"Used for Sorting in Product Listing","Käytetään tuotteen lajittelussa tuotelistauksessa"
"Media Image","Media Kuva"
"Gallery","Galleria"
"System Properties","Järjestelmäominaisuudet"
"No","Ei"
"Yes","Kyllä"
"Data Type for Saving in Database","Datan tyyppi tallettaessa tietokantaan"
"Text","Teksti"
"Varchar","Varchar"
"Static","Staattinen"
"Datetime","Datetime"
"Decimal","Desimaali"
"Integer","Kokonaisluku"
"Globally Editable","Globaalisti muokattavissa"
"Attribute Information","Attribuutin tiedot"
"Properties","Ominaisuudet"
"Manage Labels","Hallinnoi nimikkeitä"
"Visible","Näkyvissä"
