"Edit Event","Edit Event"
"Add Event","Add Event"
"Events","Events"
"Add Catalog Event","Add Catalog Event"
"Save and Continue Edit","ಉಳಿಸಿ ಮತ್ತು ಸಂಪಾದನೆಯನ್ನು ಮುಂದುವರೆಸಿ"
"Back to Category","Back to Category"
"Edit Catalog Event","Edit Catalog Event"
"Catalog Event Information","Catalog Event Information"
"Category","ವಿಭಾಗ"
"Start Date","ಪ್ರಾರಂಭದ ದಿನಾಂಕ"
"End Date","ಅಂತ್ಯದ ದಿನಾಂಕ"
"Image","ಚಿತ್ರ"
"Sort Order","ವಿಂಗಡಣಾ ಕ್ರಮ"
"Upcoming","ಮುಂಬರುವ"
"Open","ತೆರೆ"
"Closed","ಮುಚ್ಚಿದ"
"Display Countdown Ticker On","Display Countdown Ticker On"
"Category Page","ವಿಭಾಗದ ಪುಟ"
"Product Page","ಉತ್ಪನ್ನದ ಪುಟ"
"Status","ಸ್ಥಿತಿ"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[STORE VIEW]"
"Coming Soon","ಶೀಘ್ರದಲ್ಲೇ ಬರಲಿದೆ"
"Sale Ends In","Sale Ends In"
"Catalog","Catalog"
"You deleted the event.","You deleted the event."
"New Event","New Event"
"Default Values","ನಿಯೋಜಿತ ನಮೂದುಗಳು"
"Something went wrong while saving this event.","Something went wrong while saving this event."
"We did not upload your image.","We did not upload your image."
"You saved the event.","You saved the event."
"%1 is required.","%1 ಅಗತ್ಯವಿದೆ."
"Please make sure the end date follows the start date.","Please make sure the end date follows the start date."
"Event for selected category","Event for selected category"
"Lister Block","Lister Block"
"This product is no longer on sale.","This product is no longer on sale."
"Some of these products can no longer be sold.","Some of these products can no longer be sold."
"Select Category","ವಿಭಾಗವನ್ನು ಆರಿಸಿ"
"Use Default Value","ನಿಯೋಜಿತ ನಮೂದನ್ನು ಬಳಸಿ"
"Days","ದಿನಗಳು"
"Hrs","ಘಂಟೆಗಳು"
"Mins","ನಿಮಿಷಗಳು"
"Sec","ಸೆಕೆಂಡುಗಳು"
"Preview Sale","ಮುನ್ನೋಟ ಮಾರಾಟ"
"Go To Sale","ಮಾರಾಟಕ್ಕೆ ತೆರಳಿ"
"View Sale","ಮಾರಾಟ ವೀಕ್ಷಿಸಿ"
"Previous","ಹಿಂದಿನ"
"Next","ಮುಂದೆ"
"Catalog Events","Catalog Events"
"Enable Catalog Events Functionality","Enable Catalog Events Functionality"
"Enable Catalog Event Widget on Storefront","Enable Catalog Event Widget on Storefront"
"Number of Events to be Displayed in Event Slider Widget","Number of Events to be Displayed in Event Slider Widget"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation."
"Events to Scroll per Click in Event Slider Widget","Events to Scroll per Click in Event Slider Widget"
"You can override this default value in CMS using the limit=""x"" variable.","You can override this default value in CMS using the limit=""x"" variable."
"Catalog Events Carousel","Catalog Events Carousel"
"List all open Catalog Events as a Paginated Carousel","List all open Catalog Events as a Paginated Carousel"
"Frame Size","Frame Size"
"Number of Items to display at once","ಒಂದುಬಾರಿ ಪ್ರದರ್ಶಿಸಲು ವಸ್ತುಗಳ ಸಂಖ್ಯೆ"
"Scroll","Scroll"
"Number of Items to scroll per click","Number of Items to scroll per click"
"Block Custom Width","Block Custom Width"
"If empty, we'll automatically set the width value in pixels.","If empty, we'll automatically set the width value in pixels."
"Catalog Events Carousel Default Template","Catalog Events Carousel Default Template"
"ID","ID"
"Category ID","ವಿಭಾಗ ID"
"Start","ಪ್ರಾರಂಭಿಸಿ"
"End","ಕೊನೆಗೊಳಿಸಿ"
"Countdown Ticker","Countdown Ticker"
"Action","ಕ್ರಿಯೆ"
"Edit","ಸಂಪಾದಿಸಿ"
"Edit Event...","Edit Event..."
"Add Event...","Add Event..."
