"Concrete type for %1 not implemented","Konkret type for %1 er ikke implementert"
"Missing key %1 in product data","Mangler nøkkel %1 i produkt data"
"""model"" value should be specified","""model"" value should be specified"
"""path"" value should be specified","""path"" value should be specified"
"currentPage value %1 specified is greater than the number of pages available.","denneSiden verdi %1 spesifisert er større enn antall sider tilgjengelig."
"""id for category should be specified","""id for kategori burde bli spesifisert"
"No child sku found for product link.","Ingen barn sku funnet for produktnøkkelen."
"'search' or 'filter' input argument is required.","'søk' eller 'filtrer' inputargument kreves."
"SimpleProduct type not defined in schema.","EnkelProdukt type ikke definert i skjema."
"'category_id' only supports 'eq' condition type.","'kategori_id' støtter bare 'eq' tilstandstype."
"Cannot resolve layered filter type","Cannot resolve layered filter type"
"Cannot resolve type","Cannot resolve type"
"Category doesn't exist","Category doesn't exist"
"""image_type"" value should be specified","""image_type"" value should be specified"
"currentPage value %1 specified is greater than the %2 page(s) available.","currentPage value %1 specified is greater than the %2 page(s) available."
