"Concrete type for %1 not implemented","Concrete type for %1 not implemented"
"Missing key %1 in product data","Відсутній ключ %1 в данних продукту"
"""model"" value should be specified","Значення ""model"" повиненне бути вказане"
"""path"" value should be specified","Значення ""path"" повиненне бути вказане"
"currentPage value %1 specified is greater than the number of pages available.","значення поточної сторінки %1, перевищує кількість сторінок."
"""id for category should be specified","Ідентифікатор для категорії повинен бути вказаний"
"No child sku found for product link.","No child sku found for product link."
"'search' or 'filter' input argument is required.","Вкажіть ""path"" або ""filter""."
"SimpleProduct type not defined in schema.","SimpleProduct type not defined in schema."
"'category_id' only supports 'eq' condition type.","'category_id' only supports 'eq' condition type."
"Cannot resolve layered filter type","Cannot resolve layered filter type"
"Cannot resolve type","Cannot resolve type"
"Category doesn't exist","Category doesn't exist"
"""image_type"" value should be specified","""image_type"" value should be specified"
"currentPage value %1 specified is greater than the %2 page(s) available.","currentPage value %1 specified is greater than the %2 page(s) available."
