"Entity type model '%1' is not found","Entity type model '%1' is not found"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Enhedstypemodellern skal være følgende typer\Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export.","Der er ingen varetyper til eksport."
"'Entity type model must be an instance of ' .","'Enhedstypemodellen skal være en forekomst af'."
"Wrong attribute set code ""%1"", please correct it and try again.","Forkert attributsæt kode ""%1"", venligst ret den og prøv igen."
"Category ""%1"" has not been created.","Kategori ""%1"" er ikke blevet oprettet."
"File directory '%1' is not readable.","Filmappen '%1' kan ikke læses."
"File directory '%1' is not writable.","Filmappen '%1' er skrivebeskyttet."
"Value for 'price' sub attribute in 'store' attribute contains incorrect value","Value for 'price' sub attribute in 'store' attribute contains incorrect value"
"Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: 'dropdown', 'checkbox'","Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: 'dropdown', 'checkbox'"
"Please enter a value for title.","Angiv en værdi for titel."
"Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value","Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value"
"Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value","Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value"
"Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value","Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value"
"Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value","Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value"
"This name is already being used for custom option. Please enter a different name.","Dette navn bruges allerede til brugerdefineret indstilling. Angiv et andet navn."
"Custom options have different types.","Brugerdefinerede indstillinger har forskellige typer."
"Every option entity must have a parent product entity.","Hver enheds indstilling skal have en overordnet produktobjektet."
"Please correct the parameters.","Ret venligst parametre."
"File '%1' was not found or has read restriction.","File '%1' was not found or has read restriction."
"Entity type model must be an instance of Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType","Entity type model must be an instance of Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType"
"Entity type model must be an instance of '%1'","Entity type model must be an instance of '%1'"
"Disallowed file type.","Disallowed file type."
"Value for multiselect attribute %s contains duplicated values","Value for multiselect attribute %s contains duplicated values"
"Invalid Stock data for insert","Invalid Stock data for insert"
"Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: %1","Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: %1"
