"ALL GROUPS","جميع المجموعات"
"Customer Group","مجموعات العملاء"
"Minimum Qty","الحد الأدنى من الكمية"
"Add Minimum Qty","اضف حد أدنى للكمية"
"We can't rebuild the index for an undefined product.","لا يمكن إعادة إنشاء الفهرس لمنتج غير معروف."
"Could not rebuild index for empty products array","لا يمكن إعادة إنشاء الفهرس لمجموعة منتجات فارغة"
"The stock item for Product is not valid.","The stock item for Product is not valid."
"This product is out of stock.","هذا المنتج غير متوفر في المخزن."
"Some of the products are out of stock.","بعض المنتجات غير متوفرة بالمخزن."
"The stock item for Product in option is not valid.","عنصر التخزين لهذا المنتج في الخيار غير صحيح."
"Undefined product type","نوع المنتج غير معروف"
"%1 is not a correct comparison method.","%1 ليس أسلوب مقارنة صحيحة."
"No Backorders","لا توجد طلبات لمنتجات غير متوفرة"
"Allow Qty Below 0","السماح بالكمية 0"
"Allow Qty Below 0 and Notify Customer","السماح بكمية تحت ال 0 و أعلام العميل"
"In Stock","متوفر في المخزن"
"Out of Stock","غير متوفر بالمخزن"
"Unable to save Stock Item","Unable to save Stock Item"
"Stock Item with id ""%1"" does not exist.","Stock Item with id ""%1"" does not exist."
"Unable to remove Stock Item with id ""%1""","Unable to remove Stock Item with id ""%1"""
"Unable to save Stock","Unable to save Stock"
"Stock with id ""%1"" does not exist.","Stock with id ""%1"" does not exist."
"Unable to remove Stock with id ""%1""","غير قادر على إزالة المخزون للمعرف ""%1"""
"Unable to save Stock Status","Unable to save Stock Status"
"Unable to remove Stock Status for product %1","غير قادر على إزالة ""حالة المخزون"" للمنتج %1"
"Invalid stock id: %1. Only default stock with id %2 allowed","Invalid stock id: %1. Only default stock with id %2 allowed"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Invalid stock item id: %1. Should be null or numeric value greater than 0"
"Invalid stock item id: %1. Assigned stock item id is %2","Invalid stock item id: %1. Assigned stock item id is %2"
"Not all of your products are available in the requested quantity.","Not all of your products are available in the requested quantity."
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"The fewest you may purchase is %1.","أقل عدد يمكنك شراؤه هو %1."
"Please correct the quantity for some products.","الرجاء تصحيح الكمية لبعض المنتجات."
"The most you may purchase is %1.","The most you may purchase is %1."
"We don't have as many ""%1"" as you requested.","We don't have as many ""%1"" as you requested."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","ليس لدينا العديد من ""%1"" كما طلبت، ولكن سوف نعيد أمر %2 المتبقية."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","ليس لدينا ""%1"" بالكمية المطلوبة، حيث أننا سوف نعيد أمر %2 المتبقية."
"You can buy %1 only in quantities of %2 at a time.","يمكنك شراء %1 بكميات فقط من %2 في وقت واحد."
"You can buy this product only in quantities of %1 at a time.","يمكنك الشراء من هذا المنتج فقط بكميات من %1 في وقت واحد."
