"ALL GROUPS","TÜM GRUPLAR"
"Customer Group","Müşteri Grupları"
"Minimum Qty","En az Adet"
"Add Minimum Qty","En az Miktarda Ekle"
"We can't rebuild the index for an undefined product.","Dizini tanımlanmamış bir ürün için yeniden oluşturamayız."
"Could not rebuild index for empty products array","Boş ürün dizinleri için dizin yeniden oluşturulamadı"
"The Product stock item is invalid. Verify the stock item and try again.","Ürün stok kalemi geçersiz. Stok öğesini doğrulayıp tekrar deneyiniz."
"This product is out of stock.","Bu ürün stokta yok."
"Some of the products are out of stock.","Bazı ürünler stoklarımızda yok."
"The stock item for Product in option is not valid.","Seçenekteki ürün için stok geçerli değildir."
"Undefined product type","Ürün tipi belirlenmemiş"
"%1 is not a correct comparison method.","%1 doğru bir karşılaştırma yöntemi değil."
"No Backorders","Ön sipariş kabul edilmez"
"Allow Qty Below 0","Sıfırın altındaki miktara izin ver"
"Allow Qty Below 0 and Notify Customer","Sıfırın altındaki miktara izin ver ve müşteriye bildir"
"In Stock","stokta mevcut"
"Out of Stock","Stok mevcut değil"
"The stock item was unable to be saved. Please try again.","Stok kalemi kaydedilemedi. Lütfen tekrar deneyin."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","""%1"" numaralı stok kalemi bulunamadı. Numarayı doğrulayıp tekrar deneyiniz."
"The stock was unable to be saved. Please try again.","Stok kaydedilemedi. Lütfen tekrar deneyin."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","""%1"" numaralı stok bulunamadı. Numarayı doğrulayıp tekrar deneyiniz."
"Unable to remove Stock with id ""%1""","""%1"" Stok Öge kimliği kaldırılamıyor"
"The stock status was unable to be saved. Please try again.","Stok durumu kaydedilemedi. Lütfen tekrar deneyin."
"Unable to remove Stock Status for product %1","Ürün%1 için Stok Durumu kaldırılamıyor"
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","""%1"" değeri geçerli bir stok numarası değil. Varsayılan değer olarak %2 girip tekrar deneyiniz."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","""%1"" değeri geçerli bir stok numarası değil. 0 yada daha büyük bir numara girip tekrar deneyiniz."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","""%1"" değeri geçerli bir stok numarası değil. Eşlenmiş stok değerlerini ""%2"" kullanıp tekrar deneyiniz."
"The Product with the ""%1"" SKU doesn't exist.","""%1"" kodlu ürün bulunamadı."
"Please correct the quantity for some products.","Bazı ürünler için lütfen miktarı düzeltin."
"The fewest you may purchase is %1.","Satın alabileceğiniz en düşük tutar% 1'dir."
"The requested qty exceeds the maximum qty allowed in shopping cart","The requested qty exceeds the maximum qty allowed in shopping cart"
"You cannot use decimal quantity for this product.","You cannot use decimal quantity for this product."
"The requested qty is not available","İstenen adet mevcut değil"
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","İstediğiniz kadar ""%1"" e sahip değiliz, ancak geri kalan%2 siparişini geri alacağız."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","İstenen miktarda ""%1"" yok, bu nedenle geri kalan%2'yi sipariş edeceğiz."
"You can buy %1 only in quantities of %2 at a time.","%1 sadece %2 miktarlarında satın alınabilir."
"You can buy this product only in quantities of %1 at a time.","Bir seferde bu üründen sadece %1 miktarında satın alabilirsiniz."
"Quantity increments can't use decimals. Enter a new increment and try again.","Miktar artışları ondalık kullanamaz. Yeni bir artış değeri girip tekrar deneyiniz."
"Something went wrong while updating the product(s) attributes.","Ürün (ler) öznitelikleri güncelleştirilirken bir şeyler ters gitti."
"Stock Status","Stok Durumu"
"Quantity","Miktar"
"Advanced Inventory","Gelişmiş Envanter"
"%1 is available to buy in increments of %2","% 1, % 2'lik artışlarla satın alınabilir"
"Only %1 left","Sadece %1 kaldı"
"Product availability","Ürün Uygunluğu"
"Product Name","Ürün Adı"
"Qty","Miktar"
"Inventory Section","Envanter Bölümü"
"Inventory","Envanter"
"Stock Options","Stok Seçenekleri"
"Decrease Stock When Order is Placed","Sipariş verildiğinde stoğu düşür"
"Set Items' Status to be In Stock When Order is Cancelled","Sipariş iptal edildiğinde ürünü iade al ve Stokta göster"
"Display Out of Stock Products","Stokta mevcut olmayan ürünleri göster"
"Products will still be shown by direct product URLs.","Ürünler, direkt ürün URL leri ile gösterilecektir."
"Only X left Threshold","Sadece X adet kaldı Uyarısı"
"Display Products Availability in Stock on Storefront","Ön Sayfada stokta mevcut ürünleri göster"
"Product Stock Options","Ürün Stok Seçenekleri"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Bu ayarların bütün sepete değil, yalnızca sepetteki ayrı ögelere uygulanacağını unutmayın."
"Manage Stock","Stok Yönetimi"
"Changing can take some time due to processing whole catalog.","Değişiklik, tüm kataloğun işlenmesi nedeniyle biraz zaman alabilir."
"Backorders","Ön Siparişler"
"Maximum Qty Allowed in Shopping Cart","Sepette izin verilen en yüksek miktar"
"Out-of-Stock Threshold","Belirtilen stok dışı"
"Minimum Qty Allowed in Shopping Cart","Sepette izin verilen en düşük miktar"
"Notify for Quantity Below","Miktar Aşağısını Bildir"
"Automatically Return Credit Memo Item to Stock","İade Kaydı oluşturulan Ürünü Stoğa Otomatik Geri Yükle"
"Enable Qty Increments","Miktar Arttırımını Aktif et"
"Qty Increments","Miktar Arttırımı"
"Stock","Stok"
"Index stock","Stok bilgisi"
"Done","Tamamlandı"
"Use Config Settings","Yapılandırma Ayarlarını Kullan"
"Qty Uses Decimals","Miktarda Ondalık Kullan"
"Allow Multiple Boxes for Shipping","Nakliye için Birden Çok Kutuya İzin Ver"
