"ALL GROUPS","УСІ ГРУПИ"
"Customer Group","Група покупців"
"Minimum Qty","Мінімальна кіл-ть"
"Add Minimum Qty","Додати мінімальну кіл-ть"
"We can't rebuild the index for an undefined product.","Ми не можемо перебудувати індекс для невизначеного продукту."
"Could not rebuild index for empty products array","Не вдалося перебудувати індекс для порожнього масиву продуктів"
"The stock item for Product is not valid.","Складський елемент для товару неприпустимий."
"This product is out of stock.","Цього товару немає в наявності."
"Some of the products are out of stock.","Деяких з товарів немає в наявності."
"The stock item for Product in option is not valid.","Складський елемент для товару в опції неприпустимий."
"Undefined product type","Невизначений тип товару"
"%1 is not a correct comparison method.","%1 не є коректним методом порівняння."
"No Backorders","Немає відкладених замовлень"
"Allow Qty Below 0","Дозволяти кіл-ть, меншу за 0"
"Allow Qty Below 0 and Notify Customer","Дозволяти кіл-ть, меншу за 0 та повідомляти покупця"
"In Stock","В наявності"
"Out of Stock","Немає в наявності"
"Unable to save Stock Item","Не вдалося зберегти Товар"
"Stock Item with id ""%1"" does not exist.","Складського елемента з ідентифікатором ""%1"" не існує."
"Unable to remove Stock Item with id ""%1""","Не вдалося видалити Товар з id ""%1"""
"Unable to save Stock","Не вдалося зберегти Запас"
"Stock with id ""%1"" does not exist.","Склад з ідентифікатором ""%1"" не існує."
"Unable to remove Stock with id ""%1""","Не вдалося зберегти Запас з id ""%1"""
"Unable to save Stock Status","Не вдалося зберегти стан на складі"
"Unable to remove Stock Status for product %1","Не вдалося видалити складський стан для товара %1"
"Invalid stock id: %1. Only default stock with id %2 allowed","Неприпустимий складський ідентифікатор: %1. Дозволений тільки типовий склад з ідентифікатором %2"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Неприпустимий ідентифікатор складського елементу: %1. Має бути null або числове значення, більше за 0"
"Invalid stock item id: %1. Assigned stock item id is %2","Неприпустимий ідентифікатор складського елементу: %1. Назначеним ідентифікатором складського елементу є %2"
"Not all of your products are available in the requested quantity.","Не всі ваші товари наявні в запрошеній кількості."
"Product with SKU ""%1"" does not exist","Товар з артикулем ""%1"" не існує"
"The fewest you may purchase is %1.","Ви можете придбати щонайменше %1."
"Please correct the quantity for some products.","Будь ласка, виправте кількості деяких товарів."
"The most you may purchase is %1.","Ви можете придбати щонайбільше %1."
