"New Permission","Uus luba"
"You already have a permission with this scope.","You already have a permission with this scope."
"(Allow)","(Luba)"
"(Deny)","(Keela)"
"Category Permissions","Kategooria õigused"
"Browsing Category","Browsing Category"
"Display Product Prices","Kuva toodete hindu"
"Add to Cart","Lisa ostukorvi"
"Yes, for Everyone","Jah, kõigile"
"Yes, for Specified Customer Groups","Jah, valitud kliendigruppidele"
"No","Ei"
"No, Redirect to Landing Page","Ei, suuna maandumislehele"
"Permission with the same scope","Permission with the same scope"
"You may need more permissions to access this category.","You may need more permissions to access this category."
"You may need more permissions to access this product.","You may need more permissions to access this product."
"You cannot add ""%1"" to the cart.","You cannot add ""%1"" to the cart."
"Permissions do not depend on store views.","Õigused ei sõltu poevaadetest."
"Website","Koduleht"
"Customer Group","Kliendigrupp"
"Action","Toiming"
"-- Please Select --","-- Vali --"
"All Websites","Kõik veebisaidid"
"All Customer Groups","Kõik kliendigrupid"
"Allow","Luba"
"Deny","Keela"
"Use parent","Use parent"
"Category Permissions Section","Category Permissions Section"
"Enable","Luba"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Allow Browsing Category"
"Customer Groups","Kliendigrupid"
"Landing Page","Maandusmisleht"
"Allow Adding to Cart","Luba ostukorvi lisamine"
"Disallow Catalog Search By","Disallow Catalog Search By"
"Catalog Category Permissions","Catalog Category Permissions"
"Indexed permissions for categories","Indexed permissions for categories"
"Catalog Product Permissions","Catalog Product Permissions"
"Indexed permissions for products","Indexed permissions for products"
