"New Permission","Jauna atļauja"
"You already have a permission with this scope.","Jums jau ir atļaujas šajā kopā."
"(Allow)","(Atļaut)"
"(Deny)","(Aizliegt)"
"Category Permissions","Kategorijas atļaujas"
"Browsing Category","Kategoriju pārlūkošana"
"Display Product Prices","Rādīt produktu cenas"
"Add to Cart","Pievienot grozam"
"Yes, for Everyone","Jā, visiem"
"Yes, for Specified Customer Groups","Jā, norādītajām klientu grupām"
"No","Nē"
"No, Redirect to Landing Page","Nē, Novirzīt uz piezemēšanās lapu"
"Permission with the same scope","Atļaujas šajā pašā kopā"
"You may need more permissions to access this category.","Jums vajag vairāk atļauju lai piekļūtu šai kategorijai."
"You may need more permissions to access this product.","Jums vajag vairāk atļauju lai piekļūtu šim produktam."
"You cannot add ""%1"" to the cart.","Nevar pievienot ""%1"" grozam."
"Permissions do not depend on store views.","Atļaujas nav atkarīgas no veikala skata."
"Website","Mājas lapa"
"Customer Group","Klientu grupa"
"Action","Darbība"
"-- Please Select --","-- Lūdzu, izvēlieties --"
"All Websites","Visas lapas"
"All Customer Groups","Visas klientu grupas"
"Allow","Atļaut"
"Deny","Aizliegt"
"Use parent","Izmantot augstāku"
"Category Permissions Section","Kategoriju atļauju sadaļa"
"Enable","Ieslēgt"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories."
"Allow Browsing Category","Allow Browsing Category"
"Customer Groups","Klientu grupas"
"Landing Page","Piezemēšanās lapa"
"Allow Adding to Cart","Atļaut pievienot grozam"
"Disallow Catalog Search By","Aizliegt meklēšanu katalogā pēc"
"Catalog Category Permissions","Kataloga kategoriju atļaujas"
"Indexed permissions for categories","Kategoriju indeksētās atļaujas"
"Catalog Product Permissions","Kataloga produktu atļaujas"
"Indexed permissions for products","Produkta indeksētās atļaujas"
