"Delete Rule","ನಿಯಮವನ್ನು ಅಳಿಸಿ"
"Are you sure you want to do this?","ಇದನ್ನು ಮಾಡಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?"
"Reset","ಮರುಹೊಂದಿಸಿ"
"Save and Apply","ಉಳಿಸಿ ಮತ್ತು ಅನ್ವಯಿಸಿ"
"Save and Continue Edit","ಉಳಿಸಿ ಮತ್ತು ಸಂಪಾದನೆಯನ್ನು ಮುಂದುವರೆಸಿ"
"Save","ಉಳಿಸಿ"
"Catalog Price Rule","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ದರದ ನಿಯಮ"
"Add New Rule","ಹೊಸ ನಿಯಮವನ್ನು ಸೇರಿಸಿ"
"Apply Rules","ನಿಯಮಗಳನ್ನು ಅನ್ವಯಿಸಿ"
"Conditions","ನಿಯಮಗಳು"
"Conditions (don't add conditions if rule is applied to all products)","Conditions (don't add conditions if rule is applied to all products)"
"ID","ID"
"Type","ವಿಧ"
"Attribute Set","Attribute Set"
"SKU","SKU"
"Product","ಉತ್ಪನ್ನ"
"Promotions","ಜಾಹೀರಾತುಗಳು"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog."
"We can't apply the rules.","ನಮಗೆ ನಿಯಮಗಳನ್ನು ಅನ್ವಯಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ."
"You deleted the rule.","ನೀವು ನಿಯಮವನ್ನು ಅಳಿಸಿದ್ದೀರಿ."
"We can't delete this rule right now. Please review the log and try again.","We can't delete this rule right now. Please review the log and try again."
"We can't find a rule to delete.","ಅಳಿಸಲು ನಮಗೆ ಯಾವುದೇ ನಿಯಮ ಕಂಡುಬಂದಿಲ್ಲ."
"This rule no longer exists.","ಈ ನಿಯಮವು ಈಗ ಅಸ್ತಿತ್ವದಲ್ಲಿರುವುದಿಲ್ಲ."
"New Catalog Price Rule","New Catalog Price Rule"
"Edit Rule","ನಿಯಮವನ್ನು ಸಂಪಾದಿಸಿ"
"New Rule","ಹೊಸ ನಿಯಮ"
"Catalog","Catalog"
"You saved the rule.","ನೀವು ನಿಯಮವನ್ನು ಉಳಿಸಿದ್ದೀರಿ."
"Something went wrong while saving the rule data. Please review the error log.","ನಿಯಮದ ದತ್ತಾಂಶ ಉಳಿಸುವಲ್ಲಿ ಏನೋ ತೊಂದರೆಯಾಗಿದೆ. ದಯವಿಟ್ಟು ಎರರ್ ಲಾಗ್ ಅನ್ನು ಪರಿಶೀಲಿಸಿ."
"Promo","ಜಾಹೀರಾತು"
"Unable to save rule %1","Unable to save rule %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule %1","Unable to remove rule %1"
"Could not rebuild index for empty products array","Could not rebuild index for empty products array"
"We can't rebuild the index for an undefined product.","We can't rebuild the index for an undefined product."
"Catalog rule indexing failed. See details in exception log.","Catalog rule indexing failed. See details in exception log."
"Percentage discount should be between 0 and 100.","ಶೇಕಡಾ ರಿಯಾಯಿತಿ 0 ಮತ್ತು 100 ನಡುವೆ ಇರಬೇಕು."
"Discount value should be 0 or greater.","ರಿಯಾಯಿತಿ ಮೊತ್ತ 0 ಅಥವಾ ಅದಕ್ಕಿಂತ ಹೆಚ್ಹಿರಬೇಕು."
"Unknown action.","ಅನಾಮಿಕ ಕ್ರಿಯೆ."
"Update the Product","ಉತ್ಪನ್ನವನ್ನು ಪರಿಷ್ಕರಿಸಿ"
"Rule price","ನಿಯಮದ ದರ"
"To Fixed Value","ನಿಗದಿತ ದರಕ್ಕೆ"
"To Percentage","To Percentage"
"By Fixed value","ನಿಗದಿತ ದರದಂತೆ"
"By Percentage","By Percentage"
"Update product's %1 %2: %3","ಉತ್ಪನ್ನವನ್ನು ಪರಿಷ್ಕರಿಸಿ %1 %2: %3"
"Apply as percentage of original","ಮೂಲದ ಶೇಕಡಾವಾರಿನಂತೆ ಅನ್ವಯಿಸಿ"
"Apply as fixed amount","ಸ್ಥಿರ ಮೊತ್ತದಂತೆ ಅನ್ವಯಿಸಿ"
"Adjust final price to this percentage","ಕೊನೆಯ ಬೆಲೆಯನ್ನು ಈ ಶೇಕಡಾವಾರಿಗೆ ಹೊಂದಿಸಿ"
"Adjust final price to discount value","ಅಂತಿಮ ಬೆಲೆಯನ್ನು ರಿಯಾಯಿತಿ ಮೊತ್ತಕ್ಕೆ ಹೊಂದಿಸಿ"
"Conditions Combination","ನಿಯಮಗಳ ಸಂಯೋಜನೆ"
"Product Attribute","ಉತ್ಪನ್ನದ ಗುಣವಿಶೇಷ"
"Updated rules applied.","ಪರಿಷ್ಕೃತ ನಿಯಮ ಅನ್ವಯವಾಗಿದೆ."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","You disabled %1 Catalog Price Rules based on ""%2"" attribute."
