"Delete Rule","Xoá quy tắc"
"Are you sure you want to do this?","Bạn có chắc rằng bạn muốn làm điều này?"
"Reset","Thiết lập lại"
"Save and Apply","Lưu và áp dụng"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Save","Lưu lại"
"Catalog Price Rule","Catalog Price Rules"
"Add New Rule","Thêm quy tắc mới"
"Apply Rules","Áp dụng quy tắc"
"Conditions","Điều kiện"
"Conditions (don't add conditions if rule is applied to all products)","Điều kiện (không thêm điều kiện nếu quy luật được áp dụng cho tất cả sản phẩm)"
"ID","ID"
"Type","Loại"
"Attribute Set","Thiết lập thuộc tính"
"SKU","MÃ SẢN PHẨM"
"Product","Sản phẩm"
"Promotions","Khuyến mãi"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Chúng tôi tìm thấy Cập nhật các quy tắc không được áp dụng. Xin vui lòng bấm vào ""Áp dụng quy tắc"" để cập nhật vào cửa hàng của bạn."
"We can't apply the rules.","Chúng tôi không thể áp dụng các quy tắc."
"You deleted the rule.","Bạn đã xoá các quy tắc."
"We can't delete this rule right now. Please review the log and try again.","Chúng tôi không thể xoá quy tắc này ngay bây giờ. Xin vui lòng xem lại các bản ghi và thử lại."
"We can't find a rule to delete.","Chúng tôi không thể tìm thấy một quy tắc để xóa."
"This rule no longer exists.","Quy tắc này không còn tồn tại."
"New Catalog Price Rule","Chỉnh sửa danh mục giá quy định"
"Edit Rule","Sửa quy tắc"
"New Rule","Quy tắc mới"
"Catalog","Danh mục"
"You saved the rule.","Bạn đã lưu quy tắc."
"Something went wrong while saving the rule data. Please review the error log.","Một cái gì đó đã đi sai trong khi lưu dữ liệu quy tắc. Vui lòng xem xét lỗi đăng nhập."
"Promo","Quảng cáo"
"Unable to save rule %1","Unable to save rule %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule %1","Unable to remove rule %1"
"Could not rebuild index for empty products array","Không thể xây dựng lại các chỉ số cho mảng sản phẩm trống rỗng"
"We can't rebuild the index for an undefined product.","Chúng tôi không thể xây dựng lại các chỉ số cho một sản phẩm không xác định."
"Catalog rule indexing failed. See details in exception log.","Cửa hàng quy tắc chỉ mục đã thất bại. Xem chi tiết trong đăng nhập ngoại lệ."
"Percentage discount should be between 0 and 100.","Tỷ lệ phần trăm giảm giá nên giữa 0 và 100."
"Discount value should be 0 or greater.","Giá trị giảm giá nên bằng 0 hoặc lớn hơn."
"Unknown action.","Thao tác không rõ."
"Update the Product","Cập nhật sản phẩm"
"Rule price","Quy luật giá"
"To Fixed Value","Đến giá trị cố định"
"To Percentage","Để tỷ lệ phần trăm"
"By Fixed value","Bởi giá trị cố định"
"By Percentage","Bởi Tỷ lệ phần trăm"
"Update product's %1 %2: %3","Cập nhật sản phẩm của %1 %2: %3"
"Apply as percentage of original","Áp dụng tỷ lệ phần trăm của bản gốc"
"Apply as fixed amount","Áp dụng như là số tiền cố định"
"Adjust final price to this percentage","Điều chỉnh giá cuối cùng cho tỷ lệ phần trăm này"
"Adjust final price to discount value","Điều chỉnh giá cuối cùng để giảm giá trị"
"Conditions Combination","Kết hợp Điều kiện"
"Product Attribute","Thuộc tính sản phẩm"
"Updated rules applied.","Cập nhật các quy tắc được áp dụng."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","Bạn vô hiệu hóa %1 cửa hàng giá quy tắc dựa trên thuộc tính ""%2""."
"Catalog Rule Product","Quy tắc Danh mục sản phẩm"
"Indexed rule/product association","Hiệp hội được đánh chỉ mục quy tắc/sản phẩm"
"Catalog Product Rule","Quy tắc Danh mục sản phẩm"
"Indexed product/rule association","Hiệp hội sản phẩm/mục được đánh chỉ mục"
"Rule","Quy tắc"
"Start","Bắt đầu"
"End","Kết thúc"
"Status","Trạng thái"
"Active","Kích hoạt"
"Inactive","Không hoạt động"
"Web Site","Trang Web"
"Back","Trở lại"
"Rule Information","Thông tin quy tắc"
"Rule Name","Tên quy tắc"
"Description","Mô tả"
"Websites","Các trang web"
"Customer Groups","Nhóm khách hàng"
"From","Từ"
"To","Đến"
"Priority","Độ ưu tiên"
"Actions","Thao tác"
"Apply","Áp dụng"
"Discount Amount","Lượng chiết khấu"
"Discard subsequent rules","Loại bỏ các quy tắc"
"Yes","Có"
"No","Không"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","General Information"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","Undefined condition type ""%1"" passed in."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Undefined SQL operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Undefined rule operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Undefined rule aggregator ""%1"" passed in. Valid operators are: %2"
"The ""%1"" rule was unable to be saved. Please try again.","The ""%1"" rule was unable to be saved. Please try again."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","The rule with the ""%1"" ID wasn't found. Verify the ID and try again."
"The ""%1"" rule couldn't be removed.","The ""%1"" rule couldn't be removed."
