"Future Update in this time range already exists. Select a different range to add a new Future Update.","Future Update in this time range already exists. Select a different range to add a new Future Update."
"Smth went to exception","Smth gikk til unntak"
"ID","ID"
"Rule","Regel"
"Priority","Prioritet"
"Web Site","Webområde"
"Action","Handling"
"Edit","Redigere"
"Scheduled Changes","Planlagte endringer"
"Name","Navn"
"Description","Beskrivelse"
"Update Information","Oppdater informasjon"
"Remove Catalog Price Rule from Update","Fjern regel for katalogpris fra oppdatering"
"Schedule Update","Planlegg oppdatering"
"Update Name","Oppdater navn"
"Start Date","Startdato"
"End Date","Sluttdato"
"Rule Information","Regel-informasjon"
"Rule Name","Regelnavn"
"Status","Status"
"Active","Aktiv"
"Inactive","Inactive"
"Websites","Nettsider"
"Customer Groups","Kundegrupper"
"Conditions","Betingelser"
"Actions","Handlinger"
"Apply","Anvend"
"Discount Amount","Rabattbeløp"
"Discard subsequent rules","Discard subsequent rules"
"Yes","Ja"
"No","Nei"
"Save as a New Update","Lagre som en ny oppdatering"
"Move to Another Update","Flytte til en annen oppdatering"
"Delete the Update","Slett oppdateringen"
"The catalog price rule will be removed from the update and all scheduled changes will be lost.","The catalog price rule will be removed from the update and all scheduled changes will be lost."
"200","200"
"100","100"
"50","50"
"30","30"
"20","20"
"Start Time","Starttid"
"End Time","Sluttidspunkt"
"Catalog Price Rules","Catalog Price Rules"
"Remove Catalog Price Rule from Campaign","Remove Catalog Price Rule from Campaign"
"Future Update End Time cannot be equal or earlier than Start Time.","Future Update End Time cannot be equal or earlier than Start Time."
"Move to Another Campaign","Move to Another Campaign"
"Deleting the update will remove the catalog price rule from this campaign and all scheduled changes will be lost.","Deleting the update will remove the catalog price rule from this campaign and all scheduled changes will be lost."
"Future Update already exists in this time range. Set a different range and try again.","Future Update already exists in this time range. Set a different range and try again."
