"Future Update already exists in this time range. Set a different range and try again.","Future Update already exists in this time range. Set a different range and try again."
"Smth went to exception","Smth udał do wyjątków"
"ID","Identyfikator"
"Rule","Reguła"
"Priority","Priorytet"
"Web Site","Witryna"
"Action","Operacja"
"Edit","Edytuj"
"Scheduled Changes","Planowane zmiany"
"Name","Nazwa"
"Description","Opis"
"Update Information","Informacje o aktualizacji"
"Remove Catalog Price Rule from Update","Usunąć regułę katalogu cen z aktualizacji"
"Schedule Update","Harmonogram aktualizacji"
"Update Name","Zaktualizowana nazwa"
"Start Date","Data rozpoczęcia"
"End Date","Data zakończenia"
"Rule Information","Informacje o regule"
"Rule Name","Nazwa reguły"
"Active","Aktywny"
"Websites","Witryny"
"Customer Groups","Grupy klientów"
"Conditions","Warunki"
"Actions","Operacje"
"Apply","Zastosuj"
"Discount Amount","Zniżka"
"Discard subsequent rules","Odrzuć kolejne reguły"
"Yes","Tak"
"No","Nie"
"Save as a New Update","Zapisz jako nową aktualizację"
"Move to Another Update","Przenieść do innej aktualizacji"
"Delete the Update","Usuń aktualizację"
"The catalog price rule will be removed from the update and all scheduled changes will be lost.","Reguła cen koszyka zostanie usunięta z aktualizacji, a wszystkie zaplanowane zmiany zostaną utracone."
"200","200"
"100","100"
"50","50"
"30","30"
"20","20"
"Start Time","Czas rozpoczęcia"
"End Time","Czas zakończenia"
"Catalog Price Rules","Reguły cenowe katalogu"
"Remove Catalog Price Rule from Campaign","Usuń regułę ceny z kampanii"
