"catalog_rule","catalog_rule"
"Magento\CatalogRule\Api\Data\RuleInterface","Magento\CatalogRule\Api\Data\RuleInterface"
"Future Update in this time range already exists. Select a different range to add a new Future Update.","Atualização Futura já existe no limite de tempo escolhido. Selecione um limite diferente para adicionar uma nova Atualização Futura."
"Future Update End Time cannot be equal or earlier than Start Time.","O horário final da atualização futura não deve ser igual ou anterior a hora de inicio."
"Smth went to exception","Algo foi para a exceção"
"ID","ID"
"Rule","Regra"
"Priority","Prioridade"
"Web Site","Website"
"Action","Ação"
"Edit","Editar"
"Scheduled Changes","Mudanças Agendadas"
"Name","Nome"
"Description","Descrição"
"Update Information","Atualizar informações"
"Remove Catalog Price Rule from Update","Remover a regra de preço de catálogo da atualização"
"Schedule Update","Agendar Atualização"
"Update Name","Atualizar Nome"
"Start Date","Data de Início"
"End Date","Data de Término"
"Rule Information","Informações da Regra"
"Rule Name","Nome da regra"
"Status","Situação"
"Active","Ativo"
"Inactive","Inativo"
"Websites","Websites"
"Customer Groups","Grupos de Cliente"
"Conditions","Condições"
"Actions","Ações"
"Apply","Aplicar"
"Discount Amount","Quantidade do Desconto"
"Discard subsequent rules","Descartar as regras subseqüentes"
"Yes","Sim"
"No","Não"
"Save as a New Update","Salvar como uma Nova Atualização"
"Move to Another Update","Mover para outra atualização"
"Delete the Update","Excluir a atualização"
"The catalog price rule will be removed from the update and all scheduled changes will be lost.","A regra de preço de catálogo será removida da atualização e todas as alterações programadas serão perdidas."
"200","200"
"100","100"
"50","50"
"30","30"
"20","20"
"Start Time","Hora de Início"
"End Time","Horário Final"
"Catalog Price Rules","Regras de Preço de Catálogo"
"Remove Catalog Price Rule from Campaign","Remover a regra de preço de catálogo da campanha"
