"Home","Startseite"
"Go to Home Page","Zur Startseite"
"Catalog Advanced Search","Erweiterte Katalogsuche"
"All","Alle"
"Yes","Ja"
"No","Nein"
"Results","Ergebnisse"
"Advanced Search Results","Erweiterte Suchergebnisse"
"Grid","Liste"
"List","Liste"
"Search Weight","Gewichtung in Suche"
"Relevance","Relevanz"
"Search results for: '%1'","Suchergebnisse für ""%1"""
"Minimum Search query length is %1","Die minimale Länge der Suchbegriffe ist %1 Zeichen"
"Search term is empty","Search term is empty"
"Please specify at least one search term.","Please specify at least one search term."
"%1 and greater","%1 und mehr"
"up to %1","bis zu %1"
". "" which is inconsistent with state of scope resolver""",". "" which is inconsistent with state of scope resolver"""
"Category","Kategorie"
"%1 and above","%1 und mehr"
"%1 - %2","%1 – %2"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"Bucket does not exist","Bucket does not exist"
"Product","Produkt"
"Search Settings","Sucheinstellungen"
"Search","Suche"
"Advanced Search","Erweiterte Suche"
"<strong>%1 item</strong> were found using the following search criteria","Es wurden <strong>%1 Artikel</strong> gefunden, die den folgenden Suchkriterien entsprechen"
"<strong>%1 items</strong> were found using the following search criteria","Es wurden <strong>%1 Artikel</strong> für die folgenden Suchbegriffe gefunden"
"We can't find any items matching these search criteria.","Es konnten keine Artikel gefunden werden, die Ihren Suchkriterien entsprechen."
"Modify your search.","Ändern Sie Ihre Suche."
"name","Bezeichnung"
"Don't see what you're looking for?","Nicht gefunden, wonach Sie suchen?"
"Your search returned no results.","Ihre Suche ergab keine Treffer."
"Catalog Section","Catalog Section"
"Catalog Search","Katalogsuche"
"Popular Search Terms","Beliebte Suchbegriffe"
"Minimal Query Length","Minimale Suchbegriff-Länge"
"Maximum Query Length","Maximale Suchbegriff-Länge"
"Number of top search results to cache","Number of top search results to cache"
"Rebuild Catalog product fulltext search index","Index der Katalog Volltextsuche neu erstellen"
"Bucket do not exists","Bucket do not exists"
"Modify your search","Modify your search"
"Test Exception","Test Exception"
"Please enter a valid price range.","Bitte geben Sie einen gültigen Preisbereich an."
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time."
"Enable EAV Indexer","Enable EAV Indexer"
"Enter a search term and try again.","Enter a search term and try again."
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"The bucket doesn't exist.","The bucket doesn't exist."
"Deprecation Notice","Deprecation Notice"
"Autocomplete Limit","Autocomplete Limit"
