"Home","דף הבית"
"Go to Home Page","מעבר לעמוד הבית"
"Catalog Advanced Search","חיפוש מתקדם בקטלוג"
"All","הכל"
"Yes","כן"
"No","לא"
"Results","תוצאות"
"Advanced Search Results","תוצאות חיפוש מתקדמות"
"Grid","גריד תצוגה"
"List","רשימה"
"Search Weight","חיפוש משקל"
"Relevance","רלוונטיות"
"Search results for: '%1'","תוצאות חיפוש עבור: '%1'"
"Minimum Search query length is %1","אורך מינימלי של שאילתת חיפוש הינו %1"
"Search term is empty","Search term is empty"
"Enter a search term and try again.","Enter a search term and try again."
"%1 and greater","%1 ויותר"
"up to %1","עד %1"
"Default product collection strategy not found","Default product collection strategy not found"
"Category","קטגוריה"
"%1 and above","%1 ומעלה"
"%1 - %2","%1 - %2"
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"The bucket doesn't exist.","The bucket doesn't exist."
"Product","מוצר"
"Disable Notice","Disable Notice"
"Test Exception","Test Exception"
"Search Settings","הגדרות חיפוש"
"Search","חפש"
"Please enter a valid price range.","Please enter a valid price range."
"Advanced Search","חיפוש מתקדם"
"<strong>%1 item</strong> were found using the following search criteria","<strong>פריט %1</strong> נמצא באמצעות קריטריוני החיפוש הבאים"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 פריטים</strong> נמצאו באמצעות קריטריוני החיפוש הבאים"
"We can't find any items matching these search criteria.","איננו מסוגלים למצוא פריטים התואמים לקריטריוני חיפוש אלה."
"Modify your search.","התאם את החיפוש שלך."
"name","שם"
"Don't see what you're looking for?","לא רואה את מה שאתה מחפש?"
"Your search returned no results.","אין תוצאות לשאילתת חיפוש שלך."
"Catalog Section","Catalog Section"
"Catalog Search","חיפוש בקטלוג"
"Popular Search Terms","מונחי חיפוש פופולריים"
"Minimal Query Length","אורך שאילתה מינימלי"
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact."
"Maximum Query Length","אורך שאילתה מקסימלי"
"This value must be compatible with the corresponding setting in the configured search engine.","This value must be compatible with the corresponding setting in the configured search engine."
"Number of top search results to cache","Number of top search results to cache"
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time."
"Autocomplete Limit","Autocomplete Limit"
"Enable EAV Indexer","Enable EAV Indexer"
"Rebuild Catalog product fulltext search index","לבנות מחדש אינדקס מוצרי קטלוג בחיפוש"
