"Home","홈 "
"Go to Home Page","홈페이지 가기 "
"Catalog Advanced Search","카탈로그 고급 검색"
"All","모두"
"Yes","네"
"No","아니오"
"Results","결과"
"Advanced Search Results","Advanced Search Results"
"Grid","그리드"
"List","리스트"
"Search Weight","중량 검색"
"Relevance","연관성"
"Search results for: '%1'","다음의 검색결과: %1"
"Minimum Search query length is %1","최소 검색길이는 %1 입니다."
"Please specify at least one search term.","최소 하나 이상의 검색어를 지정해 주십시오."
"%1 and greater","%1 이상"
"up to %1","최대 %1"
". "" which is inconsistent with state of scope resolver""",". "" which is inconsistent with state of scope resolver"""
"Category","카테고리"
"%1 and above","%1 이상"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","죄송합니다, 문제가 발생했습니다. 에러 로그에서 자세한 사항을 확인하십시오."
"Bucket does not exist","Bucket does not exist"
"Product","상품"
"Search Settings","검색 설정"
"Search","검색"
"Advanced Search","고급 검색"
"<strong>%1 item</strong> were found using the following search criteria","다음 검색 기준을 사용 하여 <strong>
 %1 개</strong>
 의 항목을 찾았습니다."
"<strong>%1 items</strong> were found using the following search criteria","다음 검색 기준을 사용 하여 <strong>
 %1 개</strong>
 의 항목을 찾았습니다."
"We can't find any items matching these search criteria.","We can't find any items matching these search criteria."
"Modify your search.","Modify your search."
"name","이름"
"Don't see what you're looking for?","찾으시는 상품이 아닙니까?"
"Your search returned no results.","검색결과가 없습니다."
"Popular Search Terms","인기있는 검색어"
"Catalog Search","상품 검색"
"Minimal Query Length","최소 검색어"
"Maximum Query Length","최대 검색어"
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index"
"Please enter a valid price range.","Please enter a valid price range."
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact."
"This value must be compatible with the corresponding setting in the configured search engine.","This value must be compatible with the corresponding setting in the configured search engine."
