"The ProductSku is empty. Set the ProductSku and try again.","The ProductSku is empty. Set the ProductSku and try again."
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Enabled","Aktiveret"
"Disabled","Slået fra"
"Future Update already exists in this time range. Set a different range and try again.","Future Update already exists in this time range. Set a different range and try again."
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
"The image cannot be removed as it has been assigned to the other image role","Billedet kan ikke fjernes, da det er blevet tildelt til andre billede"
"Could not save Prices.","Kunne ikke gemme priser."
"Invalid attribute %fieldName = %fieldValue.","Ugyldig attribut %fieldName = %fieldValue."
"The requested price is not found.","The requested price is not found."
"Could not delete Prices","Kunne ikke slette priser"
"Update %1 from %2 to %3.","Update %1 from %2 to %3."
"Problem with creating product update.","Problem with creating product update."
"%1 should implement %2","%1 should implement %2"
"Design","Design"
"View/Edit","Vis/Rediger"
"Delete","Slet"
"Preview","Forhåndsvisning"
"Set Product as New","Set Product as New"
"Store View:","Butiksvisning:"
"Stores Configuration","Butikskonfiguration"
"Scheduled Changes","Planlagte ændringer"
"Name","Navn"
"Description","Beskrivelse"
"Action","Handling"
"Update Information","Opdatere oplysninger"
"Schedule Update","Planlægge opdatering"
"Update Name","Opdatere navn"
"Start Date","Start dato"
"End Date","Slutdato"
"Enable Category","Aktivere kategori"
"Include in Menu","Inkluderer i menuen"
"Category Name","Kategorinavn"
"Content","Indhold"
"Category Image","Kategoribillede"
"Add CMS Block","Tilføj CMS blok"
"Display Settings","Display Settings"
"Anchor","Fastgør"
"Sort Products By","Sortér produkter efter"
"Use All","Brug alle"
"Default Product Sorting","Default Product Sorting"
"Use Config Settings","Brug Konfigurationsindstillinger"
"Layered Navigation Price Step","Lagdelt navigation pris trin"
"Search Engine Optimization","Søgemaskine Optimering"
"URL Key","URL Key"
"Meta Title","Metatitel"
"Meta Keywords","Metanøgleord"
"Meta Description","Metabeskrivelse"
"Use Parent Category Settings","Use Parent Category Settings"
"New Theme","Nyt tema"
"Layout","Layout"
"Layout Update XML","XML Layoutopdatering"
"Custom Layout Update","Custom Layout Update"
"Apply Design to Products","Apply Design to Products"
"Save as a New Update","Gem som en ny opdatering"
"Move to Another Update","Flytte til en anden opdatering"
"Delete the Update","Slet opdateringen"
"The category will be removed from the update and all scheduled changes will be lost.","The category will be removed from the update and all scheduled changes will be lost."
"200","200"
"100","100"
"50","50"
"30","30"
"20","20"
"Start Time","Starttidspunkt"
"End Time","Sluttid"
"ID","ID"
"Thumbnail","Miniaturebillede"
"Attribute Set","Attributssæt"
"AttributeSetText","AttributeSetText"
"Status","Status"
"StatusText","StatusTekst"
"Type","Type"
"SKU","Varenummer"
"Price","Pris"
"Remove Product from Update","Remove Product from Update"
"Images","Billeder"
"The product will be removed from the update and all scheduled changes will be lost.","The product will be removed from the update and all scheduled changes will be lost."
"Currently Active","Currently Active"
"Products","Produkter"
"Categories","Kategorier"
"Path","Sti"
"Quantity","Antal"
"Visibility","Visibilitet"
"Websites","Hjemmesider"
