"ProductSku should be specified","ProductSku should be specified"
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"Enabled","Įjungta"
"Disabled","Disabled"
"Future Update in this time range already exists. Select a different range to add a new Future Update.","Future Update in this time range already exists. Select a different range to add a new Future Update."
"Unable to save product","Unable to save product"
"The image cannot be removed as it has been assigned to the other image role","The image cannot be removed as it has been assigned to the other image role"
"Could not save Prices.","Could not save Prices."
"Invalid attribute %fieldName = %fieldValue.","Invalid attribute %fieldName = %fieldValue."
"The requested price is not found.","The requested price is not found."
"Could not delete Prices","Could not delete Prices"
"Update %1 from %2 to %3.","Update %1 from %2 to %3."
"Design","Design"
"View/Edit","View/Edit"
"Delete","Ištrinti"
"Preview","Peržiūra"
"Set Product as New","Set Product as New"
"Store View:","Store View:"
"Stores Configuration","Stores Configuration"
"Scheduled Changes","Scheduled Changes"
"Name","Vardas"
"Description","Aprašymas"
"Action","Veiksmas"
"Update Information","Update Information"
"Schedule Update","Schedule Update"
"Update Name","Update Name"
"Start Date","Pradžios data"
"End Date","Pabaigos data"
"Enable Category","Enable Category"
"Include in Menu","Include in Menu"
"Category Name","Category Name"
"Content","Turinys"
"Category Image","Category Image"
"Add CMS Block","Add CMS Block"
"Display Settings","Display Settings"
"Anchor","Anchor"
"Sort Products By","Sort Products By"
"Use All","Use All"
"Default Product Sorting","Default Product Sorting"
"Use Config Settings","Use Config Settings"
"Layered Navigation Price Step","Layered Navigation Price Step"
"Search Engine Optimization","Search Engine Optimization"
"Meta Title","Meta Title"
"Meta Keywords","Meta Raktažodžiai"
"Meta Description","Meta Description"
"Use Parent Category Settings","Use Parent Category Settings"
"New Theme","New Theme"
"Layout","Layout"
"Layout Update XML","Layout Update XML"
"Apply Design to Products","Apply Design to Products"
"Save as a New Update","Save as a New Update"
"Move to Another Update","Move to Another Update"
"Delete the Update","Delete the Update"
"The category will be removed from the update and all scheduled changes will be lost.","The category will be removed from the update and all scheduled changes will be lost."
"200","200"
"100","100"
"50","50"
"30","30"
"20","20"
"Start Time","Start Time"
"End Time","End Time"
"ID","ID"
"Thumbnail","Miniatiūra"
"Attribute Set","Attribute Set"
"AttributeSetText","AttributeSetText"
"Status","Būsena"
"StatusText","StatusText"
"Type","Tipas"
"SKU","Prekės kodas"
"Price","Kaina"
"Remove Product from Update","Remove Product from Update"
"Images","Images"
"The product will be removed from the update and all scheduled changes will be lost.","The product will be removed from the update and all scheduled changes will be lost."
"Currently Active","Currently Active"
"Products","Prekės"
"Categories","Kategorijos"
"Path","Path"
"Quantity","Kiekis"
"Visibility","Matomumas"
"Websites","Websites"
"Remove Category from Campaign","Remove Category from Campaign"
"General Information","General Information"
"Move to Another Campaign","Move to Another Campaign"
"Deleting the update will remove the page from this campaign and all scheduled changes will be lost.","Deleting the update will remove the page from this campaign and all scheduled changes will be lost."
"Remove Product from Campaign","Remove Product from Campaign"
"Deleting the update will remove the product from this campaign and all scheduled changes will be lost.","Deleting the update will remove the product from this campaign and all scheduled changes will be lost."
"Problem with creating product update.","Problem with creating product update."
"The ProductSku is empty. Set the ProductSku and try again.","The ProductSku is empty. Set the ProductSku and try again."
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Future Update already exists in this time range. Set a different range and try again.","Future Update already exists in this time range. Set a different range and try again."
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
