"Create Permanent Redirect for old URL","Créer des redirections permanentes pour les anciennes URLs."
"URL key for specified store already exists.","La clé URL pour le magasin spécifié existe déjà."
"Can not change the visibility of the product with SKU equals ""%1"". URL key ""%2"" for specified store already exists.","Impossible de modifier la visibilité du produit SKU égale à ""%1"". La clé URL ""%2"" car la boutique spécifiée existe déjà."
"Invalid URL key. The ""%1"" URL key can not be used to generate Latin URL key. Please use Latin letters and numbers to avoid generating URL key issues.","Clé d'URL invalide. La clé URL ""%1"" ne peut pas être utilisée pour générer une clé d'URL latine. Veuillez utiliser des lettres et des chiffres latins pour éviter de générer des problèmes de clés d'URL."
"Invalid URL key. The ""%1"" category name can not be used to generate Latin URL key. Please add URL key or change category name using Latin letters and numbers to avoid generating URL key issues.","Clé d'URL non valide. Le nom de la catégorie ""%1"" ne peut pas être utilisé pour générer une clé d'URL latine. Veuillez ajouter une clé URL ou changer le nom de la catégorie en utilisant des lettres et des chiffres latins pour éviter de générer des problèmes de clés d'URL."
"Invalid URL key","Clé d'adresse non valide"
"Category URL Suffix","Suffixe d'URL des catégories"
"You need to refresh the cache.","Vous devez rafraîchir le cache."
"Product URL Suffix","Suffixe d'URL de produit"
"Use Categories Path for Product URLs","Utiliser le chemin des catégories pour l'URL des produits"
"Create Permanent Redirect for URLs if URL Key Changed","Créer une redirection permanente pour les URLs si la clé d'URL change"
"Generate ""category/product"" URL Rewrites","Générer des réécritures d'URL ""catégorie/produit"""
"<strong class=""colorRed"">Warning!</strong> Turning this option off will result in permanent removal of category/product URL rewrites without an ability to restore them.","<strong class=""colorRed"">Attention !</strong> Désactiver cette option entraînera la suppression permanente des réécritures d'URL catégorie/produit sans possibilité de les restaurer."
