"Conditions Combination","Kombinace podmínek"
"Product Attribute","Atribut produktu"
"SKU","Kód"
"Please choose a condition to add.","Zvolte podmínku prosím."
"Add to Cart","Přidat do košíku"
"In stock","Skladem"
"Out of stock","Není skladem"
"Add to Wish List","Přidat k oblíbeným"
"Add to Compare","Přidat k porovnání"
"Catalog Products List","Seznam produktů"
"List of Products","Seznam produktů"
"Title","Název"
"Display Page Control","Nastavení zobrazení stránky"
"Number of Products per Page","Počet produktů na stránce"
"Number of Products to Display","Počet produktů k zobrazení"
"Template","Šablona"
"Products Grid Template","Mřížka produktů"
"Cache Lifetime (Seconds)","Životnost mezipaměti (vteřiny)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Conditions","Podmínky"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
