"Conditions Combination","Bedingungs-Kombination"
"Product Attribute","Artikelattribut"
"SKU","Artikelnummer"
"Please choose a condition to add.","Please choose a condition to add."
"Add to Cart","In den Warenkorb"
"In stock","Auf Lager"
"Out of stock","Nicht lieferbar"
"Add to Wish List","Zur Wunschliste hinzufügen"
"Add to Compare","Zur Vergleichsliste hinzufügen"
"Catalog Products List","Catalog Products List"
"List of Products","Liste der Produkte"
"Title","Titel"
"Display Page Control","Anzahl der Artikel die angezeigt werden sollen"
"Number of Products per Page","Anzahl Produkte pro Seite"
"Number of Products to Display","Anzahl der Produkte zum Anzeigen"
"Template","Vorlage"
"Products Grid Template","Produkt-Raster Vorlage"
"Cache Lifetime (Seconds)","Cache-Lebensdauer (in Sekunden)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 wenn nichts anderes festgelegt. Um sofort zu aktualisieren, löschen Sie bitte den Block-HTML-Ausgabe-Cache."
"Conditions","Bedingungen"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
Zeit in Sekunden zwischen den Widget-Updates.
<br/>Entspricht 86400 Sekunden (24 Stunden), wenn nicht gesetzt. Um das Widget sofort zu aktualisieren, gehen Sie zum Cache-Management und löschen Sie den HTML-Output-Cache.
<br/>Das Widget zeigt keine Produkte an, die den angegebenen Bedingungen entsprechen, bis der Cache aktualisiert wird.                "
