"Conditions Combination","Voorwaardencombinatie"
"Product Attribute","Product-attribuut"
"SKU","Art.nr."
"Please choose a condition to add.","Kies een voorwaarde om toe te voegen."
"Add to Cart","In Winkelwagen"
"In stock","Op voorraad"
"Out of stock","Niet op voorraad"
"Add to Wish List","Voeg toe aan verlanglijst"
"Add to Compare","Toevoegen om te vergelijken"
"Catalog Products List","Catalogus Producten lijst"
"List of Products","Lijst van producten"
"Title","Titel"
"Display Page Control","Toon paginering"
"Number of Products per Page","Aantal producten per pagina"
"Number of Products to Display","Aantal producten op de display"
"Template","Sjabloon"
"Products Grid Template","Producten raster sjabloon"
"Cache Lifetime (Seconds)","Cache Lifetime (in seconden)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 als standaardwaarde, indien niet ingesteld. Voor direct vernieuwen, leeg de Blok-HTML output cache."
"Conditions","Voorwaarden"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Tijd in seconden tussen de widget updates.
                    <br/>Indien niet ingesteld, is gelijk aan 86400 seconden (24 uur). Om de widget direct te updaten, ga naar Cache beheer en heldere blokken HTML Output cache.
                    <br/>Widget zal geen producten tonen die overeenkomen met de opgegeven voorwaarden totdat de cache is vernieuwd.
                "
