"Conditions Combination","Kombinacja warunków"
"Product Attribute","Cecha produktu"
"SKU","SKU"
"Please choose a condition to add.","Wybierz warunek do dodania."
"Add to Cart","Dodaj do koszyka"
"In stock","W magazynie"
"Out of stock","Brak w magazynie"
"Add to Wish List","Dodaj do listy życzeń"
"Add to Compare","Porównaj"
"Catalog Products List","Lista produktów"
"List of Products","Lista produktów"
"Title","Tytuł"
"Display Page Control","Pokazuj nawigację stron"
"Number of Products per Page","Ilość produktów na stronie"
"Number of Products to Display","Ilość produktów do pokazania"
"Template","Szablon"
"Products Grid Template","Szablon Siatek Produktów"
"Cache Lifetime (Seconds)","Czas ważności cache (sekundy)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Conditions","Warunki"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
