"Conditions Combination","Conditions Combination"
"Product Attribute","Product Attribute"
"SKU","รหัสสินค้า"
"Please choose a condition to add.","Please choose a condition to add."
"Add to Cart","เพิ่มในตะกร้าสินค้า"
"In stock","มีสินค้า"
"Out of stock","สินค้าหมด"
"Add to Wish List","เพิ่มลงใน รายการสิ่งที่ชอบ"
"Add to Compare","เพิ่มลงในการเปรียบเทียบ"
"Catalog Products List","Catalog Products List"
"List of Products","List of Products"
"Title","Title"
"Display Page Control","Display Page Control"
"Number of Products per Page","Number of Products per Page"
"Number of Products to Display","Number of Products to Display"
"Template","Template"
"Products Grid Template","Products Grid Template"
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Conditions","Conditions"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
