"Shopping Cart","Ostoskori"
"Invalid method: %1","Epäkelpo menetelmä: %1"
"City","Paikkakunta"
"Country","Maa"
"State/Province","Osavaltio/provinssi"
"Zip/Postal Code","Postinumero"
"My Cart (1 item)","Ostoskori (1 kohde)"
"My Cart (%1 items)","Ostoskori (%1 kohdetta)"
"My Cart","Ostoskori"
"For delivery questions.","Toimituskysymyksille."
"Customer is already registered","Asiakas on jo rekisteröity"
"Your session has expired","Istuntosi on vanhentunut"
"A letter with further instructions will be sent to your email.","Viesti tarkempine ohjeineen lähetetään sähköpostiisi."
"You added %1 to your shopping cart.","Lisäsit %1 ostoskoriisi."
"We can't add this item to your shopping cart right now.","Emme voi lisätä tätä tuotetta ostoskoriisi juuri nyt."
"Out of stock","Ei varastossa"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","Tuotetta ei voida määrittää."
"You used coupon code ""%1"".","Käytit kuponkia ""%1""."
"The coupon code ""%1"" is not valid.","Alennuskoodi ""%1"" ei ole kelvollinen."
"You canceled the coupon code.","Peruutit alennuskoodin."
"We cannot apply the coupon code.","Alennuskoodia ei voitu soveltaa."
"We can't remove the item.","Emme voi poistaa tuotetta."
"%1 was updated in your shopping cart.","%1 päivitettiin ostoskorissa."
"We can't update the item right now.","Tuotetta ei voida päivittää juuri nyt."
"We can't update the shopping cart.","Ostoskoria ei voida päivittää."
"One-page checkout is turned off.","Yhden sivun kassa on poistettu käytöstä."
"Guest checkout is disabled.","Vieraana tilaaminen on poistettu käytöstä."
"Checkout","Kassa"
"Page not found.","Sivua ei löydy."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Something went wrong while processing your order. Please try again later.","Jokin meni vikaan tilauksen käsittelyssä. Yritä myöhemmin uudelleen."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Maksutapa"
"Payment Page","Maksusivu"
"We can't find the product.","We can't find the product."
"We found an invalid request for adding product to quote.","Löysimme virheellisen pyynnön lisätä tuote tarjoukseen."
"The product does not exist.","Tuotetta ei ole olemassa."
"We don't have some of the products you want.","Meillä ei ole joitakin haluamistasi tuotteista."
"We don't have as many of some products as you want.","Meillä ei ole niin montaa kappaletta joitakin tuotteita kuin haluat."
"Quantity was recalculated from %1 to %2","Määrää laskettiin %1 -> %2"
"We adjusted product quantities to fit the required increments.","Säädimme tuotemäärät vaatimukset täyttäviksi."
"This quote item does not exist.","Tarjouskohdetta ei ole."
"Display number of items in cart","Ostoskorissa näytettävien tuotteiden määrä"
"Display item quantities","Näytä nimikkeiden määrät"
"An error occurred on the server. Please try to place the order again.","Virhe palvelimella. Olkaa hyvä ja yrittäkää tilata uudelleen."
"Shipping address is not set","Shipping address is not set"
"Unable to save shipping information. Please check input data.","Unable to save shipping information. Please check input data."
"Carrier with such method not found: %1, %2","Toimittajaa tällä metodilla ei löytynyt: %1, %2"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
" item"," nimike"
" items"," tuotetta"
"Totals calculation is not applicable to empty cart","Yhteenlasku ei koske tyhjää ostoskoria"
"Invalid data","Virheellinen tieto"
"The customer address is not valid.","Asiakkaan osoite on virheellinen."
"Invalid shipping method","Virheellinen toimitustapa"
"There are more than one shipping addresses.","Käytössä on useampi kuin yksi toimitusosoite."
"Sorry, guest checkout is not available.","Pahoittelut, mutta ostot ilman sisäänkirjautumista eivät ole saatavilla."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Sinulle on lähetetty sähköpostilla linkki, jolla voit vahvista tilisi tai <a href=""%1"">klikkaa tästä</a> tilataksesi uuden linkin."
"Load customer quote error","Asiakkaan tarjouksen latausvirhe"
"Error message!","Error message!"
"Error!","Virhe!"
"DB exception","Tietokantavirhe"
"Message","Viesti"
"Print receipt","Tulosta kuitti"
"Apply Discount Code","Käytä alennuskoodi"
"Enter discount code","Syötä alennuskoodi"
"Apply Discount","Ota alennus käyttöön"
"Cancel Coupon","Peruuta kuponki"
"Shopping Cart Items","Ostoskorin tuotteet"
"Item","Tuote"
"Price","Hinta"
"Qty","Määrä"
"Subtotal","Välisumma"
"Continue Shopping","Jatka ostoksia"
"Clear Shopping Cart","Tyhjennä ostoskori"
"Update Shopping Cart","Päivitä ostoskori"
"Update Cart","Päivitä ostoskori"
"See price before order confirmation.","Katso hinta ennen tilauksen vahvistusta."
"What's this?","Mikä tämä on?"
"Edit item parameters","Muokkaa tuotteen parametreja"
"Edit","Muokkaa"
"Remove item","Poista kohde"
"You have no items in your shopping cart.","Sinulla ei ole tuotteita ostoskorissasi."
"Click <a href=""%1"">here</a> to continue shopping.","Klikkaa <a href=""%1""> tästä</a> jatkaaksesi ostoksia."
"Estimate Tax","Arvioi vero"
"Estimate Shipping and Tax","Arvioi toimituskulut ja vero"
"Excl. Tax","Veroton"
"Loading...","Ladataan..."
"Order #","Tilausnumero"
"Proceed to Checkout","Siirry kassalle"
"Product Name","Tuotenimi"
"Incl. Tax","Verollinen"
"Your order number is: %1.","Tilausnumerosi on: %1."
"Your order # is: <span>%1</span>.","Sinun tilauksesi # on: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Lähetämme sinulle tilausvahvistuksen ja seurantatiedot tilauksessa käytettyyn sähköpostiosoitteeseen."
"Payment Transaction Failed Reminder","Maksamisen epäonnistumisen muistutus"
"Payment Transaction Failed","Maksaminen epäonnistui"
"Reason","Syy"
"Checkout Type","Tilaustyyppi"
"Customer:","Asiakas:"
"Items","Tuotteet"
"Total:","Yhteensä:"
"Billing Address:","Laskutusosoite:"
"Shipping Address:","Toimitusosoite:"
"Shipping Method:","Toimitustapa:"
"Payment Method:","Maksutapa:"
"Date & Time:","Päivämäärä & aika:"
"Sign In","Kirjaudu sisään"
"Email Address","Sähköpostiosoite"
"Password","Salasana"
"Forgot Your Password?","Unohditko salasanasi?"
"My billing and shipping address are the same","Laskutus- ja toimitusosoite ovat samat"
"Update","Päivitä"
"Cancel","Peruuta"
"Save in address book","Tallenna osoitekirjaan"
"Estimated Total","Arvioitu loppusumma"
"You can create an account after checkout.","Voit luoda tilin kassan jälkeen."
"You already have an account with us. Sign in or continue as guest.","Sinulla on jo tili. Kirjaudu sisään tai jatkaa vieraana."
"Login","Kirjaudu"
"See Details","Katso lisätietoja"
"Options Details","Vaihtoehdot tiedot"
