"cms_page","cms_page"
"cms_block","cms_block"
"Magento\Cms\Api\Data\BlockInterface","Magento\Cms\Api\Data\BlockInterface"
"Magento\Cms\Api\Data\PageInterface","Magento\Cms\Api\Data\PageInterface"
"This block no longer exists.","Ez a blokk már nem létezik."
"Future Update in this time range already exists. Select a different range to add a new Future Update.","Ebben az időintervallumban már van előre tervezett frissítés. Válasszon másik időintervallumot."
"Error","Hiba"
"Currently Active","Jelenleg aktív"
"New Theme","Új téma"
"-- Please Select --","-- Kérem válasszon --"
"Scheduled Changes","Ütemezett változtatások"
"Name","Név"
"Description","Leírás"
"Action","Akció"
"Update Information","Információk frissítése"
"Schedule Update","Frissítés ütemezése"
"Update Name","Név frissítése"
"Start Date","Kezdő dátum"
"End Date","Záró dátum"
"General Information","Általános információ"
"Enable Block","Blokk engedélyezése"
"Block Title","Blokk címe"
"Identifier","Azonosító"
"Store View","Bolt nézet"
"Save as a New Update","Mentés új frissítésként"
"Move to Another Update","Áthelyezés egy másik frissítésbe"
"Delete the Update","Frissítés törlése"
"The block will be removed from the update and all scheduled changes will be lost.","A blokk el lesz távolítva a frissítésből, és minden beütemezett változtatás el fog veszni."
"200","200"
"100","100"
"50","50"
"30","30"
"20","20"
"Start Time","Kezdés ideje"
"End Time","Befejezési idő"
"Remove CMS page from Update","CMS oldal eltávolítása a frissítésből"
"Enable Page","Oldal engedélyezése"
"Page Title","Oldalcím"
"Content","Tartalom"
"Content Heading","Tartalom fejléc"
"Search Engine Optimisation","Kereső motor optimalizáció"
"URL Key","URL-kulcs"
"Meta Keywords","Meta kulcsszavak"
"Meta Description","Meta leírás"
"Page in Websites","Oldal a Weboldalakon"
"Design","Dizájn"
"Layout","Elrendezés"
"Layout Update XML","Elrendezés frissítés XML"
"The page will be removed from the update and all scheduled changes will be lost.","Az oldal el lesz távolítva a frissítésből, és minden beütemezett változtatás el fog veszni."
"CMS Pages","CMS oldalak"
"CMS Blocks","CMS blokkok"
"ID","Azonosító"
"Title","Cím"
"Status","Állapot"
