"Delete Customer","Remover Cliente"
"Back","Voltar"
"Delete Company","Excluir Empresa"
"Reset","Reiniciar"
"Save","Salvar"
"Save & Close","Salvar e Fechar"
"Companies","Empresas"
"Add New Company","Adicionar Nova Empresa"
"(me)","(mim)"
"Company Name:","Nome da Empresa:"
"Company Legal Name:","Razão Social:"
"Company Email:","E-mail da Empresa:"
"VAT/TAX ID:","CPF/CNPJ:"
"Re-seller ID:","ID da Revenda:"
"Street Address:","Endereço:"
"City:","Cidade:"
"Country:","País:"
"State/Province:","Estado/Cidade:"
"ZIP/Postal Code:","CEP/Código Postal:"
"Phone Number:","Número do Telefone:"
"Job Title:","Cargo:"
"Email Address:","Endereço de e-mail:"
"Prefix:","Prefixo:"
"First Name:","Nome:"
"Middle Name/Initial:","Nome do Meio/Inicial:"
"Last Name:","Sobrenome:"
"Suffix:","Sufixo:"
"Gender:","Sexo:"
"Duplicated","Duplicado"
"Company Structure","Organograma"
"Page not found.","Página não encontrada."
"Something went wrong.","Algo deu errado."
"New Company","Nova Empresa"
"Thank you! We're reviewing your request and will contact you soon","Obrigado! Estamos revisando a sua solicitação e logo entraremos em contato"
"An error occurred on the server. Your changes have not been saved.","Um erro ocorreu no servidor. Sua modificações não foram salvas."
"Incorrect CAPTCHA","Código de Captcha incorreto"
"Create New Company","Criar Nova Empresa"
"A total of %1 record(s) were updated.","Um total de %1 registro(s) foi(ram) atualizado(s)."
"Something went wrong. Please try again later.","Algo deu errado. Por favor tente novamente mais tarde."
"Invalid value of ""%value"" provided for the email field.","O valor de ""%value"" informado para o e-mail é inválido."
"Invalid value ""%value"" given for the website ID field.","O valor ""%value"" informado é inválido para o campo ID do site."
"You have deleted company %companyName.","Você removeu a empresa %companyName."
"The company no longer exists.","A empresa não existe mais."
"The requested company is not found","A empresa solicitada não foi encontrada"
"Please correct the data sent.","Por favor corrija os dados enviados."
"can not be saved","não pode ser salvo(a)"
"A total of %1 record(s) were deleted.","Um total de %1 registro(s) foi(ram) removido(s)."
"Could not save company","Não foi possível gravar a empresa"
"You have saved company %companyName.","Você gravou a empresa %companyName."
"You have created company %companyName.","Você criou a empresa %companyName."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","Um usuário com este endereço de e-mail já existe no sistema. Se você continuar, o usuário será vinculado para a sua empresa."
"A user with this email address is already a member of your company.","Um usuário com este endereço de e-mail já é membro da sua empresa."
"A user with this email address already exists in the system. Enter a different email address to create this user.","Um usuário com este endereço de e-mail já existe no sistema. Digite um endereço de e-mail diferente para criar este usuário."
"You are not allowed to do this.","Você não tem permissão para fazer isto."
"Cannot create the customer.","Não é possível criar o cliente."
"The customer was successfully created.","O cliente foi criado com sucesso."
"You cannot delete yourself.","Você não pode remover você mesmo."
"Cannot delete this user.","Não é possível excluir este usuário."
"The customer was successfully deleted.","O cliente foi removido com sucesso."
"The customer was successfully updated.","O cliente foi atualizado com sucesso."
"Company Profile","Perfil da Empresa"
"The changes you made on the company profile have been successfully saved.","As alterações feitas no perfil de empresa foram salvas com êxito."
"You must fill in all required fields before you can continue.","Você tem que preencher todos os campos obrigatórios antes de continuar."
"Bad Request","Requisição ruim"
"You have deleted role %companyRoleName.","Você removeu a função %companyRoleName."
"Add New Role","Adicionar Nova Função"
"Edit Role","Editar Função"
"Roles and Permissions","Funções e Permissões"
"The tree retrieved successfully.","A árvore foi obtida com sucesso."
"The item was successfully moved.","O item foi removido com sucesso."
"The team was successfully deleted.","O time foi removido com sucesso."
"The team was successfully updated.","O time foi atualizado com sucesso."
"The team was successfully created.","O time foi criado com sucesso."
"Company Users","Usuários da empresa"
"A customer with the same email already assigned to company.","Um cliente com o mesmo e-mail já foi atribuído para a empresa."
"Active","Ativo"
"Pending Approval","Aguardando Aprovação"
"Rejected","Rejeitado"
"Blocked","Bloqueado"
"The company admin cannot be moved to a different location in the company structure.","O administrador da empresa não pode ser movido para uma localização diferente na estrutura da empresa."
"A user or a team cannot be moved under itself.","Um usuário ou um time não pode ser movido abaixo dele mesmo."
"A user or a team cannot be moved under its child user or team.","Um usuário ou um time não pode ser movido abaixo do seu usuário filho ou time."
"The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company.","O ID pai especificado pertence para uma empresa diferente. A entidade especificada (time ou usuário) e seu novo pai precisa pertencer à mesma empresa."
"Unable to move customer structure.","Não é possível mover a estrutura do cliente."
"Cannot delete company with id %1","Não é possível remover uma empresa com o id %1"
"No company admin email is specified in request.","Nenhum e-mail do administrador de empresa foi especificado na solicitação."
"No company admin website ID is specified in request.","Nenhum ID de administrador de site da empresa está especificado na solicitação."
"No such entity with id = %idValue","Não há tal entidade com o id = %idValue"
