"Reimburse Balance","ബാലൻസ് റീഇംബേഴ്സ് ചെയ്യുക"
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company is not active.","ഈ ഓർഡർ റദ്ദാക്കണമെന്ന് നിങ്ങൾക്ക് ഉറപ്പാണോ? കമ്പനി സജീവമല്ലാത്തതിനാൽ ഓർഡർ തുക%1 ലേക്ക് പഴയപടിയാക്കില്ല."
"Are you sure you want to cancel this order? The order amount will not be reverted to %1 because the company associated with this customer does not exist.","ഈ ഓർഡർ റദ്ദാക്കണമെന്ന് നിങ്ങൾക്ക് ഉറപ്പാണോ? ഈ ഉപഭോക്താവുമായി ബന്ധപ്പെട്ട കമ്പനി നിലവിലില്ലാത്തതിനാൽ ഓർഡർ തുക %1 ലേക്ക് പഴയപടിയാക്കില്ല."
"Page not found.","പേജ് കണ്ടെത്തിയില്ല."
"Something went wrong. Please try again later.","എന്തോ കുഴപ്പം സംഭവിച്ചു. പിന്നീട് വീണ്ടും ശ്രമിക്കുക."
"History record no longer exists.","History record no longer exists."
"Unable to retrieve currency rates at this moment. Please try again later or contact store administrator.","ഇപ്പോൾ കറൻസി നിരക്കുകൾ വീണ്ടെടുക്കാനായില്ല. പിന്നീട് വീണ്ടും ശ്രമിക്കുക അല്ലെങ്കിൽ സ്റ്റോർ അഡ്മിനിസ്ട്രേറ്ററെ ബന്ധപ്പെടുക."
"A total of %1 record(s) were updated.","മൊത്തം %1 റെക്കോർഡ് (കൾ) അപ്‌ഡേറ്റുചെയ്‌തു."
"Unable to convert company credit. Please try again later or contact store administrator.","കമ്പനി ക്രെഡിറ്റ് പരിവർത്തനം ചെയ്യാൻ കഴിയില്ല. പിന്നീട് വീണ്ടും ശ്രമിക്കുക അല്ലെങ്കിൽ സ്റ്റോർ അഡ്മിനിസ്ട്രേറ്ററെ ബന്ധപ്പെടുക."
"Company Credit","കമ്പനി ക്രെഡിറ്റ്"
"Order Payment should be provided","ഓർഡർ പേയ്‌മെന്റ് നൽകണം"
