"All Payment Methods","Сите начини на плаќање"
"Specific Payment Methods","Specific Payment Methods"
"B2B Payment Methods","B2B Payment Methods"
"All Enabled Payment Methods","Сите овозможени начини на плаќање"
" (disabled)"," (disabled)"
"Payment Information","Информации за плаќање"
"Available Payment Methods","Достапни начини на плаќање"
"This company has no payment methods. Please contact store administrator.","This company has no payment methods. Please contact store administrator."
"Default B2B Payment Methods","Default B2B Payment Methods"
"Applicable Payment Methods","Применливи начини на плаќање"
"Payment Methods","Начини на плаќање"
"By default, the selected payment methods are available for all new companies. If your Magento site has multiple websites, on a specific website the buyer will be able to pay with the methods available for that website only.","By default, the selected payment methods are available for all new companies. If your Magento site has multiple websites, on a specific website the buyer will be able to pay with the methods available for that website only."
"Payment Information (View)","Payment Information (View)"
"Use config settings","Use config settings"
